SOSR_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
SOSR101,1268,4275,12883,11358,8353,5085,1466,299,81,45077,42093,99180,268439,251149,209774,139180,35104,3536,277,1048730,195,486,1305,1288,1356,1082,445,146,19,6324,20,111,657,893,738,607,182,40,4,3249,2499,6663,22583,27425,28283,23021,5448,560,37,116505,125,746,3658,5067,4393,2696,601,50,3,17346,6827,17099,46817,39533,30988,19649,4823,492,36,166269,846,3952,15089,19597,17672,12116,2978,415,40,72711,19583,31927,45556,37169,28981,20881,5647,738,55,190535,26315,21110,27334,18426,12765,9285,2210,263,20,117722,1664,7269,24034,27244,26140,20961,5177,396,11,112902,693,3401,14812,16992,11721,5713,1172,140,14,54662,570,9824,43049,52960,35055,15801,3463,481,79,161284,699,3261,10527,11223,8740,5588,2126,500,95,42760,1750,18956,73939,70099,45799,26854,9857,1628,99,248974,1209,6195,18270,16577,14025,10330,3054,384,23,70055,992,6987,27545,30977,27700,19184,4529,327,19,118261,6030,15099,42368,41516,39989,29585,8778,811,34,184211,4427,25697,73495,64340,57480,46215,14082,1579,64,287378,2238,4262,8639,6984,5179,3437,1187,192,10,32127
SOSR102,389,690,1531,1452,1331,935,289,106,28,6752,15792,23824,50786,51075,51265,37674,8107,703,58,239277,77,192,419,342,374,340,121,47,8,1910,49,252,1660,2140,1636,1004,119,8,0,6873,1068,1994,5178,5649,6526,5195,923,91,3,26630,47,244,1023,1393,1456,1047,158,11,0,5378,2910,5865,12219,10729,9227,6585,1464,123,7,49133,228,571,1673,2135,2364,1807,463,47,3,9280,7128,7626,8961,7132,7413,5959,1466,163,10,45857,11798,6806,5891,3971,3314,2519,649,75,5,35024,304,932,2924,3699,4676,4588,1100,141,7,18385,192,467,1268,1467,1289,773,163,25,7,5658,105,948,3642,4258,3739,2167,441,51,8,15354,148,559,1389,1494,1547,1100,389,96,16,6736,392,2451,7393,8099,6260,4047,1512,224,13,30389,380,1276,3067,3282,3587,2875,709,68,0,15250,251,1709,6841,9270,9555,6022,952,53,3,34655,975,3214,9584,10584,10702,7948,2013,132,0,45153,1603,7707,20253,18551,19481,16419,3636,253,7,87906,777,855,1340,1220,1061,681,243,35,6,6230
SOSR111,89,143,272,255,218,157,52,21,4,1220,3219,4146,9986,9562,9243,6842,1518,124,13,44645,36,95,278,328,258,194,85,28,5,1313,22,126,606,759,587,325,33,3,0,2457,240,443,1391,1253,1228,1003,178,16,0,5755,9,50,205,243,238,182,23,0,0,945,479,1078,2097,1726,1335,1171,292,16,0,8191,44,118,453,493,484,355,95,10,0,2060,1636,1320,1982,1615,1503,1198,324,21,3,9606,2237,1083,1249,927,757,546,144,14,3,6951,61,180,630,752,889,805,295,29,0,3640,47,47,156,135,127,93,24,7,0,642,19,118,489,484,397,236,42,4,0,1787,24,91,254,238,238,174,78,12,0,1113,73,258,1007,1018,812,581,244,30,0,4026,87,247,725,692,723,559,149,16,0,3205,47,269,1271,1480,1584,941,155,5,3,5761,174,474,1606,1889,1893,1356,363,24,0,7776,314,1427,3848,3483,3466,2862,666,43,3,16105,141,105,177,159,144,99,40,9,0,870
SOSR112,239,344,724,586,599,440,187,95,17,3222,7898,10596,25127,23150,23466,19122,5139,546,44,115094,163,370,1031,855,842,770,435,162,16,4636,41,256,1106,1055,815,485,59,4,0,3817,709,1355,3741,3365,2865,2301,553,77,4,14961,33,106,514,744,790,691,90,7,0,2990,1318,2508,5018,3919,3354,2779,779,78,8,19765,176,357,905,936,1057,890,228,32,6,4590,4127,3201,4933,3846,3702,3102,996,132,11,24049,5190,2847,3720,2499,1942,1715,543,74,7,18535,146,374,1311,1466,1876,1979,740,99,6,8001,120,195,440,441,368,286,102,19,0,1973,38,261,835,926,987,707,201,39,5,3991,72,196,610,548,614,480,241,47,8,2816,182,701,2313,2172,2069,1686,843,125,9,10099,198,577,1535,1601,1758,1541,415,43,3,7670,158,816,3286,3724,4145,3033,595,37,0,15794,466,1459,4311,5156,5673,4496,1240,105,3,22911,827,3466,10601,9101,8935,8277,2221,165,0,43593,355,281,515,501,468,390,161,41,0,2715
SOSR113,101,129,377,291,270,227,82,26,9,1522,3148,3847,9666,9496,9997,8475,2043,193,15,46874,51,93,231,227,237,228,130,40,6,1251,56,334,1423,1404,1188,764,90,4,0,5262,234,393,911,835,938,792,175,14,4,4297,9,88,238,282,320,311,41,3,0,1290,527,969,2085,1722,1676,1344,392,29,0,8736,66,139,355,398,407,352,79,16,3,1829,1617,1152,1918,1719,1715,1510,478,53,0,10153,2387,1300,1804,1348,1186,1021,291,34,0,9378,51,167,467,564,796,898,354,46,0,3345,40,72,154,137,137,118,35,5,0,695,15,87,323,355,348,288,90,10,3,1513,34,96,220,255,305,268,106,34,0,1327,63,194,824,934,909,682,327,46,0,3979,84,281,830,786,846,784,195,18,0,3818,53,315,1296,1574,1713,1312,254,14,0,6536,127,399,1502,1696,1801,1522,427,36,0,7510,295,1045,3127,3113,3415,3502,803,55,0,15351,117,107,219,203,212,175,66,22,4,1135
SOSR114,110,164,310,359,314,243,101,39,13,1654,3605,4818,11204,11126,11383,9830,2430,258,22,54678,141,402,871,764,714,707,383,148,29,4160,15,180,620,558,450,289,34,5,3,2146,378,686,1612,1512,1546,1274,319,36,0,7364,26,78,330,353,387,339,53,4,0,1576,669,1213,2837,2189,1860,1498,400,60,3,10729,96,176,440,512,543,500,153,22,0,2449,1779,1325,2014,1818,1948,1842,529,64,3,11316,2421,1220,1434,1221,1120,1042,318,43,0,8824,73,206,632,781,979,1112,426,61,5,4278,30,76,171,172,169,127,44,14,4,797,22,108,397,446,425,301,74,14,0,1798,41,101,299,243,291,252,98,19,5,1353,77,322,1108,1129,1016,761,356,60,10,4843,90,268,646,748,842,783,226,25,0,3625,78,427,1762,2153,2145,1476,289,18,4,8348,194,621,2066,2333,2409,1947,538,45,0,10158,333,1203,3407,3299,3590,3720,789,44,5,16394,112,113,243,226,223,206,65,20,0,1204
SOSR115,192,208,428,523,480,422,175,50,15,2496,4952,5795,14446,15190,16408,14715,3795,362,33,75695,228,500,1158,954,903,1067,625,203,28,5672,63,249,996,966,875,557,72,12,0,3788,491,734,1809,1798,1961,1718,385,51,3,8953,31,92,401,483,513,461,75,0,0,2055,1082,1763,3875,3322,2890,2426,698,69,7,16145,116,213,603,569,656,636,179,33,0,3008,2331,1504,2427,2336,2495,2483,751,104,4,14447,2999,1550,2025,1663,1767,1644,510,48,5,12205,117,256,834,981,1393,1597,646,107,10,5929,37,81,195,274,282,253,90,15,0,1234,24,110,424,525,566,461,111,20,3,2239,57,152,368,407,385,304,188,43,3,1910,107,353,1297,1614,1519,1225,601,64,0,6777,125,339,875,1027,1154,1220,343,28,0,5112,311,672,2212,2864,3215,2446,507,31,0,12255,259,792,2717,3393,3523,3039,836,50,0,14602,449,1433,4297,4230,5198,5464,1326,77,5,22476,192,282,449,389,402,339,130,24,0,2207
SOSR121,50,53,119,145,158,124,60,12,0,722,1435,1442,3443,4210,4999,4189,1084,106,16,20930,65,114,244,254,288,303,157,79,8,1519,3,42,180,245,218,136,26,3,0,852,128,144,380,433,622,481,102,11,0,2307,10,13,86,142,139,141,24,6,0,557,307,446,1012,1016,989,757,225,13,0,4767,25,52,129,180,219,166,57,8,0,837,697,421,580,622,727,715,207,20,0,3988,899,403,470,427,478,418,147,17,4,3243,33,85,216,269,501,527,181,28,0,1842,11,20,53,84,74,66,17,5,0,324,12,38,127,179,176,135,31,8,0,717,19,43,85,99,107,127,30,3,0,514,45,85,392,426,474,402,171,25,0,2009,36,78,232,278,370,344,87,9,0,1437,32,111,469,698,844,664,128,11,0,2957,82,209,643,976,1126,935,263,16,0,4261,142,385,981,1250,1574,1569,414,26,0,6335,60,43,112,101,107,102,52,7,0,581
SOSR122,29,24,69,55,81,73,34,10,4,377,583,773,1712,1978,2429,2357,575,62,0,10477,37,70,209,202,192,245,124,26,4,1123,3,27,69,93,93,62,11,0,0,353,70,91,177,224,284,255,62,8,0,1170,0,19,59,70,99,71,20,0,0,340,122,239,463,457,457,444,108,7,0,2288,14,32,82,76,101,111,28,5,0,446,228,178,275,281,353,372,89,10,0,1789,416,263,354,254,274,294,72,16,0,1949,14,31,105,163,208,290,109,15,0,942,6,9,16,29,40,45,14,8,0,154,6,18,50,98,116,83,15,9,0,387,4,25,25,51,45,68,20,10,6,239,9,52,167,208,217,216,94,23,0,991,24,45,118,151,185,171,58,5,0,750,16,56,272,371,477,376,81,3,0,1659,31,105,302,387,507,474,115,10,0,1935,36,186,456,509,685,865,204,13,0,2957,29,36,64,52,75,87,23,0,0,370
SOSR131,413,377,700,857,1200,938,465,192,28,5161,8536,8798,17969,23668,31794,27627,9273,1754,185,129601,1395,2035,5172,6334,8619,10838,8496,3158,483,46540,100,298,1152,1709,1709,1056,183,13,0,6227,860,1026,1942,2348,3380,2951,907,140,13,13563,58,125,402,660,939,771,123,13,0,3091,2125,2910,5054,5724,6489,5351,1558,127,4,29343,329,413,796,1114,1516,1399,444,105,7,6128,3751,2069,2482,2609,3835,3584,1074,153,12,19571,4304,1677,1534,1471,1876,1847,619,89,9,13437,247,424,1082,1606,2721,2828,1024,141,6,10077,83,138,249,320,455,414,120,13,0,1806,43,235,617,945,1214,845,265,50,4,4209,139,259,479,706,983,736,365,94,0,3775,262,852,2012,2715,3485,2947,1342,188,14,13814,211,454,1018,1250,1768,1673,467,53,0,6903,596,1117,2301,3483,4965,3610,724,43,0,16842,580,1133,2986,4923,6470,5464,1562,123,3,23242,730,1906,4216,5271,7780,8038,2189,172,4,30314,421,398,568,600,750,695,273,52,7,3761
