SUA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
1000,513899,511196,1025095,27400,26004,53408,66203,61998,128199,29789,27903,57693,23827,21945,45772,50376,51563,101942,53436,56015,109452,64336,66765,131105,77920,78676,156603,73179,68669,141852,37217,37036,74249,10206,14622,24831,881,626,1509,496943,499369,996310,16960,11821,28781,34430,34277,68712,583,507,1088,702,701,1409,35724,35479,71204,420149,417095,837245,46860,49870,96728,449593,450657,900251,18447,20236,38683,453654,455330,908990,7915,7728,15637,59527,55817,115345,19360,19508,38868,4629,6356,10988,8100,18526,26621,150468,184236,334704,31893,31111,63004,131717,118453,250170,37726,32615,70341,22823,16785,39611,1546,1141,2686
1001,47081,50141,97225,3111,3083,6190,6476,6270,12746,3119,2952,6072,3075,2952,6029,6497,6700,13196,5792,6346,12136,5604,6023,11629,5419,6011,11432,4706,5208,9913,2476,3193,5666,811,1407,2220,37,44,79,45619,48755,94374,1468,1384,2852,1613,1807,3419,43,47,93,53,48,98,1710,1903,3611,38666,41537,80196,5799,6012,11810,40640,43625,84262,3854,3974,7829,42117,45161,87274,903,938,1838,6041,5852,11895,2133,2207,4333,850,1059,1912,1398,2487,3884,16050,19567,35613,5047,4969,10016,9200,8974,18172,2838,2716,5556,1717,1759,3479,300,321,622
1002,11339,12512,23854,678,632,1310,1426,1486,2919,909,1096,2008,1024,1090,2114,1586,1700,3281,1301,1368,2670,1204,1341,2552,1308,1424,2733,1016,1155,2167,665,848,1512,223,370,592,23,18,40,10383,11226,21608,958,1291,2249,868,951,1818,8,13,19,20,15,39,897,977,1877,8314,9078,17396,1858,2077,3938,8816,9656,18477,1353,1470,2822,9099,9973,19066,219,186,406,1255,1326,2581,574,672,1244,407,544,953,616,872,1484,4883,5752,10638,604,607,1202,1775,1783,3564,518,572,1090,362,337,699,75,115,192
1003,22260,23993,46251,1144,1055,2202,2791,2531,5324,1271,1160,2433,980,946,1923,2021,2293,4319,2535,2710,5242,2761,3128,5885,3060,3404,6465,3179,3498,6677,1831,2136,3971,686,1137,1822,31,36,68,21898,23471,45374,357,516,880,823,917,1741,27,23,50,26,22,44,877,957,1832,18275,19398,37674,2703,3206,5910,20084,21434,41516,967,1248,2215,20204,21647,41856,384,322,709,2613,2366,4984,914,874,1789,260,334,593,535,1001,1535,8503,10016,18523,1396,1431,2820,5026,5416,10446,1360,1421,2777,770,727,1492,56,56,112
1004,8644,9168,17810,408,382,780,935,916,1850,458,403,868,342,321,662,733,766,1502,765,849,1609,1069,1066,2137,1286,1536,2819,1536,1583,3121,854,944,1798,267,407,669,12,9,21,8422,8869,17283,225,300,531,571,625,1200,4,5,12,12,10,18,587,647,1232,6639,7016,13653,1288,1460,2752,7549,8036,15586,462,514,974,7688,8223,15913,105,112,217,829,844,1670,298,266,561,69,66,131,136,325,463,2821,3229,6043,586,575,1164,2246,2365,4611,611,667,1276,369,361,734,31,20,48
1005,18822,18791,37614,1114,1061,2177,2553,2423,4979,1404,1243,2649,1426,1269,2695,2702,2514,5216,2320,2186,4510,2208,2307,4520,2044,2168,4211,1720,1833,3547,995,1144,2142,335,634,973,20,19,45,17264,17987,35253,1556,803,2361,1501,1338,2835,14,13,32,35,34,74,1554,1387,2942,15838,15952,31792,1978,1936,3911,16008,16739,32752,1135,1176,2309,16306,17044,33351,363,346,709,2395,2275,4671,999,976,1976,397,505,902,509,904,1413,6472,7763,14239,1147,1071,2214,4089,3817,7909,1100,1140,2237,615,554,1168,56,60,118
1006,19866,21829,41693,1073,1067,2144,2565,2464,5027,1193,1138,2325,921,898,1819,1944,2022,3968,2116,2244,4358,2465,2784,5253,2532,2852,5388,2564,3206,5767,1874,2275,4149,625,880,1502,33,39,69,19464,21231,40690,407,599,1003,482,496,975,3,10,17,10,16,27,494,521,1013,15202,16779,31981,3697,3970,7667,17402,19110,36509,1517,1699,3214,17658,19424,37076,335,349,684,2428,2328,4759,887,920,1807,267,362,631,447,854,1306,8411,9821,18227,1133,1270,2402,4189,4487,8673,1065,1135,2198,487,460,947,59,47,103
1007,8647,9132,17779,479,492,966,1009,1014,2021,515,446,967,489,440,930,1062,1135,2199,921,983,1898,1020,1009,2029,1276,1359,2633,1132,1156,2282,539,723,1268,204,377,583,7,10,15,8391,8817,17206,262,311,570,814,874,1685,7,0,10,23,19,38,846,886,1737,7452,7786,15234,438,535,978,7624,8015,15641,273,354,627,7724,8133,15854,128,131,259,906,892,1793,269,270,537,69,83,151,198,412,606,1930,2399,4324,640,593,1232,2474,2426,4896,762,863,1626,616,594,1205,33,16,44
1008,5500,5869,11368,250,240,487,527,532,1064,224,206,429,248,361,605,1047,1189,2230,846,891,1742,715,730,1445,719,726,1448,629,630,1257,249,242,492,56,118,174,61,48,112,5063,5496,10555,439,374,811,89,82,176,5,7,14,7,11,17,105,100,202,3474,3725,7198,1483,1628,3113,4255,4500,8754,705,854,1561,4172,4454,8626,60,64,121,482,481,962,159,155,315,61,93,154,248,425,669,2968,3409,6375,306,263,568,724,695,1417,120,165,291,82,65,148,14,8,13
1009,8950,9518,18472,319,282,603,903,907,1810,481,427,907,311,257,570,524,548,1081,632,790,1428,1005,1091,2095,1349,1638,2985,1860,1893,3751,1203,1231,2433,350,463,807,12,8,22,8853,9382,18234,100,135,234,405,381,787,7,11,17,7,8,14,415,402,818,7598,8026,15627,921,1078,1998,8400,8942,17343,169,241,411,8355,8892,17251,113,89,202,853,857,1708,331,324,659,89,95,181,147,309,457,2704,3239,5945,560,585,1147,2735,2900,5640,878,828,1706,426,338,767,15,23,43
