SUA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
1000,46,1517,694,280,1736,0.8,1359,2.4
1001,38,1454,788,280,1909,0.7,1447,2.4
1002,35,1500,737,290,1893,0.7,1431,2.3
1003,48,1950,736,420,1848,0.8,1420,2.4
1004,52,1560,629,350,1410,0.7,1194,2.2
1005,37,1733,794,320,2006,0.7,1561,2.4
1006,47,2167,801,440,2106,0.7,1678,2.4
1007,44,867,653,220,1623,0.7,1185,2.2
1008,39,2345,841,620,2091,0.9,1781,2.4
1009,58,1733,572,355,1368,0.7,1089,2.2
1010,43,2000,726,400,1948,0.8,1500,2.5
1011,44,1733,685,375,1678,0.8,1351,2.4
1012,35,1539,873,310,2027,0.8,1657,2.5
1013,58,1570,557,330,1282,0.7,969,2
1014,39,1635,746,320,1911,0.7,1418,2.3
1015,43,1300,609,300,1413,0.7,1127,2.3
1016,37,1500,839,300,1974,0.8,1697,2.6
1017,42,1300,542,285,1340,0.8,1079,2.5
1018,42,1473,677,300,1670,0.7,1239,2.3
1019,46,1460,614,270,1510,0.7,1096,2.2
1020,40,1900,754,400,2019,0.8,1752,2.8
1021,44,1950,678,390,1772,0.8,1417,2.5
1022,37,1733,798,365,2164,0.7,1754,2.5
1023,35,1517,774,310,1953,0.7,1627,2.5
1024,54,1863,644,390,1594,0.7,1277,2.3
1025,38,1890,785,375,2089,0.8,1659,2.5
1026,39,1733,666,330,1645,0.7,1328,2.4
1027,36,1700,839,330,2121,0.7,1666,2.5
1028,47,1800,688,390,1708,0.7,1307,2.3
1029,34,1755,834,330,2279,0.8,1934,2.6
1030,50,1615,610,360,1452,0.7,1204,2.2
1031,37,2500,894,475,2409,0.9,2116,2.7
1032,37,1500,774,300,1809,0.7,1414,2.4
1033,46,1311,562,300,1340,0.7,1037,2.3
1034,51,1647,613,360,1448,0.7,1175,2.3
1035,35,1517,813,300,2024,0.7,1575,2.5
1036,39,2167,751,400,2104,0.8,1674,2.5
2000,47,1387,688,250,1728,0.7,1336,2.4
2001,37,1733,822,340,2156,0.8,1804,2.7
2002,45,1300,651,280,1516,0.7,1193,2.3
2003,38,1473,742,300,1869,0.7,1426,2.4
2004,38,1408,743,295,1857,0.7,1433,2.4
2005,50,1408,683,310,1676,0.7,1205,2.1
2006,42,1300,704,260,1701,0.7,1247,2.3
2007,46,1517,711,290,1745,0.7,1350,2.4
2008,39,1733,792,350,2113,0.8,1660,2.5
2009,41,2167,937,420,2625,0.8,2293,2.8
2010,40,1200,771,250,1820,0.7,1357,2.3
2011,37,2000,840,390,2243,0.9,1897,2.6
2012,40,1300,699,265,1711,0.8,1353,2.4
2013,43,1127,611,215,1558,0.7,1118,2.2
2014,47,1105,642,250,1551,0.7,1204,2.2
2015,41,1300,704,280,1777,0.7,1331,2.3
2016,38,1300,710,270,1737,0.8,1383,2.5
2017,38,1300,761,240,1802,0.8,1389,2.3
2018,40,1248,679,250,1730,0.7,1295,2.3
2019,43,1300,713,260,1732,0.7,1244,2.2
2020,39,1625,732,325,1896,0.7,1514,2.5
2021,41,1430,763,295,1895,0.7,1424,2.3
3000,45,1408,672,250,1626,0.8,1327,2.5
3001,39,1733,896,370,1990,0.8,1662,2.4
3002,36,1895,847,380,2195,0.8,1866,2.6
3003,45,1300,614,285,1472,0.8,1182,2.4
3004,39,1590,804,340,1951,0.8,1568,2.5
3005,33,1600,1017,300,2510,0.8,2151,2.7
