SUA_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
1000,11,307,25371,25691,417,3225,15375,19021,12351,11379,17283,41016,25011,8109,11693,44815,31585,8173,15417,55170,39409,7716,20233,67355,40812,4830,18201,63837,21704,1398,9454,32557,4475,181,3373,8031,175769,45318,136403,357490,17,689,23227,23926,815,4599,12440,17855,16718,12385,15310,44408,28583,8475,12486,49549,35010,8461,15858,59328,41854,7370,20123,69349,37130,3678,19993,60797,15859,854,15664,32378,2025,91,8138,10256,178012,46595,143244,367848,28,1001,48602,49621,1231,7826,27813,36870,29073,23758,32595,85426,53596,16586,24179,94361,66589,16628,31279,114488,81264,15084,40360,136704,77940,8506,38191,124635,37560,2255,25121,64936,6498,271,11510,18289,353780,91915,279644,725336
1001,0,37,2660,2703,48,491,2030,2562,1667,1613,2503,5786,2967,842,1442,5247,2885,678,1594,5158,3037,473,1515,5026,2918,236,1184,4341,1569,84,582,2240,367,8,247,620,15471,4462,13755,33687,4,73,2530,2609,93,664,1787,2545,2208,1619,2290,6114,3211,875,1814,5900,3054,628,1984,5674,3101,436,2083,5623,2670,179,1998,4851,1207,70,1548,2830,173,6,758,931,15726,4555,16797,37084,0,111,5194,5306,141,1157,3813,5107,3878,3228,4792,11899,6177,1715,3254,11149,5944,1306,3583,10833,6135,908,3600,10644,5590,420,3188,9194,2779,159,2131,5074,540,12,1002,1551,31195,9017,30551,70767
1002,0,14,650,663,31,135,499,654,381,331,577,1290,637,153,341,1128,605,132,310,1047,660,121,383,1170,620,59,256,936,389,19,163,569,115,0,62,177,3437,961,3236,7633,3,17,623,648,34,171,452,659,515,320,586,1425,663,153,406,1220,629,135,461,1228,679,111,502,1287,565,38,450,1051,333,13,386,726,44,0,224,270,3459,970,4079,8509,3,30,1270,1307,61,307,949,1315,903,651,1159,2713,1299,310,744,2347,1236,271,770,2278,1339,229,885,2454,1180,100,704,1987,719,26,546,1296,158,0,282,442,6898,1934,7316,16142
1003,0,11,1169,1184,15,114,735,858,447,523,826,1799,1197,472,638,2303,1404,375,763,2549,1575,337,903,2816,1915,219,751,2882,1186,72,413,1669,316,11,203,528,8055,2135,6392,16582,0,23,1050,1072,30,157,627,815,643,620,797,2067,1328,469,727,2528,1555,410,952,2920,1705,313,1121,3141,1838,174,1190,3196,908,49,969,1921,162,0,601,767,8173,2219,8032,18424,0,36,2222,2255,47,273,1361,1680,1095,1148,1622,3864,2522,943,1360,4829,2965,786,1716,5462,3280,655,2013,5949,3752,396,1941,6083,2093,119,1379,3588,479,17,801,1296,16228,4353,14421,35005
1004,0,3,391,400,11,45,218,266,138,168,302,608,303,131,224,656,422,129,336,892,603,153,347,1099,941,106,351,1400,533,31,188,757,121,8,67,198,3080,772,2430,6279,0,0,355,358,14,74,182,274,204,187,270,661,362,125,249,735,458,131,358,947,728,159,454,1343,890,86,472,1454,403,29,389,820,50,7,194,245,3112,798,2931,6840,0,8,750,757,24,124,399,541,346,357,572,1276,663,251,466,1391,878,268,694,1838,1332,312,807,2442,1837,190,828,2856,938,58,584,1578,173,11,257,441,6190,1576,5358,13120
1005,0,19,1122,1139,24,211,855,1083,634,602,922,2163,1008,337,530,1871,1060,233,604,1896,1080,175,595,1853,1065,74,419,1559,608,30,234,868,138,3,81,224,5615,1682,5355,12653,0,33,989,1018,48,292,707,1045,807,635,864,2302,1097,317,614,2028,1153,219,750,2125,1116,170,741,2027,979,57,660,1699,427,15,550,989,82,4,287,377,5709,1731,6168,13609,0,49,2112,2162,71,501,1561,2129,1440,1231,1788,4460,2096,658,1150,3901,2214,458,1351,4017,2194,342,1337,3880,2046,132,1078,3255,1031,44,786,1857,216,3,370,599,11318,3414,11525,26264
1006,0,5,1082,1090,16,103,695,812,655,392,736,1789,1259,269,434,1953,1425,297,571,2298,1535,250,579,2370,1675,181,511,2372,1300,78,350,1726,318,9,144,473,8194,1591,5102,14880,0,8,989,998,28,146,589,766,875,413,584,1867,1357,285,459,2093,1563,305,750,2612,1570,196,899,2664,1741,150,1095,2984,999,38,1016,2051,120,5,454,581,8251,1544,6830,16624,0,10,2071,2086,48,248,1281,1575,1533,809,1319,3656,2616,546,885,4050,2993,602,1326,4908,3104,450,1479,5034,3415,335,1614,5358,2302,122,1359,3780,439,16,594,1051,16442,3130,11928,31502
1007,0,10,437,446,0,82,325,406,168,292,436,896,304,163,300,764,377,106,400,886,551,122,431,1101,566,54,354,972,300,14,164,480,91,0,77,169,2361,838,2924,6122,0,21,369,392,6,113,229,348,244,317,430,986,360,143,341,848,403,125,361,896,600,105,490,1189,520,47,441,1005,270,9,350,630,45,0,214,256,2437,882,3234,6551,0,30,808,837,8,193,553,759,410,606,867,1886,660,308,645,1611,782,234,759,1779,1148,223,919,2286,1082,98,802,1984,570,29,513,1111,136,0,290,426,4800,1720,6151,12669
1008,0,0,184,184,0,14,130,147,57,220,495,778,234,175,286,689,244,125,218,585,265,82,226,571,279,63,173,520,108,10,82,201,18,0,12,33,1208,696,1799,3702,0,5,161,164,5,36,204,247,109,241,588,937,286,172,297,750,261,103,234,600,257,97,238,585,220,40,266,531,74,5,121,199,7,0,51,65,1219,693,2164,4078,0,5,345,345,4,53,334,392,165,464,1086,1715,515,348,576,1447,506,230,452,1188,525,177,459,1159,497,107,442,1047,187,16,201,395,28,3,64,94,2428,1392,3964,7776
1009,0,5,445,450,4,36,249,281,130,126,203,462,340,103,140,583,515,150,279,941,741,156,351,1247,1189,129,401,1720,775,60,276,1120,190,11,103,302,3884,780,2437,7102,0,6,376,380,11,46,171,224,178,139,180,502,402,124,212,741,570,162,300,1024,888,175,439,1498,1155,108,499,1755,619,47,462,1133,86,4,281,372,3910,826,2915,7644,0,8,819,833,9,81,418,510,310,272,383,964,748,227,348,1322,1079,313,575,1963,1632,336,784,2746,2345,241,893,3477,1398,112,740,2250,274,18,382,672,7792,1601,5351,14746
