SUA_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
1000,3995,29243,22111,365498,4904,425759,120,1728,1000,61089,1073,65007,4121,352,443,2097,61,7073,1378,377,186,922,45,2903,5884,2018,1365,3893,113,13274,47037,27699,20549,320773,5599,421653,3919,179,933,289,57,5380,1892,418,333,2309,24,4979,8570,2855,2205,30199,457,44268,1384,566,223,1771,35,3983,1107,356,161,598,14,2244,3317,301,216,384,29,4241,10018,6284,4348,103359,1211,125219,6561,2806,1079,12986,214,23637,417,32,68,35,7,564,950,352,150,953,21,2421,458,97,37,219,4,813,2082,716,392,2520,43,5757,1521,624,415,598,37,3190,2333,1316,997,916,54,5611,2298,610,327,1604,58,4896,985,223,190,560,20,1973,389,173,72,71,31,736,11907,7200,5409,85106,956,110565,721,132,69,234,14,1172,1801,372,263,232,14,2680,1304,167,119,813,24,2432,304,73,62,65,3,513,729,54,103,43,5,935,1900,634,383,2787,31,5729,24659,5788,4546,12022,525,47536,1274,366,320,8299,77790,88052,122493,54181,39720,717128,90063,1023581
1001,528,2889,2052,33015,336,38812,9,120,56,3229,34,3444,553,29,45,197,4,827,284,65,41,144,7,532,655,278,167,708,13,1815,3442,2590,1868,30300,375,38578,756,35,151,35,9,984,109,34,14,234,6,398,1001,466,296,5155,60,6975,181,58,23,238,0,500,159,41,16,97,4,316,1313,47,24,32,5,1419,683,628,380,10342,66,12101,511,309,109,1734,10,2679,74,6,13,3,0,98,53,22,21,122,0,221,23,4,5,16,0,47,71,48,28,177,3,329,172,51,34,48,4,311,167,120,103,110,0,498,288,66,49,255,3,660,83,13,17,49,7,171,31,15,8,9,0,60,973,625,487,8154,60,10297,151,21,9,68,0,247,142,35,16,21,0,218,122,23,19,114,0,272,106,6,6,8,0,127,257,5,17,11,0,286,142,66,23,271,4,503,4981,596,467,1321,79,7439,213,43,20,804,4498,5576,15089,5328,3756,67610,5364,97141
1002,103,676,522,6785,69,8152,6,37,10,1675,59,1791,302,16,22,66,0,414,6,3,0,11,0,31,96,60,29,83,0,266,888,610,443,6468,83,8497,161,0,25,5,0,195,47,17,7,51,0,132,188,68,40,801,5,1104,28,6,7,28,0,70,23,4,0,17,0,40,248,0,5,3,0,256,209,139,93,2427,26,2891,65,30,13,175,0,283,24,0,0,0,0,21,16,9,4,40,0,69,0,0,0,0,0,0,9,9,4,24,0,42,42,16,10,16,0,82,49,31,17,13,0,117,40,10,3,36,0,89,19,7,6,16,0,48,12,8,4,0,0,27,272,174,138,2118,12,2705,14,3,0,6,0,18,48,3,18,4,0,81,52,3,4,15,0,74,45,7,4,0,0,52,80,0,4,0,3,83,46,24,13,74,0,150,2166,215,174,331,17,2907,48,5,5,129,2310,2500,4510,1234,905,14624,2535,23814
1003,281,1800,1385,14494,206,18164,11,64,46,1595,25,1737,197,39,56,108,5,395,53,18,9,43,0,117,331,103,96,169,0,708,3011,1608,1206,14517,221,20562,164,5,66,15,3,255,163,35,31,136,7,362,438,149,128,1368,16,2097,48,31,7,130,0,221,61,17,12,26,0,101,215,33,23,36,0,301,621,422,318,5240,52,6657,385,176,58,888,17,1528,23,0,5,0,0,30,18,14,4,43,0,81,11,9,0,5,0,18,62,25,14,79,0,190,83,45,32,20,0,180,197,90,58,57,0,406,111,33,35,74,0,254,60,18,8,32,6,106,13,9,0,0,0,26,788,441,338,4161,35,5766,26,9,3,5,0,48,131,19,16,27,0,201,106,5,9,52,0,171,16,8,9,11,0,44,45,3,9,0,0,70,139,41,25,164,3,378,1455,435,357,664,23,2943,73,32,18,278,2177,2573,7082,3260,2479,30701,2666,46187
1004,104,597,410,5336,83,6530,6,34,9,1096,25,1169,107,10,6,45,0,172,122,18,0,18,4,162,152,36,25,83,0,293,1325,574,384,5175,121,7577,85,7,20,10,0,123,58,8,10,40,4,119,230,61,26,427,13,751,82,19,3,37,0,142,34,12,0,6,0,54,70,4,0,3,0,81,262,127,72,1704,35,2204,167,66,22,194,5,458,13,0,0,0,0,12,20,5,0,8,0,33,13,0,0,0,0,14,45,18,11,40,0,113,35,4,19,11,0,65,47,34,20,13,0,113,84,16,12,33,0,149,41,7,5,12,0,71,15,3,3,0,0,20,326,129,105,1372,24,1949,23,3,0,5,0,29,37,10,7,4,0,64,38,5,3,11,0,61,5,6,0,0,0,13,22,0,0,0,0,32,47,20,4,43,3,119,577,116,83,202,12,986,40,9,8,115,1100,1262,3410,1117,746,11168,1343,17793
1005,163,1099,798,13611,113,15779,9,84,48,2425,35,2601,232,13,37,99,5,380,43,11,5,42,0,106,168,72,48,236,3,538,1289,1017,786,12058,128,15269,254,8,55,16,0,333,43,10,13,94,0,161,185,104,55,901,7,1259,29,16,12,73,4,138,38,17,8,19,0,78,320,22,3,6,0,354,325,255,163,4522,29,5286,138,109,34,435,0,716,36,0,3,0,0,39,67,32,6,68,0,179,6,0,0,0,0,15,35,22,22,115,0,188,87,29,13,34,4,166,88,59,27,40,0,223,65,21,8,84,3,190,27,3,10,27,0,67,25,20,0,4,0,44,383,240,205,3102,18,3951,38,4,0,13,0,59,54,18,11,10,0,88,44,3,4,40,0,95,68,8,6,0,0,85,72,0,9,0,0,85,68,36,14,112,0,232,1371,213,170,447,10,2217,65,17,12,259,2348,2693,4757,2034,1458,26684,2635,37573
1006,270,1831,1319,12064,161,15645,3,33,33,926,4,1005,375,26,37,53,3,493,104,23,25,59,0,210,296,105,68,199,14,680,3560,1878,1291,11613,177,18513,247,21,33,4,4,311,154,33,18,125,0,335,460,140,122,890,14,1627,174,38,30,154,6,396,105,23,16,46,6,185,381,11,6,11,0,406,787,416,244,4159,60,5666,483,203,66,592,9,1351,59,3,7,0,0,66,75,22,12,83,0,203,59,16,9,19,0,94,109,39,33,113,0,291,59,23,12,22,0,117,139,59,62,62,0,319,215,45,26,85,0,377,73,15,14,32,3,141,23,5,0,0,0,28,970,488,320,3589,38,5411,58,0,0,12,0,80,119,21,23,12,3,183,105,16,7,31,0,160,31,0,11,0,0,42,54,5,10,3,0,69,135,34,23,140,3,336,2171,384,304,614,25,3506,110,11,6,198,1646,1977,9522,3399,2364,24281,2059,41619
1007,60,374,211,6938,94,7675,3,32,11,1523,33,1598,49,4,4,18,0,80,25,3,0,43,0,72,39,26,16,45,0,117,306,350,187,5782,83,6708,189,3,45,13,3,255,8,7,4,54,0,71,66,38,23,686,9,820,27,10,4,30,0,74,6,0,0,10,0,17,81,7,0,14,0,105,72,53,34,1436,15,1615,114,82,14,333,0,540,5,0,0,0,0,5,0,3,0,38,0,41,4,0,0,0,0,4,53,38,18,151,0,263,14,5,7,18,0,48,21,12,8,5,0,39,17,0,4,36,0,60,0,3,0,18,0,19,6,0,0,0,0,3,90,81,49,1302,9,1535,9,0,0,9,0,13,14,4,5,3,0,18,16,0,0,13,0,25,0,0,0,0,0,3,15,0,4,0,0,16,18,0,6,48,0,72,241,79,37,222,3,578,15,6,5,198,1386,1610,1306,731,404,13735,1589,17767
1008,69,466,390,2117,17,3063,4,15,3,162,3,183,55,9,11,20,0,95,24,8,4,13,0,43,119,31,21,49,0,218,1086,429,337,2535,49,4431,45,0,12,4,0,56,192,20,13,37,0,268,326,55,34,251,4,671,37,19,5,37,0,106,26,10,6,11,0,46,49,14,6,8,3,72,309,141,91,1104,15,1657,419,45,19,151,6,633,10,0,0,0,0,10,19,7,0,12,0,40,4,5,0,3,0,7,13,9,0,8,0,38,40,17,0,7,0,66,44,24,12,12,3,87,61,22,0,27,0,111,47,3,3,11,0,67,4,0,0,0,0,5,303,116,80,800,11,1311,13,6,4,3,0,22,36,6,9,3,0,61,189,13,7,15,3,224,7,0,3,3,0,16,19,0,0,0,0,24,44,13,4,31,0,87,973,180,142,169,15,1475,78,13,10,38,894,1034,3499,951,701,5109,1000,11258
1009,81,631,427,6645,108,7891,0,21,13,733,4,772,54,14,6,34,0,112,11,6,0,17,0,31,134,39,17,71,0,270,1223,614,437,6356,85,8719,36,0,15,4,0,55,29,11,0,46,0,83,162,46,28,465,14,724,25,3,0,24,0,57,23,10,0,9,0,41,33,3,0,6,0,41,204,132,70,1971,32,2400,68,40,16,204,0,329,8,0,0,0,0,10,7,3,0,25,0,36,3,0,0,0,0,9,44,15,9,34,0,92,27,11,0,20,0,52,43,15,11,25,0,90,45,11,18,29,0,99,10,0,3,15,0,24,0,0,4,5,0,4,313,162,102,1718,13,2304,5,5,0,0,0,12,28,12,10,5,0,52,27,6,0,17,0,51,5,5,0,0,0,8,6,0,0,0,0,8,56,10,8,61,0,136,340,120,74,233,8,776,27,7,9,131,547,721,2468,1142,753,13322,763,18451
