SUA_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
1000,420149,417095,837245,43,11,60,101,70,169,620,881,1508,871,1050,1915,305,246,556,183,126,306,550,443,994,1854,2246,4107,239,187,424,238,250,484,1804,1491,3298,257,406,660,140,81,220,101,80,181,839,720,1561,1181,739,1912,163,363,527,178,220,400,284,201,481,615,615,1229,370,340,711,1332,1352,2681,5592,5682,11273,213,131,342,1129,2752,3883,214,267,481,180,260,440,1660,1662,3317,290,260,554,146,296,442,277,1014,1292,15933,16117,32050,1437,1740,3178,309,367,676,7205,7202,14407,46018,43594,89616,881,626,1509,513899,511196,1025095
1001,38666,41537,80196,9,0,14,49,47,92,52,47,97,82,131,216,67,85,154,24,19,38,46,33,79,255,272,524,35,32,65,23,23,56,844,646,1490,15,49,62,23,24,48,7,10,12,52,44,97,83,66,149,6,20,22,30,35,66,22,10,31,55,63,115,235,226,463,169,158,326,481,477,956,57,36,90,258,447,705,25,39,58,18,27,51,130,131,263,82,71,153,13,29,39,27,109,137,1137,1103,2244,96,103,204,122,135,257,1169,1270,2434,2585,2553,5137,37,44,79,47081,50141,97225
1002,8314,9078,17396,0,3,3,57,42,98,30,36,62,54,84,133,0,4,5,9,0,10,16,10,29,35,39,76,3,7,7,8,13,20,129,132,260,4,19,24,19,19,41,268,310,581,17,8,23,6,12,18,6,25,26,9,13,18,3,4,3,21,20,38,124,138,259,15,25,48,122,112,232,23,14,33,60,104,158,4,5,14,5,9,11,49,49,98,42,54,95,5,12,17,8,16,26,294,298,596,63,72,135,26,40,67,318,331,646,1139,1343,2484,23,18,40,11339,12512,23854
1003,18275,19398,37674,0,0,0,4,4,6,69,82,149,19,44,59,4,4,11,5,7,12,15,18,37,81,97,182,5,6,8,12,24,34,97,87,183,14,33,54,14,9,24,0,0,5,47,31,78,63,42,105,27,57,89,11,11,27,3,0,3,31,36,61,17,15,28,59,87,149,372,400,775,3,3,5,32,132,165,10,18,19,14,14,28,130,128,262,15,14,30,5,3,7,29,100,128,955,1040,1993,105,131,241,13,25,45,420,494,919,1247,1359,2606,31,36,68,22260,23993,46251
1004,6639,7016,13653,0,0,0,0,0,0,10,23,37,28,23,53,44,41,81,0,4,8,3,7,14,49,70,120,23,13,36,3,0,9,51,44,93,6,12,16,0,0,0,0,0,4,14,33,48,37,33,71,0,12,12,9,3,13,6,0,9,10,13,27,22,14,37,34,38,72,140,132,268,0,0,5,16,73,87,14,11,27,8,4,9,39,38,73,3,0,5,0,0,6,7,25,34,495,510,1004,38,32,66,9,14,20,177,218,397,703,685,1382,12,9,21,8644,9168,17810
1005,15838,15952,31792,11,9,20,31,26,56,29,23,47,42,63,103,13,14,27,11,9,21,30,21,50,38,39,80,16,11,17,3,6,14,192,152,349,16,18,29,24,9,36,14,3,20,37,34,71,25,22,39,6,21,20,14,18,35,32,14,42,18,28,53,91,84,177,33,46,81,218,174,392,38,27,67,103,141,246,9,10,16,10,13,20,55,60,120,50,43,97,5,4,4,25,56,74,427,425,853,38,48,88,38,45,84,242,224,465,985,888,1874,20,19,45,18822,18791,37614
1006,15202,16779,31981,3,0,3,18,9,23,50,61,106,61,103,161,15,21,34,15,5,21,23,35,56,98,117,220,25,24,51,40,44,83,214,173,381,15,26,44,13,18,33,11,4,17,72,50,121,91,70,162,4,25,31,18,16,35,17,14,29,24,30,60,212,187,401,66,78,142,304,333,641,20,8,27,93,139,233,28,40,72,29,20,48,113,144,258,21,24,43,17,33,50,33,77,112,1341,1353,2693,99,119,215,15,30,44,475,530,1011,932,1034,1970,33,39,69,19866,21829,41693
1007,7452,7786,15234,3,0,3,0,4,4,6,3,14,10,11,23,0,0,7,3,0,3,3,8,9,14,23,37,7,6,12,0,4,0,35,38,67,4,3,5,5,0,3,0,0,0,7,5,11,5,18,22,4,0,4,0,0,3,0,0,0,8,6,17,4,3,8,3,10,19,46,36,84,4,0,4,65,133,205,0,0,5,0,0,0,5,13,21,4,4,8,0,0,0,5,10,11,102,92,192,7,18,27,3,3,8,69,73,141,750,799,1551,7,10,15,8647,9132,17779
1008,3474,3725,7198,0,0,0,0,0,0,32,45,81,5,16,21,3,0,3,4,4,5,3,4,7,62,92,155,3,0,5,3,7,7,23,12,28,8,4,15,5,0,5,0,0,0,31,13,49,82,57,140,31,56,87,5,3,8,0,0,4,0,9,16,6,5,10,18,48,65,153,139,293,0,0,0,5,34,40,6,10,13,4,4,11,40,40,76,4,5,8,6,6,11,9,30,37,374,339,708,69,101,169,5,10,12,479,539,1014,474,469,945,61,48,112,5500,5869,11368
1009,7598,8026,15627,0,0,0,0,0,0,12,23,33,9,17,24,0,5,3,0,0,0,5,8,9,35,55,86,0,11,5,0,5,3,22,15,35,7,3,7,5,0,9,0,0,0,18,17,33,14,6,23,0,6,8,0,9,9,0,0,0,7,5,16,0,0,0,37,47,83,102,103,206,0,0,0,8,36,41,7,13,18,0,0,3,23,25,45,7,0,7,0,0,0,3,19,25,471,491,963,33,38,68,0,8,8,99,124,230,422,403,828,12,8,22,8950,9518,18472
