SUA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
1000,0,0,0,0,3,10,11,17,0,0,0,7,0,0,5,60,0,0,0,3,4,13,49,46,21,15,7,8,4,0,11,169,11,22,146,241,193,205,293,173,32,32,26,58,31,12,36,1508,15,45,40,37,139,163,416,262,99,110,164,258,52,6,101,1915,17,68,266,102,31,39,14,3,0,0,0,0,4,0,13,556,32,53,65,19,13,23,35,14,0,6,10,13,0,7,16,306,14,24,53,66,118,105,142,119,30,31,46,63,70,62,57,994,512,1002,557,328,513,309,385,176,30,33,30,46,25,4,149,4107,7,103,199,36,12,11,9,14,0,0,0,0,0,0,30,424,8,14,59,67,82,53,62,48,5,16,7,12,20,4,31,484,40,37,115,120,108,164,819,642,215,238,239,280,126,58,93,3298,17,63,46,32,49,60,91,97,15,26,39,64,30,3,26,660,5,0,6,11,31,26,29,58
1001,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,14,0,0,0,0,0,8,34,43,3,4,0,0,6,3,0,92,0,0,11,11,9,17,21,14,0,3,4,0,0,0,0,97,0,0,0,5,10,24,55,46,20,11,9,22,4,0,6,216,0,28,84,20,6,10,0,0,0,0,0,0,0,0,5,154,0,3,6,3,0,4,12,0,0,0,0,0,0,0,0,38,0,0,6,3,27,14,16,7,0,4,0,0,0,0,3,79,89,209,81,37,27,7,23,18,0,7,0,0,7,0,19,524,8,22,18,3,8,0,5,0,0,0,0,0,0,0,0,65,0,0,5,0,11,12,4,5,0,3,0,0,0,0,0,56,3,0,13,12,12,19,452,416,123,143,126,106,39,6,21,1490,0,0,0,0,3,7,13,11,7,0,3,0,0,0,0,62,0,0,0,3,8,6,13,17
1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21,22,6,13,27,8,0,0,0,98,0,0,7,16,0,5,17,6,0,3,3,4,0,0,0,62,0,0,0,3,0,16,44,21,9,5,8,22,5,0,5,133,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,5,7,0,3,3,5,0,0,0,0,29,0,11,11,5,10,8,8,10,0,0,0,3,0,0,0,76,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,7,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,20,4,0,0,4,3,6,61,41,17,21,39,42,17,0,4,260,0,0,0,3,0,0,8,4,0,5,0,4,0,0,0,24,0,0,0,0,3,4,4,19
1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,14,20,17,24,25,26,7,6,3,4,0,0,0,149,0,9,0,4,3,5,22,6,0,0,3,5,0,0,0,59,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,4,0,0,10,5,5,4,0,0,0,0,0,0,4,37,20,39,19,5,23,14,33,17,3,3,6,4,0,0,0,182,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,3,11,8,3,3,0,0,0,4,0,0,0,34,7,0,10,6,8,11,58,40,3,3,12,18,4,3,5,183,0,0,0,0,3,4,16,4,3,0,6,5,4,0,0,54,0,0,3,0,7,8,3,5
1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,6,7,0,0,0,0,0,5,0,37,0,0,0,0,8,3,12,10,0,3,6,0,0,0,8,53,0,28,46,12,0,4,0,0,0,0,0,0,0,0,4,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,21,45,18,6,6,3,5,0,0,0,0,3,0,0,5,120,0,5,22,7,0,0,0,0,0,0,0,0,0,0,0,36,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,3,9,18,6,9,11,21,16,0,0,93,0,5,0,4,0,0,5,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
1005,0,0,0,0,0,0,6,6,0,0,0,0,0,0,5,20,0,0,0,0,0,7,14,20,0,8,9,3,3,0,0,56,0,0,0,4,8,6,20,0,0,0,0,5,0,0,4,47,0,0,0,0,7,17,30,24,0,0,6,7,0,0,12,103,0,6,8,9,0,6,0,0,0,0,0,0,0,0,0,27,0,4,4,0,0,5,3,4,0,0,6,0,6,0,0,21,0,0,3,9,4,4,12,0,0,0,7,3,0,0,3,50,16,16,11,4,8,3,4,7,0,0,0,0,0,0,3,80,0,3,7,5,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,4,0,0,0,0,0,4,0,0,14,0,0,4,0,5,19,94,74,24,24,32,35,16,8,12,349,0,0,0,0,0,0,8,8,6,0,0,0,0,0,4,29,0,0,0,0,3,0,7,12
1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,23,0,5,14,24,13,14,18,11,0,0,3,0,4,0,3,106,5,0,3,0,23,17,41,26,8,4,10,20,10,0,0,161,0,3,17,6,4,5,0,0,0,0,0,0,0,0,0,34,0,6,7,3,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,8,15,6,8,4,0,0,0,0,0,0,3,56,35,56,32,26,25,16,13,4,0,0,0,0,4,0,11,220,0,9,27,7,5,0,3,0,0,0,0,0,0,0,0,51,0,0,8,13,10,9,12,7,0,9,4,0,3,0,0,83,6,4,19,14,7,20,104,72,20,30,44,24,11,0,7,381,0,3,0,0,9,3,14,3,0,3,0,0,0,0,0,44,0,0,0,3,8,0,8,12
1007,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,3,5,0,4,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,7,10,7,0,3,4,5,0,0,0,0,0,0,0,0,37,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,5,5,7,8,14,15,0,0,67,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3
1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,12,13,0,4,5,6,6,0,0,81,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,21,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,14,8,0,19,12,30,11,8,8,15,16,11,0,9,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,7,0,0,0,7,5,0,7,6,0,3,0,3,0,0,0,28,0,0,0,0,0,0,5,3,0,0,0,0,7,0,0,15,0,0,0,0,3,0,0,0
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,4,6,3,0,0,0,4,0,0,0,33,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,16,17,17,14,4,6,8,4,0,0,0,0,0,0,6,86,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,0,3,3,4,0,0,0,4,0,0,0,35,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
