SUA_CODE_2021,M_SEO_Before_2005,M_SEO_2005_2010,M_SEO_2011_2015,M_SEO_2016,M_SEO_2017,M_SEO_2018,M_SEO_2019,M_SEO_2020,M_SEO_2021,M_SEO_Yr_arr_ns,M_SEO_Tot,M_Sol_sp_En_Vww_B_2005,M_Sol_sp_En_Vww_2005_2010,M_Sol_sp_En_Vww_2011_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_2017,M_Sol_sp_En_Vww_2018,M_Sol_sp_En_Vww_2019,M_Sol_sp_En_Vww_2020,M_Sol_sp_En_Vww_2021,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_Tot,M_Sol_sp_En_Nwna_B_2005,M_Sol_sp_En_Nwna_2005_2010,M_Sol_sp_En_Nwna_2011_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_2017,M_Sol_sp_En_Nwna_2018,M_Sol_sp_En_Nwna_2019,M_Sol_sp_En_Nwna_2020,M_Sol_sp_En_Nwna_2021,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_Tot,M_Sol_sp_E_Pr_E_ns_B_2005,M_Sol_sp_E_Pr_E_ns_2005_2010,M_Sol_sp_E_Pr_E_ns_2011_2015,M_Sol_sp_E_Pr_E_ns_2016,M_Sol_sp_E_Pr_E_ns_2017,M_Sol_sp_E_Pr_E_ns_2018,M_Sol_sp_E_Pr_E_ns_2019,M_Sol_sp_E_Pr_E_ns_2020,M_Sol_sp_E_Pr_E_ns_2021,M_So_sp_E_Pr_E_ns_Yr_ar_ns,M_Sol_sp_E_Pr_E_ns_Tot,M_Sol_sp_En_Tot_B_2005,M_Sol_sp_En_Tot_2005_2010,M_Sol_sp_En_Tot_2011_2015,M_Sol_sp_En_Tot_2016,M_Sol_sp_En_Tot_2017,M_Sol_sp_En_Tot_2018,M_Sol_sp_En_Tot_2019,M_Sol_sp_En_Tot_2020,M_Sol_sp_En_Tot_2021,M_Sol_sp_En_Tot_Yr_arr_ns,M_Sol_sp_En_Tot_YoA_Tot,M_LanProf_En_ns_B_2005,M_LanProf_En_ns_2005_2010,M_LanProf_En_ns_2011_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_2017,M_LanProf_En_ns_2018,M_LanProf_En_ns_2019,M_LanProf_En_ns_2020,M_LanProf_En_ns_2021,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_Tot,M_Tot_B_2005,M_Tot_2005_2010,M_Tot_2011_2015,M_Tot_2016,M_Tot_2017,M_Tot_2018,M_Tot_2019,M_Tot_2020,M_Tot_2021,M_Tot_Yr_arrival_ns,M_Tot_YoA_Tot,F_SEO_B_2005,F_SEO_2005_2010,F_SEO_2011_2015,F_SEO_2016,F_SEO_2017,F_SEO_2018,F_SEO_2019,F_SEO_2020,F_SEO_2021,F_SEO_Yr_arr_ns,F_SEO_Tot,F_Sol_sp_En_Vww_B_2005,F_Sol_sp_En_Vww_2005_2010,F_Sol_sp_En_Vww_2011_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_2017,F_Sol_sp_En_Vww_2018,F_Sol_sp_En_Vww_2019,F_Sol_sp_En_Vww_2020,F_Sol_sp_En_Vww_2021,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_Tot,F_Sol_sp_En_Nwna_B_2005,F_Sol_sp_En_Nwna_2005_2010,F_Sol_sp_En_Nwna_2011_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_2017,F_Sol_sp_En_Nwna_2018,F_Sol_sp_En_Nwna_2019,F_Sol_sp_En_Nwna_2020,F_Sol_sp_En_Nwna_2021,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_Tot,F_Sol_sp_En_Pr_En_ns_B_2005,F_Sol_sp_E_Pr_En_ns_2005_2010,F_Sol_sp_E_Pr_En_ns_2011_2015,F_Sol_sp_En_Prof_En_ns_2016,F_Sol_sp_En_Prof_En_ns_2017,F_Sol_sp_En_Prof_En_ns_2018,F_Sol_sp_En_Prof_En_ns_2019,F_Sol_sp_En_Prof_En_ns_2020,F_Sol_sp_En_Prof_En_ns_2021,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_Tot,F_Sol_sp_En_Tot_B_2005,F_Sol_sp_En_Tot_2005_2010,F_Sol_sp_En_Tot_2011_2015,F_Sol_sp_En_Tot_2016,F_Sol_sp_En_Tot_2017,F_Sol_sp_En_Tot_2018,F_Sol_sp_En_Tot_2019,F_Sol_sp_En_Tot_2020,F_Sol_sp_En_Tot_2021,F_Sol_sp_En_Tot_Yr_arr_ns,F_Sol_sp_En_Tot_YoA_Tot,F_LanProf_En_ns_B_2005,F_LanProf_En_ns_2005_2010,F_LanProf_En_ns_2011_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_2017,F_LanProf_En_ns_2018,F_LanProf_En_ns_2019,F_LanProf_En_ns_2020,F_LanProf_En_ns_2021,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_Tot,F_Tot_B_2005,F_Tot_2005_2010,F_Tot_2011_2015,F_Tot_2016,F_Tot_2017,F_Tot_2018,F_Tot_2019,F_Tot_2020,F_Tot_2021,F_Tot_Yr_arrival_ns,F_Tot_YoA_Tot,P_SEO_B_2005,P_SEO_2005_2010,P_SEO_2011_2015,P_SEO_2016,P_SEO_2017,P_SEO_2018,P_SEO_2019,P_SEO_2020,P_SEO_2021,P_SEO_Yr_arr_ns,P_SEO_Tot,P_Sol_sp_En_Vww_B_2005,P_Sol_sp_En_Vww_2005_2010,P_Sol_sp_En_Vww_2011_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_2017,P_Sol_sp_En_Vww_2018,P_Sol_sp_En_Vww_2019,P_Sol_sp_En_Vww_2020,P_Sol_sp_En_Vww_2021,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_Tot,P_Sol_sp_En_Nwna_B_2005,P_Sol_sp_En_Nwna_2005_2010,P_Sol_sp_En_Nwna_2011_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_2017,P_Sol_sp_En_Nwna_2018,P_Sol_sp_En_Nwna_2019,P_Sol_sp_En_Nwna_2020,P_Sol_sp_En_Nwna_2021,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_Tot,P_Sol_sp_En_Pr_En_ns_B_2005,P_Sol_sp_E_Pr_En_ns_2005_2010,P_Sol_sp_E_Pr_En_ns_2011_2015,P_Sol_sp_En_Prof_En_ns_2016,P_Sol_sp_En_Prof_En_ns_2017,P_Sol_sp_En_Prof_En_ns_2018,P_Sol_sp_En_Prof_En_ns_2019,P_Sol_sp_En_Prof_En_ns_2020,P_Sol_sp_En_Prof_En_ns_2021,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_Tot,P_Sol_sp_En_Tot_B_2005,P_Sol_sp_En_Tot_2005_2010
1000,27013,2436,1741,278,284,278,352,203,108,1462,34160,4175,1624,1609,436,508,577,826,322,179,288,10554,420,123,131,68,82,140,230,74,50,87,1394,18,7,6,0,0,4,0,8,4,16,64,4611,1751,1741,507,589,720,1060,400,233,392,12009,52,3,4,0,0,0,0,4,3,620,689,31674,4188,3495,788,879,995,1412,609,346,2471,46860,27925,2607,2075,332,351,366,438,247,83,1465,35892,4920,1904,2021,543,547,621,878,369,104,307,12209,484,165,175,63,81,114,245,78,24,78,1509,20,9,3,8,0,8,7,4,0,20,81,5424,2071,2199,609,627,744,1135,447,123,403,13794,74,0,0,0,0,3,3,3,0,92,190,33423,4683,4283,935,985,1112,1576,695,216,1959,49870,54935,5039,3824,608,642,645,793,450,199,2927,70045,9096,3524,3631,982,1053,1199,1709,694,281,593,22760,906,287,308,130,164,255,471,149,71,165,2897,40,8,13,9,7,10,13,12,10,31,139,10039,3818
1001,2145,284,191,26,33,48,32,23,13,70,2870,488,599,600,173,187,192,172,52,17,40,2526,61,53,113,8,21,40,62,15,0,5,383,6,0,3,0,0,0,0,0,0,0,10,556,655,710,184,206,234,239,66,21,44,2917,0,3,0,0,0,0,0,0,0,10,14,2691,940,902,215,239,289,272,91,31,130,5799,2130,265,213,39,29,50,36,26,11,85,2883,624,476,608,164,187,198,148,46,18,44,2515,91,79,131,30,46,77,88,23,0,8,575,3,0,0,0,0,0,0,0,0,5,16,720,551,742,195,234,279,233,68,22,58,3108,7,0,0,0,0,0,0,0,0,7,23,2854,821,951,232,265,323,266,100,38,148,6012,4268,548,406,65,61,91,70,55,25,157,5751,1116,1073,1211,334,373,392,316,98,33,79,5042,153,128,244,43,66,121,147,35,0,15,961,5,0,3,0,0,0,0,0,0,3,23,1272,1209
1002,485,82,67,13,23,11,14,13,3,19,735,125,146,159,49,75,181,205,37,10,11,988,11,3,0,0,0,32,69,11,0,5,131,0,0,0,0,0,0,3,0,0,0,3,135,150,165,49,75,207,275,46,10,16,1121,0,0,0,0,0,0,0,0,0,0,4,622,230,229,63,96,219,293,58,12,30,1858,534,80,67,13,26,16,12,15,0,16,790,133,153,165,64,81,187,233,37,4,20,1073,12,7,0,0,7,45,116,19,0,0,206,0,0,0,0,0,0,0,0,0,0,4,138,160,163,63,92,226,345,56,7,23,1286,0,0,0,0,0,0,0,0,0,3,3,675,244,235,75,114,248,365,74,9,44,2077,1024,160,135,30,49,32,31,31,6,34,1524,255,297,324,113,160,360,439,74,12,32,2059,23,10,5,0,7,72,180,24,0,5,341,0,0,0,0,0,0,3,0,0,0,5,272,315
1003,1438,235,188,40,33,25,49,15,9,68,2097,197,99,101,19,31,30,28,15,8,12,542,14,9,0,0,3,4,11,0,0,4,45,0,0,0,0,0,0,0,0,0,0,0,209,108,103,22,32,32,41,12,8,13,587,7,0,0,0,0,0,0,0,0,9,13,1655,345,291,61,66,59,82,37,21,97,2703,1642,256,214,49,33,21,24,23,7,75,2349,274,142,169,28,28,44,45,16,6,21,774,17,14,6,0,3,6,6,3,0,3,67,0,0,0,0,0,0,0,0,0,0,0,285,157,172,30,33,47,53,15,10,23,843,4,0,0,0,0,0,0,0,0,7,13,1929,411,391,81,68,76,82,37,16,109,3206,3078,491,402,89,64,45,73,39,11,146,4451,469,244,260,49,65,74,74,25,16,34,1315,30,21,8,6,9,8,16,7,0,6,108,0,0,0,0,0,0,0,0,0,0,4,501,265
1004,821,47,36,6,12,0,3,3,0,36,969,150,32,27,10,5,18,10,11,0,9,274,26,5,3,0,0,3,5,0,0,8,42,0,0,0,0,0,0,0,0,0,0,0,175,32,35,10,6,26,14,11,0,15,320,6,0,0,0,0,0,0,0,0,0,6,1001,77,66,16,16,27,20,14,0,50,1288,903,53,33,7,3,4,12,5,3,55,1077,169,42,47,17,13,9,18,9,0,6,333,24,0,6,6,0,0,7,4,5,0,49,0,0,0,0,0,0,0,0,0,0,5,190,45,50,21,17,11,22,16,5,9,380,0,0,0,0,0,0,0,0,0,0,5,1100,100,78,28,25,19,37,16,7,61,1460,1729,101,65,13,17,8,16,6,3,87,2044,323,71,72,24,20,35,22,18,0,16,607,47,4,3,6,4,9,10,4,5,3,90,5,0,0,0,0,0,0,0,0,0,5,370,73
1005,754,95,73,12,16,15,7,8,7,40,1023,191,151,171,37,56,58,51,20,3,16,761,23,5,18,3,6,7,5,4,0,3,76,0,0,0,0,0,0,0,0,0,0,5,215,159,186,41,57,73,57,28,3,14,839,0,0,0,0,0,0,0,0,0,115,114,966,254,257,53,74,84,68,35,6,166,1978,750,103,85,15,19,22,16,6,0,26,1046,218,142,167,48,53,68,52,26,3,8,786,18,15,13,5,9,6,17,4,0,5,94,0,0,0,0,0,0,0,0,0,0,0,240,152,181,50,62,74,70,37,7,16,881,4,0,0,0,0,0,0,0,0,5,9,991,257,261,65,78,100,87,39,9,41,1936,1499,200,156,32,31,37,24,14,6,61,2063,413,290,333,82,112,131,106,48,7,19,1542,42,16,31,3,11,16,19,17,0,10,169,0,0,0,0,0,0,4,0,0,0,5,452,311
1006,2014,223,131,14,21,23,19,34,4,105,2583,341,188,187,66,53,67,53,30,0,25,1013,26,10,9,4,3,12,8,3,0,6,84,0,4,0,0,0,0,0,0,0,0,8,370,200,198,74,57,82,57,28,3,27,1108,0,0,0,0,0,0,0,0,0,0,9,2385,428,327,89,84,100,84,60,9,137,3697,2191,187,127,15,17,22,27,15,3,111,2706,451,204,196,48,51,75,71,28,4,16,1160,39,8,13,0,3,3,18,9,0,5,95,3,0,0,0,0,0,0,0,0,0,5,488,216,210,49,56,74,95,34,4,20,1262,0,0,0,0,0,0,0,0,0,0,10,2677,404,336,60,75,98,115,52,12,131,3970,4200,412,253,27,42,42,45,47,10,218,5293,797,396,388,115,109,144,123,56,5,44,2169,61,21,26,6,5,12,30,9,4,7,185,3,7,3,0,0,0,0,0,0,0,12,859,418
1007,182,29,18,6,3,10,4,6,5,9,266,47,21,38,4,12,17,14,8,6,0,162,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,51,21,39,4,12,17,18,6,4,0,174,0,0,0,0,0,0,0,0,0,7,7,233,47,58,13,14,23,20,11,7,11,438,206,25,22,3,9,7,16,3,0,7,288,65,36,32,10,16,27,21,10,4,0,220,15,0,3,0,0,0,4,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,77,39,35,7,15,27,27,14,3,4,246,0,0,0,0,0,0,0,0,0,0,0,281,58,54,13,21,27,40,23,4,12,535,387,52,39,16,11,11,15,5,4,9,553,112,54,69,10,27,40,36,22,8,3,383,12,0,7,0,0,0,6,6,0,0,35,0,0,0,0,0,0,0,0,0,0,0,133,52
1008,516,107,108,26,25,42,40,39,0,27,936,80,63,113,32,35,50,95,38,0,14,529,5,0,3,0,0,6,0,3,0,0,20,3,0,0,0,0,0,0,0,0,0,0,87,59,114,31,38,60,96,42,0,14,544,0,0,0,0,0,0,6,0,0,0,4,606,168,220,56,65,100,143,78,8,43,1483,462,123,114,44,42,48,48,48,4,25,942,109,64,109,48,48,91,114,51,0,14,645,0,9,3,0,4,4,10,6,0,0,30,0,0,0,0,0,0,0,0,0,0,3,118,70,116,48,47,86,122,51,3,14,684,0,0,0,0,0,0,0,0,0,0,5,572,188,229,89,86,135,176,99,8,39,1628,975,229,222,67,61,86,90,89,8,50,1879,197,123,220,77,84,140,218,89,7,29,1178,7,4,5,0,5,4,9,5,0,0,49,0,0,0,0,0,0,0,0,0,0,8,207,127
1009,692,38,28,4,4,5,11,8,0,35,824,53,9,10,0,0,0,0,0,0,0,85,5,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,57,9,10,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,3,4,752,46,37,3,6,7,12,5,3,41,921,737,54,37,14,6,10,11,6,6,40,908,81,28,16,5,11,3,10,0,0,4,157,11,6,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,94,27,16,5,11,3,11,0,0,3,173,0,0,0,0,0,0,0,0,0,0,0,825,83,49,14,16,10,24,6,3,49,1078,1424,95,62,13,11,9,25,12,4,81,1730,138,38,26,7,8,0,15,0,3,7,237,15,6,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,151,38
