SUA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
1000,10155,9433,19585,28407,26274,54676,8651,8294,16942,4074,3996,8073,41182,38599,79781,19127,18391,37517,6728,7187,13911,4927,5159,10088,30803,30752,61558,1006,1147,2158,649,1451,2102,4391,2897,7293,3394,6839,10237,85,67,152,9534,12411,21938,2306,4325,6629,878,2169,3051,619,1298,1916,2220,5985,8210,35,55,92,6059,13832,19891,15604,26257,41867,718,714,1432,1016,2125,3146,41,45,90,1778,2889,4667,46420,41266,87686,881,626,1509,146832,149828,296659
1001,1143,1125,2273,2480,2440,4920,1123,1073,2187,626,610,1243,4230,4122,8355,1709,1775,3480,832,780,1614,560,634,1189,3103,3188,6294,300,257,558,228,331,561,549,338,885,483,830,1316,9,6,15,1569,1759,3331,267,700,970,174,357,534,83,150,238,340,681,1024,0,0,5,874,1892,2764,2451,3659,6110,182,114,299,211,314,528,3,3,10,397,439,834,2552,2518,5071,37,44,79,13913,15100,29014
1002,254,222,477,625,599,1220,127,121,244,117,171,286,864,888,1758,455,453,905,164,179,339,143,221,362,756,853,1612,52,38,86,45,77,122,86,66,153,139,209,345,0,0,4,325,387,710,335,547,883,212,254,466,73,97,165,178,265,447,0,0,0,808,1163,1964,1128,1555,2678,39,32,68,23,52,79,0,0,0,59,87,146,1136,1334,2471,23,18,40,4237,4947,9186
1003,456,402,853,1055,928,1985,492,441,928,260,268,531,1812,1637,3446,730,627,1358,483,479,961,229,215,441,1443,1323,2763,61,57,121,50,87,140,186,112,299,196,314,509,0,4,9,490,581,1069,113,232,342,86,163,241,55,93,143,147,323,471,0,5,6,401,808,1204,894,1385,2279,30,25,55,69,129,200,3,0,8,105,156,263,1203,1287,2489,31,36,68,5938,6222,12159
1004,125,124,247,403,368,775,136,154,289,51,42,86,588,559,1150,286,288,573,99,124,230,61,65,124,444,476,926,18,9,25,11,29,39,68,56,121,66,115,181,0,3,7,165,213,374,21,36,60,15,48,59,15,10,22,30,92,122,4,0,6,82,187,270,251,398,647,12,7,15,18,45,62,0,0,0,25,50,84,644,608,1250,12,9,21,2094,2229,4323
1005,442,408,852,1024,888,1910,538,541,1075,84,100,185,1645,1530,3176,841,682,1522,326,457,789,271,224,498,1443,1371,2812,45,67,108,29,86,118,198,151,349,180,317,497,0,3,4,448,620,1076,288,475,762,81,119,198,58,82,140,172,292,460,0,3,6,599,968,1560,1050,1587,2641,27,21,52,52,84,140,3,3,10,84,108,194,1721,885,2601,20,19,45,6405,5912,12319
1006,421,426,843,1007,886,1893,293,284,582,377,404,779,1684,1573,3254,580,488,1066,355,376,730,372,526,900,1311,1391,2700,36,64,103,42,69,110,205,106,313,155,318,472,5,5,9,442,565,1006,178,292,471,58,128,188,38,57,92,130,236,370,0,3,3,414,713,1123,854,1281,2130,34,48,89,46,105,154,4,0,5,86,157,244,908,1033,1935,33,39,69,5299,5887,11186
1007,164,157,324,553,536,1091,74,74,149,5,7,11,641,620,1257,437,453,885,0,0,0,4,9,14,444,457,900,28,15,41,16,27,51,72,55,128,77,148,225,0,0,5,193,247,443,14,37,61,20,52,75,10,19,24,57,138,189,0,3,3,101,248,347,296,500,798,11,12,25,17,41,60,0,0,5,34,49,84,763,815,1579,7,10,15,2339,2611,4955
1008,78,69,145,218,212,435,71,64,135,59,63,124,352,344,689,135,130,266,54,56,113,46,61,108,239,254,489,9,13,22,38,56,99,32,31,62,92,125,215,0,0,0,169,227,393,32,59,90,30,68,99,19,16,29,44,107,146,0,0,0,115,241,359,292,469,760,13,16,32,41,65,113,0,0,0,54,83,137,482,486,971,61,48,112,1553,1746,3301
1009,138,123,257,437,472,903,110,94,202,29,30,64,580,593,1174,277,286,569,175,148,321,36,44,84,491,485,972,21,14,33,17,28,49,87,47,137,56,108,156,3,0,3,180,198,381,43,82,131,16,48,64,9,18,27,42,85,122,0,0,0,108,232,344,289,436,723,14,10,20,19,40,61,0,0,0,29,48,80,391,368,755,12,8,22,1931,2056,3988
