SUA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
1000,89,259,783,1849,4699,11858,16870,10404,3190,49992,8347,4671,4150,4632,4745,5738,5544,2611,735,41184,78,108,197,452,1170,3687,7209,5051,1427,19379,8,9,17,27,64,203,689,1514,1082,3614,188,319,492,1081,3079,6907,10393,6280,1400,30138,166,174,229,535,1964,6217,11356,8651,2859,32139,116,90,124,241,474,1019,1833,1722,670,6295,123,93,154,298,937,2933,4907,3415,998,13850,2528,4190,4493,5360,6572,7474,5349,2144,626,38739,32,19,56,137,400,1188,2157,1953,766,6714,4197,2287,2251,3025,4855,7814,7296,3436,1215,36375,68833,36451,32880,32724,36303,35430,24806,9428,1880,278737,10894,6862,6809,7117,7787,8399,6834,3563,1246,59508,93549,53532,50074,53267,64246,77850,73120,37183,10197,513018,110,369,1080,2712,7134,16544,21757,14982,6520,71208,6042,4967,6059,6459,7363,8943,8105,4224,1293,53448,83,87,260,745,2030,4359,5722,3631,1267,18186,3,5,7,19,40,173,534,1546,2089,4413,158,320,594,1157,2631,5189,6941,4681,1497,23176,137,140,234,413,1111,3090,5721,5385,3221,19456
1001,15,18,117,211,403,778,1035,715,272,3562,867,572,631,615,510,447,388,187,58,4284,9,14,26,69,112,280,527,383,147,1565,0,3,0,6,4,16,69,129,113,354,11,31,76,161,309,537,779,497,123,2516,25,17,39,59,216,489,904,627,262,2644,13,18,16,31,43,81,134,120,54,503,20,15,19,49,67,200,327,225,95,1011,324,608,757,794,754,671,459,206,73,4646,0,3,4,21,37,95,179,162,58,557,594,326,357,409,524,600,555,312,143,3817,7111,4279,4319,3515,3059,2498,1476,575,146,26980,866,567,549,497,489,404,284,158,62,3879,9582,6189,6485,5791,5600,5415,4699,2476,807,47044,13,47,141,345,676,1300,1784,1318,669,6287,660,742,910,882,803,784,691,414,147,6023,10,13,43,96,189,387,476,389,135,1724,0,0,0,3,8,20,57,153,183,428,18,39,97,183,309,497,626,410,179,2354,18,21,42,51,113,291,471,555,358,1925
1002,0,10,21,31,78,177,200,148,62,730,165,187,145,106,91,85,84,48,12,919,0,8,11,12,17,71,128,104,26,381,0,0,0,0,0,6,7,25,12,56,7,6,14,45,74,114,141,100,17,512,8,8,11,19,40,111,153,161,68,579,0,5,4,8,15,23,18,26,3,104,3,0,9,0,18,37,64,44,13,190,38,194,172,143,123,129,72,32,3,912,0,3,0,8,4,21,31,40,16,119,93,85,84,85,117,158,117,74,29,839,1562,1144,1003,828,677,603,336,159,44,6359,266,394,200,132,131,122,72,73,38,1424,2109,1928,1576,1297,1201,1309,1011,663,223,11312,6,13,27,47,141,276,353,338,132,1335,121,234,170,149,161,188,140,117,27,1303,4,8,3,20,42,82,102,93,29,386,0,0,0,0,0,0,8,38,26,80,4,13,18,40,68,101,93,99,42,477,0,11,7,12,21,82,80,131,70,415
1003,5,6,21,73,169,355,657,440,179,1908,300,169,158,210,213,197,234,121,31,1635,3,4,13,15,50,152,338,248,106,922,0,0,0,0,6,7,35,81,78,202,15,18,16,40,83,186,363,263,95,1071,12,10,9,24,63,216,514,457,251,1557,0,3,3,4,14,33,68,91,58,274,9,5,6,10,30,102,184,141,74,562,122,205,219,263,288,324,266,140,51,1878,0,0,6,7,12,56,92,114,59,351,199,119,98,131,188,312,319,213,102,1681,3004,1588,1388,1689,1728,1569,1147,489,124,12721,351,210,187,218,218,220,208,126,66,1806,3930,2246,2016,2529,2753,3054,3171,1831,686,22227,6,8,30,79,242,613,978,762,422,3134,178,162,223,250,312,306,370,222,96,2126,3,10,5,29,111,156,275,212,112,920,0,0,0,0,3,5,29,109,172,315,4,16,26,38,82,128,279,237,118,934,8,8,7,15,38,107,288,302,273,1049
1004,5,8,9,35,88,210,351,259,79,1046,116,78,63,68,89,88,94,59,28,685,0,3,0,10,24,60,164,119,48,417,0,0,0,0,0,6,21,46,36,99,0,10,6,20,46,98,229,140,33,577,3,0,9,6,43,106,259,194,69,689,0,0,0,5,16,25,50,36,14,150,0,0,0,4,17,60,100,72,35,303,50,81,105,98,155,142,125,56,26,831,0,0,0,3,16,18,41,49,21,148,62,43,44,57,95,166,179,96,40,790,953,523,461,472,575,548,510,206,51,4292,182,97,78,71,140,131,112,68,29,892,1335,803,733,763,1068,1283,1535,851,267,8633,0,0,21,62,133,335,516,394,152,1613,101,70,91,111,124,162,178,90,35,973,0,5,5,3,28,100,156,101,42,432,0,0,0,0,0,5,21,48,78,145,5,0,11,24,43,100,154,113,39,485,0,4,7,4,20,57,116,122,92,407
1005,5,14,39,68,181,346,379,295,100,1444,429,309,275,221,178,173,155,84,17,1836,10,5,16,16,40,101,188,167,55,596,0,0,3,0,0,6,24,59,48,140,8,22,34,59,128,245,300,182,50,1027,9,10,17,19,72,155,268,225,103,878,3,5,8,9,17,25,41,43,15,171,4,8,11,7,24,70,92,95,46,363,132,279,317,233,242,235,145,59,43,1686,0,0,5,4,8,40,81,54,18,206,250,147,144,132,192,218,206,138,63,1493,2651,1796,1535,1292,1168,898,551,228,64,10180,303,375,491,421,295,184,106,81,27,2273,3670,2827,2695,2316,2208,2041,1718,993,335,18804,0,21,55,106,263,486,637,520,286,2387,350,334,376,339,299,315,251,149,58,2468,6,6,19,15,95,126,149,107,52,571,0,0,0,0,3,5,16,69,127,232,11,20,37,68,144,176,204,131,54,848,4,3,12,19,40,84,132,162,142,602
1006,4,6,37,68,153,333,592,500,165,1860,295,170,140,178,181,170,184,106,33,1454,5,3,10,15,42,112,276,287,88,838,0,0,0,0,3,7,20,59,59,151,3,12,26,42,99,234,348,282,83,1127,11,7,3,12,53,187,396,408,152,1231,6,6,5,0,18,20,45,72,31,203,6,3,8,14,21,84,143,149,48,477,84,191,182,202,255,231,164,86,27,1427,0,0,3,6,16,34,75,101,37,279,167,104,96,131,186,251,252,193,76,1460,2813,1516,1419,1415,1556,1291,960,550,129,11648,279,184,122,152,171,161,147,132,97,1443,3624,2111,1937,2111,2464,2530,2559,1875,625,19833,6,7,54,99,285,601,1020,867,378,3316,182,194,182,254,300,259,339,223,72,2008,0,6,9,29,87,169,294,233,75,905,0,0,0,0,3,7,12,72,113,208,10,14,29,42,107,183,263,235,66,939,7,4,11,19,39,87,229,259,163,813
1007,7,0,15,35,88,245,348,177,76,998,177,127,110,95,102,120,123,47,14,902,0,3,5,8,18,55,117,61,19,290,0,0,0,0,0,3,14,26,21,66,0,11,17,29,101,192,237,127,26,734,3,4,8,11,49,129,215,146,56,621,0,0,7,5,11,19,46,26,20,130,5,0,7,5,20,70,116,68,26,313,45,84,144,108,161,168,97,26,8,840,0,0,0,0,7,16,46,30,17,121,86,47,56,56,91,156,123,43,16,677,1008,595,638,519,486,477,303,125,30,4198,199,183,139,133,127,116,84,46,32,1056,1487,1007,1062,921,1020,1270,1126,539,204,8640,3,3,22,46,123,355,479,319,168,1521,133,122,178,149,140,201,178,92,38,1236,4,0,6,10,22,70,101,56,23,297,0,0,3,0,0,4,16,41,54,114,4,13,25,30,89,172,182,131,51,700,0,3,3,20,20,91,130,116,63,455
1008,0,0,3,12,22,82,101,54,12,303,21,28,59,46,50,59,35,14,0,313,0,0,0,3,8,37,55,31,8,142,0,0,0,0,0,0,4,8,5,17,0,3,7,8,9,22,36,21,4,110,0,0,3,3,6,46,75,55,21,208,0,0,0,0,0,3,14,10,4,33,0,0,0,6,3,18,42,11,6,90,16,32,46,58,63,64,35,12,7,328,0,0,0,0,0,4,10,15,5,46,18,15,21,35,60,62,72,24,14,313,632,325,781,588,429,359,255,68,10,3442,95,59,122,103,95,83,54,26,6,645,776,451,1014,845,711,713,621,244,56,5440,0,0,11,14,35,82,128,88,37,404,23,32,59,57,46,51,50,21,9,350,0,0,3,8,18,38,50,22,16,157,0,0,0,0,0,3,6,16,26,53,0,4,4,0,5,13,24,26,11,79,0,0,5,0,7,9,29,31,25,104
1009,4,8,8,24,99,224,518,390,112,1371,120,68,38,65,59,119,151,70,17,707,0,0,4,4,20,85,188,159,65,532,0,0,0,0,0,9,17,54,38,111,5,4,3,9,54,109,281,221,53,743,4,0,8,4,25,105,308,331,100,894,0,0,0,3,4,22,44,61,16,147,5,0,0,6,15,56,151,127,41,404,35,87,72,89,141,155,147,72,14,819,0,0,0,6,6,22,69,79,30,220,75,34,31,56,90,152,220,146,56,852,927,570,343,401,585,594,611,280,68,4380,85,62,47,45,55,88,107,71,31,583,1222,794,530,632,999,1344,1859,1205,350,8938,0,7,11,35,119,375,641,530,229,1943,83,65,72,106,127,184,200,154,43,1028,0,0,3,16,47,82,159,134,57,502,0,0,0,0,0,0,11,47,59,123,5,0,7,14,47,97,186,161,52,572,0,4,4,4,18,61,157,177,98,527
