SUA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
1000,57,78,159,246,489,866,1487,1534,932,5842,94,72,124,359,1109,3033,4416,3018,1025,13252,1968,7410,8329,8549,9573,9939,5950,2483,1355,55546,17,29,66,161,441,904,1293,1362,851,5118,2681,2545,3529,4831,6630,8954,7540,3861,2197,42777,67636,31242,30794,31904,35174,34926,23742,9105,2252,266775,10288,5735,5360,6011,6751,7340,6088,3686,1870,53129,87975,49761,51360,55922,66701,78600,68615,37013,14618,510565,201,621,1863,4565,11835,28398,38625,25383,9706,121202,14394,9642,10207,11092,12111,14680,13648,6839,2026,94633,163,190,463,1196,3205,8048,12930,8679,2691,37564,15,11,23,45,102,377,1224,3063,3168,8028,345,638,1079,2243,5712,12098,17336,10959,2896,53307,298,312,459,949,3079,9308,17075,14039,6080,51597,177,165,281,483,967,1887,3321,3259,1605,12137,223,168,275,660,2045,5960,9317,6432,2022,27103,4498,11591,12826,13910,16148,17407,11299,4622,1983,94283,51,49,122,294,846,2098,3451,3318,1617,11832,6878,4831,5780,7856,11491,16770,14835,7296,3415,79150,136464,67688,63670,64628,71483,70356,48550,18532,4139,545513
1001,10,4,17,30,58,76,134,134,98,560,10,12,22,50,136,236,333,268,107,1180,306,1207,1397,1253,1143,978,601,283,171,7341,3,6,12,21,50,77,136,140,116,554,398,382,612,658,725,801,741,405,304,5018,7209,3501,3842,3421,2994,2517,1678,692,194,26050,873,500,498,464,431,406,306,250,119,3840,9342,5902,6690,6338,6023,6002,5202,3193,1402,50096,26,66,256,555,1076,2080,2818,2033,942,9853,1532,1313,1533,1500,1308,1227,1083,603,205,10306,17,27,65,165,300,663,993,771,283,3291,0,0,0,10,14,42,126,286,293,783,31,76,174,334,617,1037,1403,904,293,4868,43,41,73,112,331,777,1378,1185,624,4568,24,23,34,60,104,156,265,258,147,1064,33,24,44,92,202,435,661,496,202,2188,634,1817,2149,2045,1898,1649,1062,489,239,11987,3,8,15,37,87,170,316,301,174,1113,988,710,973,1065,1250,1398,1288,710,444,8838,14324,7779,8157,6939,6047,5020,3155,1268,333,53025
1002,4,5,0,5,10,22,18,19,12,88,0,0,0,9,22,52,66,77,25,245,47,376,296,213,222,174,102,61,21,1512,0,0,0,3,6,18,22,42,15,111,61,127,131,156,167,215,151,110,42,1158,1653,1079,993,771,694,592,386,193,57,6422,248,503,195,140,107,133,89,92,76,1586,2118,2186,1697,1367,1341,1421,1148,848,370,12496,8,27,50,83,218,446,555,484,194,2058,286,419,315,251,249,274,224,164,43,2217,4,11,23,36,62,150,229,194,55,766,0,0,0,0,4,6,14,64,42,140,8,21,35,76,136,218,236,194,55,983,8,21,19,26,62,194,231,285,146,989,3,12,4,15,22,45,38,43,19,192,8,6,9,5,41,93,131,115,36,441,87,574,470,357,341,308,173,94,26,2428,0,7,3,7,13,41,49,87,29,232,153,209,217,240,283,373,270,179,67,1997,3212,2227,1995,1601,1373,1193,720,356,102,12781
1003,0,5,8,16,23,33,65,75,77,284,4,0,9,8,53,99,179,170,86,610,106,369,373,417,479,421,349,148,108,2773,0,4,0,4,13,30,85,96,90,325,108,95,173,242,298,412,422,264,211,2230,2903,1383,1416,1695,1778,1701,1326,555,174,12941,314,161,212,197,227,227,240,171,102,1851,3581,2100,2290,2705,3118,3397,3497,2136,1136,23964,9,16,54,153,412,964,1638,1200,604,5041,477,328,384,457,525,503,610,348,129,3762,3,7,23,46,164,305,609,463,221,1848,0,0,0,0,7,11,64,184,249,519,22,32,38,82,172,312,642,498,212,2005,17,20,18,38,102,324,803,760,529,2602,4,7,6,21,36,65,131,165,132,565,13,10,11,22,83,202,365,311,164,1181,225,581,596,678,767,741,610,285,160,4654,0,4,6,11,32,86,175,211,148,674,307,213,273,374,492,725,743,475,319,3907,5909,2967,2804,3384,3503,3273,2471,1049,305,25663
1004,0,4,7,0,0,19,56,38,31,158,0,0,0,8,12,61,92,66,30,275,32,127,159,154,208,223,154,76,52,1179,0,0,0,3,6,27,35,36,22,131,44,60,53,68,118,194,206,112,83,930,985,435,442,448,526,670,516,224,68,4311,140,80,78,94,99,116,113,86,52,845,1296,719,765,845,1065,1536,1583,945,407,9162,6,10,29,102,217,542,868,653,234,2655,219,151,153,179,211,255,276,150,62,1657,0,0,7,6,51,157,319,216,83,848,0,0,0,0,0,4,44,92,112,247,5,4,16,44,86,194,387,255,69,1065,3,3,15,9,54,159,370,317,160,1098,3,3,5,10,14,42,104,75,44,305,5,9,7,11,35,121,198,137,60,577,76,209,262,250,363,370,276,128,79,2011,0,0,0,9,21,45,79,88,45,278,104,105,98,129,212,357,387,211,124,1718,1934,958,901,916,1094,1223,1031,432,116,8609
1005,3,9,7,8,19,27,38,35,24,173,4,5,9,10,53,71,118,94,39,407,94,493,507,401,387,315,170,96,121,2594,0,0,6,3,21,25,52,52,37,201,147,169,231,236,273,294,261,159,151,1926,2649,1496,1440,1191,1155,893,596,238,81,9742,300,189,173,157,173,143,112,80,53,1381,3489,2514,2515,2187,2304,2164,1830,1144,634,18772,7,35,99,175,450,833,1020,815,390,3830,778,641,648,562,476,486,402,235,75,4309,10,4,38,35,140,229,333,272,106,1166,0,0,3,0,3,15,44,131,178,371,17,40,73,123,277,424,505,316,106,1879,8,16,27,35,112,241,398,391,247,1474,8,8,17,17,41,51,78,79,41,344,9,9,19,22,81,145,214,189,81,767,227,774,826,631,631,545,314,150,163,4278,0,0,6,12,30,64,130,105,57,405,399,318,378,371,463,508,469,293,216,3415,5300,3284,2982,2482,2325,1791,1150,468,148,19925
1006,4,3,6,12,11,27,57,53,35,200,3,4,4,12,36,76,163,155,42,501,86,353,328,334,372,367,262,150,75,2332,0,0,0,8,9,24,52,83,46,219,117,142,151,215,296,362,427,260,132,2109,2911,1277,1338,1365,1571,1337,1175,643,126,11743,254,153,111,158,191,168,189,183,159,1566,3530,2027,2014,2239,2788,2845,3203,2271,880,21792,7,15,85,166,434,939,1608,1370,545,5170,480,364,328,434,484,422,515,335,98,3465,3,10,22,42,128,285,575,521,163,1740,0,0,0,0,6,10,32,131,169,356,14,25,49,82,207,413,610,515,147,2063,17,7,14,34,95,269,625,664,313,2042,10,11,6,13,34,47,103,124,65,403,14,6,12,27,54,163,309,310,90,983,164,550,503,541,627,603,421,238,102,3761,0,0,10,16,23,59,118,184,87,494,286,249,245,345,479,613,677,458,214,3565,5726,2793,2760,2776,3131,2630,2130,1193,254,23383
1007,0,0,8,10,10,18,47,33,23,142,9,0,4,11,29,82,71,47,21,273,37,184,234,195,168,232,130,47,28,1251,0,0,4,4,15,27,27,28,13,112,54,34,92,106,127,171,137,62,41,817,1079,496,595,471,455,518,300,135,46,4100,213,105,124,125,102,107,98,93,85,1051,1499,888,1135,980,1014,1355,1156,723,377,9121,6,7,40,85,212,598,829,491,246,2522,307,247,288,246,237,322,302,139,52,2142,3,5,8,17,41,123,222,116,44,589,0,0,3,0,0,9,27,68,72,179,3,18,41,58,191,358,418,259,77,1434,4,8,14,29,63,224,351,261,122,1074,5,4,10,12,24,39,88,55,43,280,4,5,10,21,49,154,190,113,48,587,82,270,379,302,327,398,221,76,33,2092,0,0,8,8,17,41,72,54,31,233,137,79,145,162,217,327,263,102,58,1492,2086,1087,1232,992,940,993,610,269,76,8292
1008,0,0,0,0,0,0,7,6,15,24,0,0,0,0,9,13,32,18,5,73,10,74,97,82,62,72,54,21,17,483,0,0,0,0,5,8,15,12,6,44,8,33,35,60,72,93,77,39,30,450,638,355,866,621,463,406,281,72,13,3722,89,75,115,94,68,79,54,21,22,609,771,554,1165,890,718,726,626,242,118,5820,0,0,17,33,60,171,230,143,50,702,53,59,116,105,97,107,79,35,9,664,0,0,3,11,23,78,96,53,23,297,0,0,0,0,0,3,15,24,29,74,0,3,7,9,13,44,55,48,19,196,0,0,9,5,16,53,103,88,44,316,0,0,4,0,3,3,14,16,18,66,0,0,0,6,15,29,71,27,9,163,24,104,138,142,130,133,88,34,19,816,0,0,0,6,5,11,23,29,15,92,28,45,61,93,129,153,146,63,40,761,1267,682,1646,1209,889,758,541,137,26,7168
1009,0,5,0,4,3,22,48,57,41,174,0,0,0,3,18,43,109,117,40,338,45,129,118,134,187,222,177,96,57,1158,0,0,0,0,15,16,41,49,26,148,40,36,58,84,123,208,247,172,104,1073,945,431,313,459,607,752,650,293,76,4527,85,60,36,48,46,93,105,69,38,567,1191,685,549,790,1091,1632,1893,1231,463,9511,0,13,18,65,217,593,1155,915,337,3316,208,136,113,168,187,298,351,218,63,1733,0,0,9,21,68,167,346,297,125,1030,0,0,0,0,0,6,38,98,89,231,4,7,9,22,101,203,470,385,103,1311,3,9,8,10,54,167,469,510,205,1423,0,5,0,3,8,43,95,121,57,326,5,3,0,12,34,101,259,246,85,744,78,211,186,222,328,378,329,166,73,1986,0,0,0,9,21,42,109,124,59,364,117,68,82,141,218,358,463,312,155,1928,1877,1003,654,857,1188,1350,1262,574,142,8911
1010,30,24,70,95,175,265,484,630,408,2174,26,30,44,115,392,1039,1617,1270,523,5052,929,3485,3809,3632,3746,3374,2213,1158,721,23070,13,7,31,49,154,303,490,603,431,2078,1124,1215,1653,2054,2482,3179,2907,1767,1234,17614,23594,11594,11482,12490,12020,10123,6759,2981,922,91973,2600,1484,1466,1522,1520,1546,1429,1141,829,13535,29951,18639,19434,21290,22510,23260,21425,13694,6583,176798,68,183,691,1617,3934,7928,11678,9275,3993,39359,4938,3760,4159,4325,4271,4303,3968,2422,834,32989,66,85,162,475,1130,2494,3974,3299,1159,12839,10,5,8,14,31,156,479,1322,1678,3700,106,253,397,897,2073,3908,5663,4187,1260,18740,99,105,150,306,983,2762,5144,5106,2521,17172,77,51,106,182,336,563,1098,1268,686,4372,66,61,79,208,677,1813,2842,2483,916,9150,2009,5502,5974,5886,6096,5601,3748,1955,980,37737,21,17,61,92,311,672,1198,1330,741,4459,3026,2310,2615,3285,4185,5521,5130,3064,1772,30902,47541,25117,23868,25138,24371,19746,12642,5559,1551,185544
1011,9,9,16,18,32,53,85,127,83,433,5,3,9,32,84,246,367,314,93,1162,175,620,771,761,797,769,538,249,154,4827,4,0,6,12,37,47,99,125,99,440,232,226,295,377,575,673,676,400,239,3696,5245,2464,2748,2749,2570,2316,1740,638,172,20643,607,352,388,432,374,366,321,287,186,3313,6564,3831,4389,4636,4849,5211,5105,3051,1386,39021,8,45,157,396,941,1934,2784,2057,875,9192,930,685,762,825,799,864,910,492,150,6424,12,11,43,113,260,510,938,720,287,2899,4,0,5,5,9,31,134,271,338,808,25,36,80,169,401,683,1033,748,235,3410,14,15,35,81,200,619,1252,1230,649,4092,17,12,24,38,63,119,208,274,159,901,16,11,16,50,148,475,733,576,187,2214,357,1005,1222,1285,1329,1292,963,435,209,8100,4,0,12,26,69,132,256,276,170,937,561,449,504,636,954,1187,1230,679,354,6553,10264,5203,5495,5377,5046,4342,3350,1228,299,40600
