SUA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
1000,21185,12597,12168,13133,14532,15743,12922,7248,3115,112638,181525,103294,101427,109185,130942,156450,141742,74195,24813,1023581
1001,1743,1065,1047,969,922,809,586,408,179,7724,18925,12091,13165,12130,11624,11416,9904,5667,2219,97141
1002,517,894,392,276,236,259,159,154,117,3013,4222,4110,3269,2665,2541,2730,2160,1511,592,23814
1003,662,370,401,418,447,444,444,297,167,3654,7510,4347,4308,5233,5869,6461,6669,3971,1827,46187
1004,319,173,154,163,231,245,216,151,79,1736,2634,1527,1496,1609,2132,2815,3112,1792,669,17793
1005,599,565,663,573,471,326,219,157,78,3654,7156,5338,5210,4500,4514,4204,3544,2139,973,37573
1006,535,336,227,316,367,333,336,321,258,3009,7150,4134,3953,4352,5252,5378,5762,4144,1502,41619
1007,410,286,266,259,226,228,178,133,118,2109,2992,1894,2194,1896,2032,2628,2284,1268,583,17767
1008,186,136,236,195,162,159,109,41,30,1250,1550,1004,2183,1733,1438,1442,1246,491,174,11258
1009,168,119,84,88,108,177,208,137,64,1152,2413,1475,1073,1425,2092,2979,3748,2435,807,18451
1010,5278,3237,2973,3106,3245,3029,2569,1945,1275,26655,61849,38319,37816,40924,43536,44043,39926,25387,10473,342275
1011,1251,742,782,844,785,750,636,488,308,6600,13220,7786,8451,8815,9196,9810,9832,5651,2293,75051
1012,1123,625,732,563,523,411,291,228,108,4604,8772,4824,6698,5025,4483,4419,3521,2292,908,40943
1013,241,133,147,152,182,208,263,216,117,1658,2541,1672,1527,1741,2150,3145,4204,2930,1351,21251
1014,502,311,448,341,356,232,201,109,57,2560,4500,2932,3567,2938,2936,3032,2682,1667,731,24988
1015,425,259,253,204,220,175,140,94,58,1825,3636,2195,2185,2017,2205,2419,2305,1598,775,19332
1016,421,220,324,275,243,234,149,113,78,2053,3982,2414,3366,2736,2546,2359,1663,1111,604,20776
1017,462,372,514,415,266,212,138,108,38,2523,2879,1913,1862,1681,1784,2031,1942,1141,462,15689
1018,575,438,389,360,310,342,262,190,173,3039,4956,3504,3602,3428,3613,3897,3302,1933,937,29169
1019,236,162,265,208,172,161,120,84,29,1440,1983,1276,1482,1294,1516,1749,1600,1077,388,12371
1020,240,131,105,114,147,110,96,60,9,1006,3151,1705,1550,1827,1987,1902,1649,844,167,14782
1021,403,240,204,193,185,199,170,147,70,1818,4718,3068,3055,2879,3163,3494,3367,2534,1124,27401
1022,266,120,171,143,151,117,100,69,39,1178,2687,1393,1856,1578,1520,1396,1158,825,353,12758
1023,298,185,258,225,190,131,77,37,22,1419,2679,1493,1910,1660,1543,1426,1015,512,183,12414
1024,284,223,155,172,229,277,310,276,181,2104,3886,2572,2066,2473,3384,4410,4927,3367,1094,28177
1025,7612,5407,5417,4907,4623,4029,3025,2208,1444,38663,92947,63061,69444,64084,62268,59397,50785,29858,12424,504272
1026,921,599,771,689,573,395,259,164,70,4437,7353,4580,5227,4580,4479,4639,4258,2580,1060,38762
1027,845,456,479,446,428,343,275,201,134,3607,9115,5164,5830,5361,4970,4544,3964,2405,1031,42389
1028,669,459,391,404,441,472,436,324,216,3820,8164,5526,4936,5414,6109,6555,7049,4999,2191,50936
1029,314,347,255,179,180,151,87,49,15,1570,3576,2543,2600,2079,2194,1896,1351,704,309,17258
1030,312,197,172,205,186,184,196,138,56,1641,3090,1799,1869,2051,2290,2844,3363,2006,645,19957
1031,64241,44630,59105,52134,43477,35274,24647,16993,12487,352988,886688,589202,764205,727781,613446,524536,390096,220005,94196,4810164
1032,1122,685,655,577,537,423,352,360,224,4934,9064,5568,6330,5228,4911,4822,4244,2923,1235,44320
1033,617,331,313,295,277,311,293,229,135,2798,4742,2839,2830,2608,2943,3608,3542,2472,1100,26687
1034,228,147,133,137,158,215,171,97,45,1340,2636,1423,1479,1729,1883,2585,3026,1733,630,17113
1035,1029,690,662,546,539,462,340,269,155,4690,11463,8686,8275,6913,6433,6307,5136,3157,1483,57853
1036,4184,3132,2730,2588,2680,2395,1793,1338,929,21766,54659,39150,39141,37672,38132,37643,30677,18934,8006,304011
2000,11901,7421,7139,8104,9177,9934,8496,4950,2219,69332,117827,68873,68256,75839,92640,110606,101538,52200,18047,705836
