SUA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
1000,181525,103294,101427,109185,130942,156450,141742,74195,24813,1023581
1001,18925,12091,13165,12130,11624,11416,9904,5667,2219,97141
1002,4222,4110,3269,2665,2541,2730,2160,1511,592,23814
1003,7510,4347,4308,5233,5869,6461,6669,3971,1827,46187
1004,2634,1527,1496,1609,2132,2815,3112,1792,669,17793
1005,7156,5338,5210,4500,4514,4204,3544,2139,973,37573
1006,7150,4134,3953,4352,5252,5378,5762,4144,1502,41619
1007,2992,1894,2194,1896,2032,2628,2284,1268,583,17767
1008,1550,1004,2183,1733,1438,1442,1246,491,174,11258
1009,2413,1475,1073,1425,2092,2979,3748,2435,807,18451
1010,61849,38319,37816,40924,43536,44043,39926,25387,10473,342275
1011,13220,7786,8451,8815,9196,9810,9832,5651,2293,75051
1012,8772,4824,6698,5025,4483,4419,3521,2292,908,40943
1013,2541,1672,1527,1741,2150,3145,4204,2930,1351,21251
1014,4500,2932,3567,2938,2936,3032,2682,1667,731,24988
1015,3636,2195,2185,2017,2205,2419,2305,1598,775,19332
1016,3982,2414,3366,2736,2546,2359,1663,1111,604,20776
1017,2879,1913,1862,1681,1784,2031,1942,1141,462,15689
1018,4956,3504,3602,3428,3613,3897,3302,1933,937,29169
1019,1983,1276,1482,1294,1516,1749,1600,1077,388,12371
1020,3151,1705,1550,1827,1987,1902,1649,844,167,14782
1021,4718,3068,3055,2879,3163,3494,3367,2534,1124,27401
1022,2687,1393,1856,1578,1520,1396,1158,825,353,12758
1023,2679,1493,1910,1660,1543,1426,1015,512,183,12414
1024,3886,2572,2066,2473,3384,4410,4927,3367,1094,28177
1025,92947,63061,69444,64084,62268,59397,50785,29858,12424,504272
1026,7353,4580,5227,4580,4479,4639,4258,2580,1060,38762
1027,9115,5164,5830,5361,4970,4544,3964,2405,1031,42389
1028,8164,5526,4936,5414,6109,6555,7049,4999,2191,50936
1029,3576,2543,2600,2079,2194,1896,1351,704,309,17258
1030,3090,1799,1869,2051,2290,2844,3363,2006,645,19957
1031,886688,589202,764205,727781,613446,524536,390096,220005,94196,4810164
1032,9064,5568,6330,5228,4911,4822,4244,2923,1235,44320
1033,4742,2839,2830,2608,2943,3608,3542,2472,1100,26687
1034,2636,1423,1479,1729,1883,2585,3026,1733,630,17113
1035,11463,8686,8275,6913,6433,6307,5136,3157,1483,57853
1036,54659,39150,39141,37672,38132,37643,30677,18934,8006,304011
2000,117827,68873,68256,75839,92640,110606,101538,52200,18047,705836
2001,5164,2749,3531,3441,3113,2624,2296,1154,431,24503
2002,2717,1674,1814,1597,1798,2014,2049,1421,567,15647
2003,21005,14098,15408,13886,13551,12791,11283,6496,2839,111362
2004,19381,12632,14030,12620,12149,12057,10665,6243,2803,102575
2005,1594,854,1065,1361,1514,1621,1740,1055,476,11292
2006,2161,1395,1657,1403,1476,1525,1464,995,492,12571
2007,3799,2348,2440,2321,2769,3062,3039,1917,753,22442
2008,52425,34409,40015,37602,35627,33186,29363,16858,7093,286572
2009,4740,2510,1694,3034,3334,2872,2208,1141,317,21837
2010,3154,1938,2268,1925,1928,2115,1770,1221,593,16914
2011,870283,591025,775308,720510,612843,511161,385731,226259,97981,4791106
2012,10069,6126,7201,6291,6700,6894,5776,3388,1400,53856
2013,3675,2387,2689,2381,2652,3063,2754,1461,590,21657
2014,1749,1162,1096,1211,1478,1744,1535,773,344,11092
2015,2798,1703,1891,1779,1884,1854,1703,1065,470,15145
2016,10616,6470,7365,6545,6474,6244,5207,3256,1409,53585
2017,2144,1260,1649,1368,1175,1344,1105,802,425,11263
2018,7867,4977,5877,5185,5176,5529,4854,2928,1315,43711
2019,3428,2181,2314,2225,2408,2441,2302,1675,821,19791
2020,8280,4553,5651,4896,4992,5161,4708,2833,1030,42095
2021,6240,4028,4576,4297,4498,4580,3965,2315,1117,35622
3000,135718,77482,86030,89259,104673,122309,108581,50125,13272,787451
3001,2504,1929,3207,2413,2219,2627,2006,582,68,17553
3002,470524,322868,363889,349392,316069,258452,200701,110565,41657,2434126
3003,12627,8007,8180,7729,8605,9724,10396,6921,2363,74550
3004,29347,18325,21035,21347,22296,19945,15806,7596,2361,158075
3005,3571,1904,2232,2237,1819,1585,875,287,86,14592
3006,9904,5522,6058,6073,6229,5679,3665,1616,524,45277
3007,121567,82180,92701,92577,91651,82652,73463,44006,16276,697078
3008,4030,2652,2483,2447,2702,2807,2738,1746,738,22353
3009,8968,5246,4951,5568,6608,8564,10815,6788,2040,59557
3010,2096,1346,1431,1168,1145,1201,1199,699,313,10605
3011,16997,10175,11180,11107,10653,10257,7436,4018,1559,83385
3012,4298,3025,2712,2844,3271,3926,4109,2352,816,27348
3013,4420,2652,3407,2770,2467,2326,1390,563,113,20115
3014,16305,10365,10999,10054,9278,9122,7026,4127,1701,78975
3015,66139,41385,41025,46706,51416,51265,48420,29063,10456,385862
3016,28232,18859,18778,17142,16743,15810,13926,8832,3557,141886
3017,34870,26588,26217,23166,22455,20185,15303,7875,2616,179268
3018,2935,1819,1737,1457,1758,2034,2006,1347,461,15543
3019,3818,2285,2067,2264,2496,2885,2706,1463,467,20448
4000,45115,25926,28062,29914,36084,43541,39448,19966,6760,274817
