SUA_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
1000,127126,253587,2072,11533,10005,46447,3849,17810,52290,209505,68217,285294,4131,16945,6855,22138,20588,64736,31579,103820,99792,389114,546,2582,2693,9523,1764,6497,16053,44746,21064,63349,1085,3420,2860,6036,15099,32438,19048,41893,40108,105237,3274,6908,270301,754844
1001,10381,20696,184,1000,942,4402,283,1295,5892,22999,7305,29688,426,1776,656,2179,1666,5263,2743,9221,10055,38908,69,343,375,1336,191,695,2189,5837,2830,8205,159,530,414,900,1497,3188,2073,4617,4899,12822,382,800,25718,73224
1002,2445,4884,50,325,237,1153,59,290,1167,4591,1514,6362,77,325,155,524,285,902,516,1745,2038,8103,24,101,87,336,25,102,449,1242,578,1780,34,117,103,216,311,650,451,989,1028,2767,88,190,5594,15946
1003,5884,11795,61,358,419,1918,142,632,2461,9648,3086,12549,173,719,349,1152,947,2940,1464,4810,4555,17361,32,135,149,487,65,222,807,2084,1054,2934,59,181,199,431,818,1760,1081,2374,2135,5302,160,338,12726,34798
1004,2648,5305,22,122,122,569,60,281,664,2607,865,3578,57,220,76,229,300,934,431,1389,1297,4963,14,67,62,251,41,163,342,946,469,1430,23,83,53,116,306,666,384,863,850,2297,54,104,4852,12667
1005,3755,7501,87,446,375,1775,131,616,2101,8236,2687,11067,167,718,277,917,623,1955,1060,3585,3751,14655,30,138,157,544,88,314,819,2243,1094,3241,63,204,162,333,591,1246,814,1785,1910,5026,152,310,9564,27497
1006,5431,10869,67,388,434,2037,142,669,2449,9666,3100,12760,191,798,362,1193,846,2695,1398,4680,4494,17441,22,105,111,390,62,231,484,1311,684,2041,71,219,136,309,717,1583,928,2110,1608,4147,127,266,11666,32725
1007,1935,3832,21,112,124,576,56,258,735,2837,940,3780,52,216,73,230,353,1102,475,1541,1417,5321,13,62,43,158,51,209,479,1326,591,1754,29,85,67,141,379,825,471,1051,1063,2799,89,189,4505,12142
1008,1095,2165,7,28,78,325,12,61,532,2013,627,2431,23,92,59,183,144,434,220,707,849,3134,0,13,32,95,13,34,157,384,198,523,10,18,50,96,131,272,185,385,385,909,31,55,2359,6271
1009,3245,6493,35,169,121,564,53,248,724,2868,932,3855,73,291,124,400,388,1220,581,1912,1515,5768,19,84,41,139,32,108,249,710,341,1039,22,72,75,158,288,620,384,849,728,1889,42,97,5531,14245
