SUA_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
1000,3261,4198,7459,1559,1752,3307,1353,4251,5606,1619,8737,10355,5761,24250,30011,5920,13517,19433,21343,8915,30260,17093,10972,28058,19800,10367,30168,22537,6976,29507,14920,5319,20239,16164,4137,20305,31446,6255,37704,22145,978,23128,17218,1613,18827,10469,405,10876,26203,3726,29926,19806,1317,21126,4596,7183,11780,263201,124882,388086
1001,162,344,506,80,128,210,96,415,511,127,873,1003,437,2189,2624,579,1542,2116,1653,1046,2691,1500,1303,2800,1791,1277,3071,2154,936,3091,1603,711,2317,1729,491,2222,3784,701,4490,2622,130,2754,1850,150,2002,1136,36,1176,2156,230,2384,1475,130,1604,315,576,894,25256,13208,38462
1002,50,73,122,26,50,72,28,123,146,28,221,246,96,493,587,119,381,500,378,261,642,332,336,666,400,296,696,469,231,698,341,190,535,393,138,533,727,252,984,525,38,561,380,55,434,269,13,278,590,76,669,321,62,382,54,115,166,5517,3414,8927
1003,92,174,269,59,92,147,36,188,222,50,375,431,207,1097,1301,216,851,1063,850,517,1372,798,595,1393,989,485,1470,1107,356,1462,749,265,1019,796,197,998,1603,325,1930,1136,69,1209,868,80,945,529,27,557,1403,146,1543,762,93,856,166,315,477,12427,6245,18667
1004,57,72,126,30,28,62,29,90,123,23,192,214,125,504,627,128,314,444,491,227,716,385,234,622,462,239,700,555,184,739,296,111,407,292,99,389,558,129,691,318,29,350,234,42,275,116,13,131,259,86,347,289,23,310,86,137,214,4730,2757,7487
1005,66,128,199,30,44,77,38,129,164,48,290,339,137,712,846,165,510,676,535,311,849,510,435,946,677,444,1120,752,315,1068,567,289,859,583,207,787,1291,327,1618,1010,58,1067,719,67,781,498,13,514,999,87,1087,650,57,705,112,184,295,9380,4614,14000
1006,116,159,278,68,71,142,44,139,186,41,275,316,178,823,1000,143,513,656,606,403,1008,595,458,1047,732,451,1187,918,270,1184,563,258,826,724,170,893,1431,284,1720,1101,36,1133,917,86,1006,538,17,555,1845,214,2053,695,39,740,118,217,334,11370,4881,16251
1007,55,86,146,15,33,53,21,120,145,35,222,256,113,705,816,118,330,448,389,201,588,335,246,578,362,227,585,374,178,549,218,142,364,247,117,367,492,194,682,386,23,408,295,40,338,193,13,212,323,75,398,362,21,380,94,172,272,4429,3145,7581
1008,28,62,84,5,19,26,15,29,44,9,77,87,46,187,231,50,178,229,90,109,199,96,139,232,116,145,259,163,104,270,117,90,213,146,77,219,292,156,450,223,73,296,163,69,232,119,30,148,408,183,593,196,105,299,17,81,104,2306,1914,4220
1009,67,86,149,39,37,74,31,94,125,28,164,196,132,610,746,160,439,593,678,217,897,473,242,718,517,205,722,613,111,727,318,78,392,326,49,373,528,86,615,384,17,398,268,17,286,155,10,162,315,29,344,290,17,303,71,132,208,5399,2637,8031
1010,903,1431,2328,351,516,865,333,1233,1566,443,2767,3214,1488,7758,9243,1751,5353,7106,6237,3040,9270,5329,3520,8845,6247,3358,9598,7318,2361,9684,5268,1876,7149,5564,1457,7020,11779,2015,13795,8937,319,9254,7170,502,7678,4441,124,4567,11312,978,12284,5180,406,5586,1055,1891,2948,91103,40903,132005
1011,163,248,414,94,105,201,90,323,410,104,633,735,383,1711,2093,430,1367,1796,1517,763,2279,1256,848,2105,1551,849,2403,1882,585,2468,1254,420,1673,1275,333,1603,2440,449,2893,1739,95,1829,1237,101,1337,753,37,787,1673,198,1873,1216,146,1360,265,468,729,19319,9674,28994
1012,82,124,208,28,46,78,36,121,159,36,271,306,139,720,862,174,425,601,562,307,869,506,415,918,654,458,1106,748,363,1110,624,287,905,624,232,859,1483,381,1866,1058,76,1137,788,77,857,503,21,525,1058,161,1221,763,69,831,152,267,419,10009,4822,14832
1013,80,99,182,48,42,92,34,139,174,34,286,321,141,922,1062,139,623,761,795,322,1123,579,338,918,591,314,907,579,172,750,332,112,439,329,102,433,577,128,709,341,30,372,238,32,264,128,7,135,278,71,352,354,23,384,131,271,401,5723,4042,9769
1014,54,101,155,26,46,72,17,132,148,32,231,265,95,692,783,132,400,531,452,215,668,342,304,644,412,319,729,524,206,729,392,172,562,404,118,521,858,212,1068,640,27,672,460,36,503,307,5,311,554,56,608,347,32,378,81,170,253,6125,3473,9601
1015,44,89,127,18,23,45,27,100,129,44,241,284,112,609,727,131,415,551,484,215,701,410,239,652,526,230,755,487,143,628,325,127,453,312,77,386,598,113,714,354,19,373,234,21,248,130,11,141,234,40,276,311,29,339,73,150,225,4861,2890,7753
1016,44,58,106,20,26,47,6,79,83,27,139,165,84,364,450,78,156,231,254,153,406,242,196,439,310,231,538,404,148,553,322,120,439,363,113,469,781,169,954,570,22,593,385,35,425,263,10,278,491,68,559,342,26,366,82,99,184,5072,2213,7286
1017,33,53,83,19,29,44,13,87,100,28,152,180,97,429,522,135,224,359,402,129,533,326,167,495,349,127,480,381,68,443,237,57,296,226,29,257,416,56,469,253,6,261,158,8,167,82,0,82,155,12,165,242,22,256,81,98,188,3644,1744,5385
