SUA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
1000,15072,124098,143845,57780,38390,379180,34192,413367
1001,2430,14132,14487,4413,2262,37725,2286,40006
1002,734,3720,2981,912,441,8784,593,9375
1003,909,6832,7102,2214,1190,18243,1135,19376
1004,400,3118,2691,773,368,7347,496,7835
1005,915,5088,5077,1742,960,13781,758,14536
1006,616,5669,6238,2155,1355,16034,683,16718
1007,718,3247,2406,719,302,7397,627,8021
1008,217,1667,1458,495,270,4104,374,4476
1009,290,3023,2926,872,516,7628,591,8221
1010,8560,49953,47218,15367,8957,130063,7012,137075
1011,1629,11098,10566,3313,1797,28397,1732,30134
1012,853,5415,5629,1799,868,14552,1272,15825
1013,682,4717,3021,824,337,9576,504,10082
1014,721,3656,3229,1171,648,9431,565,9995
1015,590,3286,2545,816,358,7600,537,8137
1016,438,2491,2678,941,584,7126,554,7680
1017,392,1980,1773,676,422,5238,505,5745
1018,839,4857,3996,1257,563,11519,709,12224
1019,595,2156,1531,520,312,5116,344,5458
1020,100,1375,2093,912,663,5146,218,5371
1021,444,3567,3793,1444,1063,10317,421,10734
1022,281,1592,1865,638,329,4706,349,5051
1023,303,1768,1674,552,287,4590,324,4915
1024,530,4928,4478,1214,661,11806,552,12359
1025,12113,67508,74362,24068,13390,191436,8143,199577
1026,899,5284,5145,1684,1010,14022,1004,15023
1027,1018,5888,5975,1870,885,15642,926,16569
1028,1425,8904,7245,2068,931,20568,956,21528
1029,283,1862,2422,929,529,6027,332,6356
1030,293,3481,3148,920,486,8328,429,8756
1031,196941,673085,538313,163629,93293,1665260,88856,1754112
1032,1219,6446,6025,1801,973,16465,1338,17805
1033,868,4284,3345,1108,632,10240,837,11073
1034,311,2905,2744,748,373,7073,430,7501
1035,1485,7934,7997,2621,1325,21358,1185,22550
1036,8492,39922,42324,14044,8416,113195,5120,118315
2000,9406,82638,104133,44996,31860,273026,21226,294263
2001,336,2730,3446,1365,951,8819,389,9209
2002,405,2353,2259,775,441,6227,405,6632
2003,2709,16788,16439,5123,2754,43812,2126,45939
2004,2242,14620,15134,5057,2766,39816,2077,41895
2005,304,2073,1600,469,285,4727,265,4993
2006,399,1909,1807,618,339,5065,286,5355
2007,504,3159,3355,1158,609,8785,534,9315
2008,5614,38830,44644,13022,7105,109220,5141,114363
2009,127,1642,3333,1381,1006,7491,290,7772
2010,484,2550,2608,901,411,6956,384,7340
2011,152324,652353,638508,190021,102746,1735959,86175,1822129
2012,1262,6873,7426,2722,1531,19817,1926,21742
2013,784,3215,2840,1262,733,8836,766,9597
2014,273,1694,1728,611,294,4597,282,4877
2015,441,2470,2299,629,316,6154,321,6477
2016,1110,6962,7239,2618,1446,19373,1684,21058
2017,336,1550,1674,527,250,4339,314,4655
2018,1253,6652,6170,1929,1017,17023,1274,18299
2019,555,3157,2972,826,440,7960,602,8563
2020,577,5106,6295,2311,1484,15770,858,16624
2021,789,5282,5451,1677,886,14089,773,14856
3000,13232,93873,100555,41161,26769,275596,28760,304352
3001,487,2215,1783,504,264,5243,479,5723
3002,57709,320787,331192,108068,59925,877682,41930,919618
3003,2013,11865,10210,3426,1808,29321,1553,30873
3004,3855,21895,20950,6366,3008,56077,4668,60742
3005,192,1671,1929,721,387,4906,449,5358
3006,917,6217,6597,2320,1048,17101,1085,18184
3007,13312,95477,98697,31670,17205,256355,16559,272913
3008,605,3349,3120,1062,564,8708,491,9199
3009,1492,10586,8034,2457,1213,23788,1381,25169
3010,288,1580,1383,512,248,4017,290,4303
3011,1572,10543,11944,4252,2131,30440,2497,32937
3012,944,4147,3524,1296,743,10652,690,11342
3013,540,2384,2467,772,406,6566,776,7341
3014,1889,10446,10510,3738,2016,28602,1823,30428
3015,5808,52317,57088,18989,10834,145041,7538,152583
3016,3191,19815,20125,6628,3623,53382,2429,55815
3017,3679,23241,25664,8341,3985,64914,4245,69161
3018,410,2391,2108,684,450,6039,425,6460
3019,403,2737,3004,1042,519,7701,626,8327
4000,4402,33513,39602,17129,11959,106614,7851,114465
4001,41187,197568,193740,61509,33099,527105,19730,546833
4002,840,4323,4247,1504,908,11828,680,12500
4003,553,2730,2373,897,582,7138,463,7601
4004,547,2007,1687,598,307,5158,574,5738
4005,444,2271,2400,797,387,6295,488,6782
4006,648,2333,1820,660,350,5809,381,6188
4007,656,5877,4457,1262,627,12877,472,13349
4008,1115,3552,2805,1001,534,9007,689,9697
5000,5710,34522,35182,15198,11037,101663,12778,114434
5001,675,4812,5086,1858,1105,13536,681,14220
5002,418,2473,1899,691,378,5868,814,6679
5003,1254,9824,11379,3984,1950,28392,1527,29920
5004,496,5373,6173,2100,1096,15232,875,16103
5005,227,1519,1725,627,392,4489,521,5009
5006,701,5021,5471,1966,1036,14195,1268,15458
