SUA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
1000,157470,4127,1545,4022,1000,168171,114603,1815,706,530,287,117939,29345,6170,3748,366,125,39758,4018,740,393,21,21,5197,1901,850,328,15,33,3123,20771,1296,981,393,232,23679,5050,444,346,1083,372,7294,491,132,79,24,13,740,61582,9637,5876,1902,791,79789,10776,991,327,378,290,12759,29082,2086,1200,1890,448,34707,373511,18665,9656,8727,2815,413367
1001,10532,811,67,48,14,11471,12011,478,30,12,14,12545,5608,2919,334,22,9,8893,1119,388,67,0,0,1574,132,102,20,0,0,258,1354,346,31,10,3,1739,355,51,4,27,3,444,48,28,7,0,0,83,8624,3834,461,55,15,12996,524,118,35,6,9,695,1543,568,63,100,21,2304,33235,5809,663,226,79,40006
1002,2677,136,14,18,0,2846,2301,69,12,0,6,2382,1345,655,277,12,10,2287,202,50,55,0,3,310,92,50,61,0,0,200,368,61,25,3,5,463,58,12,3,27,0,103,7,9,0,0,0,14,2069,841,421,46,15,3385,129,35,3,0,3,171,377,105,65,21,8,583,7555,1182,518,82,32,9375
1003,6026,1195,200,257,20,7699,4125,679,142,16,7,4968,1424,1041,348,14,5,2834,202,282,49,0,0,537,51,72,15,0,0,140,717,307,91,22,9,1149,94,19,8,97,28,250,23,10,0,0,0,43,2517,1731,514,138,42,4951,386,142,54,13,0,601,584,280,81,213,15,1164,13633,4023,992,644,77,19376
1004,2854,268,186,66,12,3388,1556,87,59,3,0,1707,692,223,302,7,0,1218,91,46,55,0,0,192,44,21,21,0,0,85,331,45,73,3,0,457,43,6,16,50,6,122,10,4,0,0,0,21,1203,349,480,56,9,2095,76,52,25,3,3,157,336,75,54,18,3,495,6020,826,806,155,36,7835
1005,4030,297,92,19,12,4453,4220,181,36,0,0,4442,2049,795,425,12,8,3283,323,119,52,0,4,498,50,58,7,0,0,113,543,117,41,0,4,705,51,19,8,5,0,89,20,9,0,0,0,30,3030,1109,538,22,18,4714,126,28,32,0,0,189,495,143,69,36,0,745,11894,1765,769,75,30,14536
1006,6316,464,78,79,16,6959,5119,118,46,11,8,5297,1646,333,197,7,0,2191,166,39,27,0,0,230,165,68,38,0,0,271,494,54,23,6,3,579,65,14,7,21,7,114,12,10,0,0,0,22,2546,520,294,35,8,3404,198,157,20,0,0,380,560,65,27,24,3,687,14737,1318,470,159,33,16718
1007,3082,29,3,33,4,3160,2195,10,0,0,4,2219,670,60,72,0,0,805,82,26,16,0,0,121,37,12,20,0,0,73,544,30,23,6,6,602,170,15,19,26,8,236,4,3,3,0,0,22,1503,146,159,27,13,1845,142,5,21,3,9,174,544,21,46,12,8,633,7470,206,226,80,40,8021
1008,1013,255,74,96,13,1443,705,223,59,3,0,1003,323,301,91,5,12,730,21,13,16,0,0,55,29,29,22,0,0,83,282,155,65,23,5,526,64,9,8,70,3,157,6,3,3,0,0,9,724,512,206,93,26,1566,57,28,13,7,0,105,180,97,44,36,9,364,2689,1120,392,236,46,4476
1009,3752,256,83,127,11,4226,1723,63,13,9,0,1809,644,148,119,18,9,938,0,10,27,0,0,32,8,5,19,0,0,38,224,36,16,8,3,285,39,8,0,25,10,91,6,8,0,0,0,14,927,202,187,50,20,1396,102,53,8,4,6,165,336,149,26,106,5,618,6839,722,312,300,42,8221
