SUA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1000,4649,5039,5296,4481,1476,197,24486,180,1589,2497,3127,3581,3253,706,89,15021,3097,16835,18536,18034,16203,14034,4723,951,92421,1973,7934,11204,14468,16160,12485,4816,1042,70081,13580,29872,29825,32666,35141,23726,9294,2008,176100,1888,1983,1756,2024,2451,1654,486,90,12332,941,1329,1810,3036,4496,4190,1830,412,18034,16404,33187,33386,37724,42090,29563,11602,2506,206469,210,396,461,605,995,1182,735,216,4798,11199,11127,11872,13419,15841,16053,11441,5361,96311,33192,74293,82613,92420,100155,81050,35505,10358,509592
1001,660,464,388,233,73,3,2552,35,326,444,418,360,266,82,9,1932,414,2460,2400,1694,1131,944,340,70,9452,358,1353,1477,1476,1354,965,399,81,7471,1752,3935,3221,2949,2625,1643,672,209,16997,217,251,188,161,135,113,25,4,1094,99,143,181,260,303,264,128,44,1416,2075,4323,3585,3370,3066,2022,821,249,19509,22,43,52,48,47,67,61,20,366,780,869,805,707,725,786,783,390,5842,3730,10060,9419,8177,7074,5286,2555,823,47123
1002,468,338,342,245,125,38,1930,13,79,112,115,103,111,32,4,565,198,802,575,514,448,341,173,47,3097,77,218,238,284,298,210,128,35,1486,330,645,457,437,451,282,148,54,2796,114,38,34,28,38,23,10,3,302,33,25,31,58,72,67,44,14,345,479,715,527,521,559,372,202,66,3440,14,21,15,18,18,21,14,3,127,837,360,236,197,219,186,249,141,2426,1619,2549,2178,1980,1980,1485,927,338,13068
1003,346,314,327,286,92,17,1630,7,75,161,203,213,227,46,8,943,156,992,1378,1279,998,957,381,105,6237,99,451,593,802,814,755,371,106,3996,528,1073,1229,1273,1473,1095,480,152,7302,84,59,55,75,99,84,23,3,481,25,71,104,127,189,265,113,41,936,638,1208,1383,1477,1768,1437,617,195,8721,7,16,22,37,51,64,63,21,279,304,355,359,362,405,537,497,372,3192,1222,3319,4247,4486,4569,4262,2067,828,24995
1004,75,71,116,138,67,16,535,0,23,50,42,90,84,46,0,335,34,191,199,210,300,321,153,43,1456,24,110,209,221,295,312,137,37,1344,190,435,449,569,625,545,231,55,3105,26,33,30,29,52,49,11,0,230,10,24,27,68,91,100,58,9,391,228,491,502,668,772,691,304,66,3720,3,8,12,10,25,34,16,11,116,159,146,136,232,257,293,265,129,1626,452,1017,1181,1457,1858,1873,988,307,9135
1005,250,230,223,157,66,13,1202,12,93,125,130,105,105,35,5,625,252,1019,851,723,519,385,158,39,3941,126,402,421,511,470,317,165,59,2481,682,1417,1196,1100,932,583,261,79,6251,94,90,66,77,58,50,10,8,449,46,73,77,107,144,149,56,25,684,825,1580,1350,1276,1143,784,327,105,7385,8,16,18,38,32,35,28,14,183,432,588,503,391,279,258,269,168,2886,1672,3935,3523,3300,2769,2042,1054,407,18705
1006,397,406,350,420,218,65,2175,15,75,122,164,196,210,84,8,876,177,835,1082,1059,880,933,564,135,5671,130,402,495,737,669,727,452,122,3745,482,1120,1030,1072,1115,770,478,114,6179,59,53,61,76,90,63,36,12,450,26,53,66,156,196,231,169,30,939,566,1221,1163,1303,1395,1068,688,160,7564,11,17,28,31,52,92,67,29,318,216,186,228,299,298,379,473,400,2490,1134,3042,3523,4004,3838,3830,2542,925,22837
1007,59,54,56,35,3,0,289,3,44,49,38,66,32,9,0,236,67,310,206,177,171,137,48,11,1115,26,149,166,210,228,107,28,13,927,222,614,512,506,584,408,142,36,3018,37,48,23,28,38,29,4,0,203,17,20,28,43,63,46,24,10,255,276,682,560,575,690,486,169,41,3480,9,7,3,6,18,15,5,0,68,215,208,229,203,219,241,200,145,1665,605,1478,1270,1266,1449,1042,454,209,7776
1008,160,115,107,109,24,9,667,0,25,37,44,53,49,10,0,222,74,709,509,398,296,269,91,17,2351,52,255,238,180,166,133,53,7,1086,71,291,226,224,249,151,50,16,1282,9,19,13,16,19,11,3,0,96,10,24,32,36,38,40,13,6,203,93,340,271,273,312,206,63,24,1573,14,27,20,16,11,15,10,3,110,116,269,192,145,135,103,50,32,1047,347,1766,1430,1166,1079,882,294,86,7051
1009,59,78,79,92,50,4,390,6,22,30,46,66,85,34,0,295,37,199,257,296,301,333,162,29,1613,32,86,181,264,340,366,191,37,1492,220,362,459,659,848,766,422,128,3857,24,28,25,38,46,50,19,9,237,16,16,32,44,98,124,75,19,425,259,402,515,739,989,945,516,155,4517,7,0,11,14,21,40,37,9,131,74,58,70,85,199,287,251,100,1127,409,795,1119,1522,1997,2157,1232,334,9571
