SUA_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
1000,139,561,690,903,1018,1272,536,71,5194,308,826,995,783,722,490,83,8,4219,3515,10310,10501,12456,15138,13056,5926,1266,72169,2156,4951,4813,5184,5997,4633,1888,449,30079,940,2348,3038,3670,3745,2720,1173,248,17888,288,1224,1346,1617,2033,1655,617,141,8927,179,986,1289,1683,2146,2974,1015,186,10456,798,2747,3777,4502,4816,4076,1609,260,22584,609,1989,2429,2936,2964,2847,1007,176,14955,351,891,910,821,837,801,284,49,4938,658,1520,1735,1715,1509,996,415,89,8633,60,50,29,22,24,39,14,13,253,191,395,539,709,775,662,255,75,3594,6292,6579,6883,7569,8252,7857,5022,1928,50383,16480,35391,38978,44556,49974,44080,19851,4952,254260,167,696,885,1000,951,727,220,46,4704,48,216,308,372,472,313,76,5,1810,230,656,578,710,671,552,256,138,3801,106,335,374,394,295,202,55,5,1764,717,1550,1494,1543,1299,564,174,34,7382,1895,6437,6336,7208,9359,7033,2756,724,41748,1159,4920,6029,6216,6746,6307,2247,486,34106,2319,7312
1001,23,43,70,84,55,71,19,3,367,49,193,179,99,77,31,6,0,638,385,1265,1102,1066,1069,832,401,122,6241,273,660,444,369,383,287,137,40,2583,49,158,160,169,131,129,60,20,879,75,291,284,222,165,122,55,10,1214,30,185,201,194,222,244,94,15,1179,132,614,702,659,540,371,132,30,3176,121,341,316,301,205,165,67,10,1521,71,121,102,58,44,33,18,0,434,93,307,253,161,121,69,31,9,1039,22,12,7,0,7,3,0,0,48,25,65,70,81,58,46,21,8,376,456,502,452,403,346,328,272,130,2885,1798,4735,4341,3866,3417,2733,1310,391,22597,11,91,97,81,69,29,7,0,389,0,65,59,38,51,27,6,0,243,24,92,61,56,61,35,16,7,362,18,44,44,25,19,9,3,0,169,22,84,72,76,43,17,0,3,329,341,1107,887,730,703,579,245,66,4655,153,680,708,554,505,432,199,28,3261,300,1048
1002,23,72,54,51,64,62,41,12,383,22,60,65,23,29,3,0,0,201,54,175,122,128,149,126,82,27,866,41,105,82,93,108,61,37,14,526,38,84,103,73,70,36,29,15,439,17,93,63,36,53,37,19,3,327,7,38,51,55,73,80,21,6,325,49,163,129,122,108,73,49,10,698,45,115,122,141,144,115,56,12,752,12,37,28,31,20,22,3,3,154,27,60,66,35,16,20,3,0,224,0,4,0,0,0,0,0,0,8,10,8,15,9,14,9,4,0,66,372,181,116,111,110,68,99,41,1100,719,1184,1017,914,951,711,433,141,6081,26,75,74,43,45,25,12,7,306,3,17,18,10,4,3,0,0,62,6,22,9,13,12,4,0,0,68,0,8,3,7,4,0,0,0,31,35,77,55,33,29,12,8,0,245,84,262,164,145,176,137,84,26,1077,31,147,175,161,192,172,102,22,1004,79,204
1003,5,35,47,67,51,71,43,11,337,22,41,44,30,27,25,5,3,203,92,286,354,411,530,570,326,93,2657,70,249,255,276,330,253,104,40,1584,30,87,111,125,124,88,39,13,615,27,106,159,148,161,118,50,16,792,14,58,110,137,149,240,92,30,824,35,121,303,287,254,306,130,28,1477,27,99,162,175,170,168,64,17,882,43,76,85,77,50,32,11,0,374,34,98,146,111,86,44,29,7,549,5,0,0,0,3,0,0,0,8,4,16,18,32,38,33,10,5,153,162,190,219,177,192,213,175,124,1453,562,1463,2012,2059,2171,2173,1079,391,11911,9,45,45,37,37,33,15,7,231,3,6,8,23,15,15,4,0,72,11,15,24,31,24,21,14,14,154,8,19,30,21,12,10,3,0,104,21,34,38,41,51,29,8,0,227,89,351,407,421,481,416,190,69,2420,61,230,313,366,410,430,186,43,2029,100,335
1004,0,8,0,7,21,33,20,4,99,9,23,21,11,23,14,11,0,105,32,92,100,138,214,294,165,39,1066,32,91,102,136,139,128,56,15,698,3,22,21,30,38,36,18,3,171,6,20,29,36,41,41,16,10,204,5,11,19,18,38,66,29,6,194,15,38,69,88,106,118,54,13,494,11,34,55,58,70,82,46,13,364,3,8,10,11,8,19,6,6,68,14,55,46,34,33,25,15,0,206,0,0,0,0,0,3,0,0,3,9,6,9,12,15,16,7,6,76,92,84,58,141,114,130,87,44,750,222,486,533,720,858,1004,531,151,4504,4,4,6,12,27,17,10,3,87,0,5,0,5,6,11,6,0,40,0,11,4,13,7,12,8,6,64,0,7,4,10,8,0,0,0,29,3,8,12,16,10,10,6,0,56,20,86,85,98,182,155,78,23,722,9,57,71,65,128,141,52,17,550,34,110
1005,12,31,26,37,32,26,20,3,176,29,70,76,44,28,16,4,0,269,120,430,401,419,448,352,179,37,2394,104,213,174,148,134,100,49,23,944,12,45,50,58,52,38,30,5,298,30,101,76,76,79,42,18,3,425,7,61,80,79,83,84,39,6,440,56,218,228,224,196,131,61,18,1128,50,150,138,143,100,75,45,22,719,31,55,31,46,22,21,5,0,215,34,109,103,65,43,34,14,4,401,6,4,4,0,4,0,0,0,24,7,17,19,12,25,9,3,4,96,296,478,395,252,153,129,108,49,1859,804,1982,1795,1602,1402,1049,573,180,9384,12,30,34,26,24,8,6,0,142,3,22,18,15,20,14,3,0,91,9,30,33,27,36,16,12,9,166,5,14,11,5,10,6,0,0,51,16,29,21,33,19,12,3,0,136,173,338,276,244,271,205,82,40,1629,76,287,230,266,235,199,82,26,1399,113,415
1006,12,17,27,45,56,74,44,13,289,19,51,86,47,42,13,7,0,262,93,348,347,484,580,476,394,107,2827,111,224,244,215,217,177,102,20,1311,28,83,68,78,69,60,32,5,429,16,58,83,86,95,83,75,30,524,0,43,59,94,112,131,83,24,544,49,244,283,317,297,339,218,41,1792,27,103,154,169,144,213,142,47,999,29,66,65,66,56,43,27,13,357,40,93,96,77,58,28,20,0,408,0,0,3,0,0,0,0,0,4,10,17,40,44,24,28,26,12,189,120,98,132,155,138,145,161,120,1077,553,1433,1692,1878,1876,1804,1317,437,11000,11,35,32,45,58,47,30,0,267,7,9,12,14,25,13,7,0,86,5,19,26,35,26,28,17,6,158,7,10,31,40,22,12,10,0,133,12,33,33,42,29,19,11,3,194,93,289,277,325,345,384,188,67,1968,35,188,228,292,288,370,215,56,1671,78,398
1007,0,7,4,9,11,6,6,0,42,9,17,35,21,16,6,0,0,99,85,245,217,219,251,235,92,25,1371,23,54,40,32,74,63,32,4,331,5,11,9,8,12,18,4,0,72,21,35,35,35,36,15,8,0,182,7,36,11,32,35,23,5,0,146,10,44,54,56,64,33,6,5,284,13,45,29,41,41,32,10,0,225,0,18,9,6,5,0,0,0,42,7,32,26,30,24,15,5,0,144,0,0,0,0,0,0,0,0,8,4,3,12,9,4,11,0,0,48,132,125,121,121,114,107,74,49,837,313,689,600,627,697,575,244,85,3832,4,7,8,10,6,0,0,0,42,0,4,3,11,12,6,5,0,41,6,8,8,9,15,5,0,4,54,0,0,0,0,3,0,0,0,10,4,14,9,6,6,3,0,0,44,59,188,140,103,189,97,39,8,824,20,121,80,92,83,43,18,4,460,35,127
1008,0,24,18,21,11,21,4,4,104,3,14,27,15,7,6,3,0,69,13,72,69,63,90,82,40,7,436,9,84,78,65,73,52,15,3,387,3,30,18,24,19,6,4,0,107,5,46,32,39,48,34,17,6,222,0,25,21,10,13,43,9,4,118,14,158,114,82,82,56,23,0,522,0,67,49,57,61,71,22,0,329,18,73,48,55,18,14,8,0,249,4,74,52,27,24,7,5,0,196,0,0,0,0,0,0,0,0,5,0,5,15,12,10,5,0,0,53,52,135,110,84,63,48,19,7,517,125,787,658,563,525,454,161,34,3307,0,33,15,17,8,3,6,0,86,0,3,5,0,4,0,0,0,12,0,15,10,3,10,0,3,3,48,0,29,13,15,11,5,4,0,77,0,10,11,10,3,4,0,0,40,13,90,78,80,104,68,31,10,488,4,48,65,58,67,97,24,8,371,38,197
1009,3,0,8,8,19,24,18,0,88,10,8,13,16,13,22,10,0,83,37,75,121,205,316,473,304,84,1617,39,79,87,114,134,152,71,28,708,4,16,27,29,40,38,16,4,177,10,25,21,41,31,47,15,6,189,3,15,29,46,64,89,39,8,301,16,37,53,87,93,128,96,10,514,19,27,42,56,61,58,31,4,295,6,7,11,7,10,18,3,7,80,16,24,30,33,39,35,15,8,187,5,0,0,0,0,0,0,0,5,4,0,4,11,10,15,8,0,51,43,46,40,64,90,127,91,40,544,207,367,489,721,932,1222,715,195,4857,0,0,11,15,22,27,9,0,80,0,3,4,10,5,7,4,0,34,0,0,12,15,12,9,10,8,61,0,9,7,5,0,4,0,0,32,12,8,5,7,15,8,5,0,51,21,85,98,150,213,175,87,22,857,21,73,99,124,153,170,103,14,761,19,75
