SUA_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
1000,9433,10631,10522,6596,2147,488,49449,2227,6133,7025,7961,8287,4828,1193,172,37836,571,1642,1850,1760,1640,1114,390,105,9071,1851,3610,3264,3104,2296,1444,478,89,16137,62,50,17,40,44,39,26,21,284,143,320,464,639,574,408,140,36,2721,5219,5024,5582,6283,7023,6845,5486,3052,44514,16712,38901,43628,47866,50181,36975,15654,5402,255333,302,1264,1581,1899,1967,1998,763,123,9892,356,1047,1295,1156,1192,804,164,10,6032,3739,10966,11075,13163,15816,13614,6184,1404,75963,2268,5291,5187,5578,6285,4837,1937,450,31845,1661,3898,4535,5211,5041,3283,1349,283,25266,2186,7661,7680,8822,11394,8695,3372,862,50672,1336,5900,7317,7895,8891,9280,3251,674,44561,3121,10060,13208,15135,15335,10673,3757,749,72034,2828,8126,9457,10899,11251,7673,2203,349,52793,927,2532,2757,2576,2475,1914,679,155,14003,2510,5134,4991,4816,3806,2443,895,179,24778,127,103,44,62,70,81,40,31,544,329,718,1000,1350,1349,1065,397,108,6314,11511,11607,12467,13854,15278,14701,10508,4984,94896,33192,74293,82613,92420
1001,1177,1075,839,446,129,41,5059,300,910,916,873,721,396,109,3,4226,66,159,165,109,92,60,40,12,707,257,550,424,313,190,150,62,22,1972,26,16,6,3,8,4,0,0,62,16,51,56,58,24,20,12,0,239,383,427,402,316,325,355,403,238,2844,1929,5320,5075,4307,3654,2551,1247,427,24525,31,133,162,161,124,100,28,6,754,51,254,236,131,132,61,10,0,883,418,1356,1161,1130,1127,864,420,128,6605,291,706,488,394,401,299,138,41,2757,74,238,232,243,179,149,63,19,1205,410,1391,1174,951,868,702,304,69,5873,185,863,912,752,719,670,296,45,4442,433,1660,1875,1732,1378,816,264,73,8236,420,1245,1238,1175,928,557,174,16,5749,139,276,259,167,133,94,50,15,1137,349,854,679,473,309,218,99,28,3011,52,27,12,3,12,4,0,0,113,44,122,131,139,77,65,39,7,619,832,934,851,717,675,678,673,366,5730,3730,10060,9419,8177
1002,188,243,200,122,71,11,1114,73,244,204,213,186,150,67,20,1162,16,37,42,49,41,20,5,6,229,62,65,54,37,22,12,9,0,273,4,7,0,0,0,0,0,0,7,3,9,20,21,13,10,7,3,86,473,192,129,91,107,106,120,89,1304,903,1370,1158,1063,1034,775,494,200,6988,51,145,138,94,110,85,52,17,692,22,77,84,33,40,5,3,0,268,64,193,127,144,157,134,86,25,933,49,114,84,92,110,59,37,14,565,68,154,156,101,95,52,35,11,683,101,356,223,184,224,175,103,33,1403,39,184,231,212,266,248,115,29,1331,125,371,318,366,309,192,115,20,1810,124,357,333,353,336,267,124,34,1917,28,77,72,80,60,44,10,13,385,90,122,122,72,47,28,12,6,495,6,4,0,0,3,0,0,0,17,12,16,39,28,25,22,10,3,158,845,375,244,206,220,172,220,128,2409,1619,2549,2178,1980
1003,462,572,544,408,159,59,2639,97,287,384,426,407,306,83,17,2000,37,139,158,108,86,61,29,4,617,90,187,164,150,109,90,25,9,827,3,0,3,5,0,0,6,0,19,9,26,25,31,27,16,11,0,144,142,185,171,198,190,248,248,215,1597,659,1853,2236,2422,2395,2093,981,435,13084,9,82,94,108,90,109,62,13,566,25,46,55,53,44,47,6,3,276,94,301,382,443,557,592,341,110,2813,76,273,288,296,346,261,106,44,1683,50,124,147,170,175,118,50,13,846,116,452,564,575,647,529,245,85,3211,68,290,423,495,560,674,274,69,2857,138,451,766,857,795,721,287,92,4114,119,386,542,601,575,472,147,34,2880,78,210,240,190,137,98,35,12,993,124,287,310,257,193,131,55,14,1383,7,0,3,5,5,5,3,0,25,12,45,45,54,63,56,22,3,302,302,373,390,376,384,463,424,342,3052,1222,3319,4247,4486
1004,153,179,226,205,84,9,999,45,87,107,159,178,122,47,9,756,8,18,25,19,28,17,7,6,131,33,68,76,63,64,43,6,0,349,3,0,0,0,4,0,5,0,11,5,7,9,11,13,9,9,5,59,73,70,86,88,113,138,145,74,783,235,530,646,738,1006,868,457,156,4632,4,8,8,23,51,51,33,10,190,9,30,23,15,31,25,16,0,148,28,98,111,145,216,305,173,49,1127,35,103,103,141,142,128,60,13,728,8,33,28,43,48,47,22,3,232,29,103,115,138,226,194,90,34,928,15,63,93,81,170,210,79,25,740,50,145,222,271,333,319,136,21,1494,51,124,163,219,252,204,96,21,1118,15,24,33,28,36,35,18,7,200,45,120,115,97,93,65,20,0,554,3,3,0,3,4,0,5,0,15,11,8,17,26,22,29,15,12,134,161,149,144,227,232,265,232,116,1536,452,1017,1181,1457
1005,441,420,328,230,68,34,2052,173,356,323,308,221,126,44,7,1552,55,106,58,66,36,25,16,7,371,86,152,126,116,47,32,9,0,584,10,7,5,0,3,3,0,0,31,5,19,19,14,8,8,8,4,89,137,149,137,148,114,102,134,112,1030,868,1952,1729,1696,1375,996,478,233,9322,23,56,59,60,59,40,22,3,321,33,91,95,63,45,28,9,0,364,128,461,431,448,484,371,187,50,2560,111,224,180,152,141,102,54,23,992,20,71,76,96,72,53,31,5,424,207,440,353,314,349,255,98,37,2053,84,349,305,344,320,284,117,36,1841,172,636,660,640,525,359,128,47,3174,215,506,462,446,327,201,90,32,2273,79,165,86,109,56,48,31,4,582,123,266,226,189,93,65,21,4,991,17,13,7,5,4,4,0,0,44,18,33,34,31,32,20,12,8,187,437,619,535,401,270,228,243,157,2886,1672,3935,3523,3300
1006,417,517,467,468,237,56,2636,99,259,342,364,322,329,155,22,1886,46,83,125,108,95,93,53,18,633,81,161,137,161,111,72,40,3,757,0,0,0,3,3,0,3,0,15,8,18,45,45,38,25,13,5,187,101,97,120,141,142,153,240,242,1246,581,1607,1830,2125,1962,2024,1226,486,11834,16,58,61,94,112,122,67,21,553,23,63,97,59,65,30,10,0,348,99,365,369,515,601,506,407,114,2985,117,239,273,249,236,192,115,20,1447,43,112,107,120,98,84,47,10,618,109,341,367,406,443,464,265,99,2491,36,233,295,392,393,497,296,77,2210,128,637,699,829,768,809,461,96,4429,124,360,497,528,463,546,290,69,2887,76,151,192,174,152,142,75,28,991,121,256,232,236,165,94,59,3,1169,3,0,4,4,3,0,3,0,16,20,33,79,88,60,51,37,13,384,222,199,253,299,275,301,401,369,2320,1134,3042,3523,4004
1007,131,140,156,82,23,5,701,34,124,113,121,131,62,8,0,597,3,10,9,9,3,9,4,3,50,36,68,45,43,38,26,10,0,271,0,6,0,0,0,0,0,0,7,0,3,8,4,8,6,0,0,37,90,104,114,97,92,118,113,93,814,294,792,668,641,748,466,218,124,3949,4,11,14,20,19,6,8,6,80,7,22,37,31,30,15,5,0,137,92,258,230,225,267,241,94,24,1427,22,60,40,39,75,63,32,4,344,7,25,14,22,23,22,4,0,121,80,225,176,142,229,106,41,8,1009,23,162,95,119,115,64,22,5,608,41,175,185,200,223,116,33,12,979,51,172,141,158,173,99,23,5,817,4,31,15,12,15,11,5,3,92,48,99,78,75,60,43,9,6,413,5,6,0,0,3,0,0,0,14,8,8,17,14,17,14,3,0,85,218,225,228,216,205,224,188,147,1651,605,1478,1270,1266
1008,166,111,91,59,14,4,682,32,143,153,116,123,80,21,3,672,34,189,116,73,35,39,3,0,494,17,66,41,45,23,14,0,0,211,0,0,0,0,0,0,0,0,0,4,11,14,13,8,3,0,0,64,66,145,86,59,63,38,18,19,501,218,980,773,605,552,424,136,51,3747,5,54,37,36,18,30,8,3,189,3,16,30,20,5,8,4,0,84,15,85,79,66,100,85,41,11,486,7,109,94,79,85,61,17,3,461,5,36,31,34,25,13,4,0,148,21,136,113,125,149,105,48,12,704,4,64,88,64,86,139,30,12,492,51,351,283,188,176,114,37,5,1206,40,214,204,176,178,147,45,3,1006,52,259,166,129,59,59,15,5,737,25,141,94,67,46,30,4,0,401,0,0,0,0,0,0,0,0,5,7,13,35,25,23,14,4,0,117,124,275,193,144,131,87,37,26,1019,347,1766,1430,1166
1009,142,196,257,235,118,19,1059,40,75,125,145,179,131,37,10,739,11,19,25,20,26,18,8,5,128,36,61,61,55,72,46,30,6,378,9,0,0,0,0,0,0,0,7,4,3,5,10,8,4,4,0,43,30,26,32,36,94,98,110,49,483,198,428,630,799,1066,935,516,140,4710,3,0,18,28,44,52,25,0,173,3,14,21,20,17,23,9,0,119,36,80,134,216,327,484,313,89,1680,39,90,99,121,140,154,71,27,738,17,21,34,40,53,41,17,3,232,29,109,122,190,243,217,106,35,1042,21,90,125,176,221,262,144,24,1058,43,105,192,287,352,360,209,30,1574,51,106,171,204,239,193,68,5,1039,20,29,37,29,41,35,10,12,212,49,82,94,92,110,82,40,13,562,3,0,0,0,0,0,0,0,16,4,4,12,15,18,27,11,4,93,77,68,76,97,184,227,204,91,1027,409,795,1119,1522
