SUA_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
1000,14000,16920,38079,40934,47915,47718,19264,4292,570,229688,457,779,1731,2109,2839,3580,2889,1003,130,15522,24,155,473,413,363,156,27,3,3,1619,500,519,1245,1349,1641,1383,324,52,6,7019,35,46,183,231,320,207,38,4,0,1063,177,296,1094,1257,1275,1057,319,29,0,5511,107,228,501,543,675,565,158,27,0,2808,3807,2087,3428,3556,4520,4220,1047,103,9,22777,4546,2315,2788,2450,2696,2550,685,74,4,18114,87,216,575,742,1099,1099,373,57,3,4243,49,119,225,265,303,282,101,8,0,1352,53,216,748,908,1009,733,142,18,0,3822,104,268,575,552,644,498,219,37,5,2899,229,674,2226,2437,2572,1994,673,70,3,10867,146,442,1171,1463,1817,1761,430,47,0,7270,214,640,2752,3627,4193,2662,463,29,0,14575,603,1517,5034,7030,7949,6463,1619,97,4,30316,1018,3030,8077,8696,11221,11915,2681,129,6,46757,296,331,563,500,587,490,156,35,0,2948,454,611,1491,1416,1489,1144,349,41,4,7005
1001,1641,2352,5295,4736,4385,3602,1170,157,16,23355,12,14,29,28,39,33,21,10,0,186,0,0,0,0,0,0,0,0,0,6,62,57,206,212,191,160,33,0,0,914,0,5,15,19,16,9,0,0,0,62,20,49,146,176,125,111,35,0,0,671,9,17,33,47,60,51,15,3,0,236,556,409,502,427,463,381,91,3,0,2838,581,284,336,242,217,146,33,0,0,1835,9,28,71,76,113,94,36,8,0,428,11,20,32,35,18,13,5,0,0,138,5,29,122,102,97,68,10,0,0,435,7,27,61,56,61,39,22,0,0,276,17,61,200,235,180,149,47,4,0,890,24,45,152,175,172,141,35,5,0,741,54,165,378,450,480,317,54,3,0,1901,72,196,701,807,749,523,126,7,0,3178,125,561,1638,1372,1347,1170,278,8,0,6505,35,36,36,40,35,20,5,0,0,213,36,90,231,169,139,89,35,5,0,798
1002,356,540,1143,982,892,849,307,56,3,5130,5,13,43,19,22,15,19,6,0,145,0,0,3,0,3,0,0,0,0,6,10,15,11,14,4,12,3,0,0,71,0,0,6,3,0,0,0,0,0,7,3,7,15,17,11,13,3,0,0,77,0,3,7,7,4,10,0,0,0,42,108,86,81,57,67,65,25,4,0,494,163,94,65,38,35,36,9,4,0,441,0,0,4,10,8,11,8,0,0,40,4,13,4,5,6,3,4,0,0,47,0,5,31,28,18,15,4,0,0,98,4,8,11,9,14,5,0,0,0,51,4,29,68,64,70,35,15,3,0,281,0,12,39,38,39,30,5,0,0,158,3,14,64,57,69,37,11,4,0,261,34,99,241,329,329,297,59,10,0,1397,28,129,360,235,233,236,51,0,0,1260,7,11,10,11,4,3,0,0,0,58,15,13,39,28,31,23,6,0,0,157
1003,709,753,1619,2102,2212,2019,770,126,15,10334,3,15,36,29,44,62,46,23,3,256,0,0,3,3,4,3,0,0,0,8,21,17,57,63,67,54,16,0,0,303,0,0,6,10,10,3,0,0,0,26,4,12,32,60,66,45,21,0,0,235,3,8,18,27,30,30,14,0,0,121,252,138,186,191,214,196,71,7,0,1256,272,132,143,138,128,104,35,8,0,955,3,11,9,22,19,34,7,5,0,116,0,10,5,9,12,19,7,0,0,59,0,10,37,49,53,29,9,4,0,191,0,7,33,41,47,26,14,0,0,172,11,40,132,167,153,118,37,0,0,649,9,19,55,74,84,67,19,4,0,325,3,11,64,122,156,95,13,4,0,465,19,52,211,342,484,350,65,6,0,1529,46,164,513,578,670,756,172,5,0,2905,10,17,26,33,23,26,7,3,0,151,19,36,92,93,87,57,20,0,0,404
1004,214,235,540,577,725,676,259,37,3,3262,0,0,0,6,3,4,3,0,0,29,0,0,0,0,0,0,0,0,0,0,10,0,10,4,12,14,9,0,0,57,0,0,4,0,0,0,0,0,0,4,0,5,37,19,20,18,14,0,0,109,0,0,0,3,6,9,0,0,0,22,73,33,71,76,102,97,28,4,0,478,72,48,47,76,78,67,14,0,0,403,0,4,0,7,12,17,8,0,0,42,5,8,9,6,5,0,3,0,0,32,0,3,14,17,17,11,0,0,0,65,5,7,16,14,14,13,9,0,0,77,8,4,19,33,36,32,15,0,0,138,0,11,21,27,38,31,8,0,0,130,6,7,27,64,65,75,13,0,0,263,4,12,52,78,75,89,21,3,0,339,8,43,147,137,186,238,53,9,0,817,5,6,8,15,9,6,3,0,0,51,9,12,17,29,36,24,4,0,0,135
1005,639,973,1988,1717,1698,1341,425,60,7,8849,4,5,12,13,24,15,5,3,0,84,0,4,7,10,0,0,0,0,0,19,33,36,65,73,75,68,14,0,0,357,0,0,10,15,13,3,0,0,0,43,10,17,46,39,46,31,4,0,0,189,8,9,14,11,18,15,6,0,0,73,170,135,211,175,140,126,36,0,0,1003,232,104,115,70,85,54,18,0,0,680,0,3,26,32,30,37,6,0,0,128,5,18,24,28,21,11,0,0,0,101,3,19,35,39,34,27,12,0,0,164,3,6,19,21,24,17,10,0,0,97,10,31,96,75,58,57,25,0,0,344,11,22,65,55,76,46,14,0,0,284,4,45,181,169,177,116,19,0,0,711,47,114,291,316,391,242,46,0,0,1450,86,316,559,441,459,386,94,8,0,2347,23,15,23,24,16,14,0,0,0,118,18,46,77,62,61,37,12,0,0,317
1006,607,732,1643,1820,2053,1815,790,186,12,9652,3,11,19,17,27,27,18,3,0,125,0,0,0,0,5,5,0,0,0,14,23,22,42,65,72,60,25,5,0,306,0,0,5,3,12,3,0,0,0,26,7,15,46,73,59,51,25,4,0,277,10,4,23,39,58,45,10,0,0,188,135,123,178,157,249,202,72,13,0,1130,227,152,142,106,98,88,35,7,3,861,4,4,21,24,43,42,14,4,0,159,5,6,11,16,22,18,4,6,0,97,0,7,41,82,68,36,27,0,0,263,0,12,33,43,60,37,19,8,0,209,5,28,117,156,178,124,67,15,0,688,9,5,44,75,99,57,26,3,0,321,0,17,62,86,87,59,24,0,0,337,37,64,200,250,382,309,97,11,0,1347,32,137,419,397,462,465,167,19,0,2094,11,20,27,24,30,23,13,0,0,149,30,44,78,79,73,63,6,3,0,384
1007,227,325,788,663,677,729,227,18,6,3655,3,0,0,3,9,3,7,0,0,18,0,0,14,14,4,15,5,0,0,50,0,0,4,4,12,4,0,0,0,28,0,0,4,4,5,3,0,0,0,17,0,3,16,5,5,9,3,0,0,50,0,4,7,7,12,4,9,0,0,35,99,40,74,68,75,84,17,3,0,467,74,43,59,56,50,56,20,0,0,357,0,0,5,5,18,15,3,0,0,42,0,3,4,6,6,3,0,0,0,19,0,12,16,6,6,4,0,0,0,50,0,8,7,9,10,8,0,0,0,43,0,0,23,8,14,15,8,0,0,69,0,10,27,21,28,43,6,0,0,138,0,9,39,40,64,58,9,0,0,214,5,24,127,95,119,88,20,0,0,482,28,83,314,247,221,298,63,6,0,1252,3,6,15,8,10,4,3,0,0,50,7,24,30,18,20,25,11,0,0,143
1008,98,143,757,620,519,398,187,18,0,2735,0,3,13,4,9,0,5,0,0,34,0,0,0,0,0,0,0,0,0,0,8,4,25,8,11,12,0,0,0,70,0,0,0,0,0,0,0,0,0,6,0,6,10,18,17,6,3,0,0,59,0,0,10,6,8,3,0,0,0,30,41,37,88,63,37,30,22,0,0,305,49,79,210,99,57,43,14,0,0,546,0,0,13,8,0,6,4,0,0,32,0,3,17,19,8,10,0,0,0,64,0,0,12,14,8,8,4,0,0,47,0,4,15,13,19,14,3,0,0,66,0,5,85,91,49,29,12,0,0,271,0,7,50,27,21,22,3,0,0,139,0,3,9,21,15,16,4,0,0,73,3,14,54,72,68,65,12,0,0,290,0,21,104,99,104,98,32,0,0,457,0,3,17,18,17,8,0,0,0,62,5,10,45,27,18,14,0,0,0,119
1009,259,224,399,516,770,738,209,27,8,3151,0,4,4,3,18,13,4,0,0,41,0,0,0,0,3,0,0,0,0,5,3,0,3,12,14,30,4,0,0,68,0,0,0,8,17,11,0,0,0,40,0,3,15,22,30,20,3,0,0,88,0,0,0,8,8,3,4,0,0,25,67,29,41,64,86,116,31,0,0,431,103,35,32,60,48,47,10,0,0,338,0,3,0,0,12,10,5,0,0,31,4,3,0,0,5,3,0,0,0,15,0,4,10,15,14,17,0,0,0,61,0,0,11,13,19,13,3,0,0,55,4,5,16,45,47,27,15,0,0,151,0,5,13,22,32,37,7,0,0,127,0,7,18,34,40,32,4,0,0,138,18,19,64,129,145,127,22,0,0,538,32,37,118,157,261,282,52,7,0,950,9,8,0,0,9,3,0,0,0,37,7,11,26,30,34,29,10,0,0,143
