SUA_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
1000,613,575,1187,1412,1603,1409,640,244,55,7736,13519,15077,36066,40944,48818,44169,13310,2100,216,214217,1609,2708,6655,7432,9351,11825,8881,3287,498,52254,151,694,2673,3003,2783,1743,256,31,0,11329,1466,2037,4623,4710,5545,4856,1286,187,15,24719,106,255,996,1278,1565,1334,212,15,0,5758,2853,4137,8940,8317,8254,7249,2100,193,9,42060,451,648,1507,1688,2063,1914,581,115,7,8972,6268,3687,5624,5638,6786,6595,1951,265,21,36831,7624,3708,4560,3833,4270,4218,1387,171,9,29782,342,708,2041,2701,4100,4761,1844,282,20,16793,110,219,462,588,672,626,215,36,4,2927,75,314,1048,1377,1591,1261,335,50,6,6061,165,369,847,980,1137,986,488,115,12,5103,344,1059,3472,4101,4577,3878,1847,245,16,19529,342,864,2116,2462,3182,3184,905,91,0,13135,525,1440,5258,7238,8960,6725,1327,74,4,31556,758,1926,6339,8675,10074,8644,2465,180,4,39060,1180,3483,9644,10480,13555,14575,3612,244,10,56781,526,636,1078,1012,1150,1078,389,70,8,5942
1001,45,57,153,121,113,99,26,15,0,634,1667,2156,5042,4788,4621,3621,904,76,4,22881,19,42,102,97,131,116,79,38,3,620,0,0,10,26,15,14,0,0,0,71,159,319,959,982,886,689,130,5,0,4129,0,25,62,85,74,67,12,0,0,324,294,612,1230,931,684,638,177,10,0,4573,29,54,175,209,238,189,73,12,0,975,910,700,983,794,756,612,187,15,8,4955,999,522,609,431,347,240,60,5,0,3214,33,100,388,371,480,466,181,18,0,2035,17,32,81,73,65,35,16,3,0,324,12,50,164,175,175,124,25,0,0,733,9,39,115,98,110,71,43,4,0,493,33,120,426,446,356,278,119,16,0,1794,42,88,260,301,302,274,89,15,0,1368,209,446,921,908,1001,657,116,9,0,4268,105,254,926,1070,1010,754,200,14,0,4334,153,672,2044,1747,1716,1453,381,25,0,8190,80,72,68,73,61,39,24,0,0,415
1002,12,12,25,17,23,16,4,6,0,118,396,560,1135,984,991,868,237,35,3,5214,12,42,125,85,71,57,49,27,0,465,0,3,23,8,13,7,0,0,0,55,30,42,77,53,42,41,11,0,0,301,0,9,11,17,22,22,3,0,0,76,56,91,174,123,116,125,32,4,0,717,12,16,23,28,17,31,6,3,0,135,196,177,197,111,134,111,30,3,0,968,278,185,142,101,53,73,27,4,0,850,3,14,35,30,51,65,32,0,0,223,7,25,19,18,23,12,5,0,0,104,0,8,47,48,46,19,4,0,0,182,4,13,24,17,24,15,8,0,0,103,4,42,118,131,118,87,62,8,0,570,3,18,83,75,67,52,17,4,0,327,7,36,122,135,157,118,23,6,0,600,51,151,385,509,510,484,122,9,0,2215,27,165,498,318,296,303,76,8,0,1694,15,16,25,33,12,14,3,0,0,125
1003,29,17,66,61,60,49,23,6,0,313,712,711,1711,2102,2408,2133,594,70,6,10443,23,44,102,116,139,193,142,66,10,830,0,0,19,27,19,26,3,5,0,94,43,58,155,185,191,187,54,8,0,870,3,3,26,40,46,29,5,0,0,155,118,189,459,462,404,346,114,10,0,2096,14,21,42,56,87,94,29,3,0,343,425,249,345,339,369,324,129,14,0,2200,508,220,278,296,240,200,78,13,0,1834,12,35,52,85,131,150,66,14,0,538,9,11,22,39,33,40,3,0,0,162,4,15,58,90,114,66,22,6,3,383,5,15,47,75,90,66,26,9,0,343,12,62,201,308,279,242,107,4,4,1225,22,35,103,165,162,159,49,3,0,699,10,40,132,240,349,248,54,6,0,1079,30,93,298,500,679,487,119,8,0,2215,52,204,645,782,900,1008,237,9,0,3837,37,24,57,69,56,60,23,8,4,332
1004,14,9,21,17,17,28,12,0,0,113,212,210,518,627,741,772,206,17,0,3312,6,3,9,20,20,16,15,0,0,87,0,4,3,0,4,0,5,0,0,17,16,8,35,31,52,40,18,0,0,194,0,0,9,17,19,12,0,0,0,59,30,71,204,170,190,132,49,0,0,856,0,4,5,20,23,30,9,0,0,93,145,84,124,125,167,176,45,5,0,873,144,73,100,122,113,114,31,3,0,703,4,13,18,26,58,50,28,0,0,196,3,10,15,10,14,10,5,0,0,74,0,3,22,19,27,27,7,0,0,95,4,7,19,16,23,23,19,3,0,118,9,3,35,53,67,69,39,5,0,282,3,19,42,50,75,66,15,0,0,268,3,22,69,123,128,150,30,4,0,531,4,18,65,101,103,119,41,0,0,459,9,57,177,182,242,291,77,5,0,1052,3,11,18,17,12,10,5,3,0,79
1005,11,33,49,44,35,34,12,0,0,217,679,966,1903,1714,1783,1319,328,24,4,8725,8,24,45,58,74,57,27,17,0,313,0,32,91,74,51,36,3,0,0,301,69,114,258,287,322,257,48,7,0,1355,0,3,26,69,58,38,8,0,0,205,103,220,409,312,244,186,64,9,0,1551,20,27,48,57,65,47,16,0,0,277,309,280,425,281,225,186,70,3,0,1766,435,204,225,156,126,83,39,0,3,1275,18,25,112,109,150,141,61,8,0,621,14,29,66,55,41,24,5,4,0,226,3,32,56,68,63,46,17,0,0,287,9,12,34,34,48,32,19,5,0,190,17,49,175,142,111,92,53,9,0,649,19,49,114,93,119,88,23,4,0,499,12,83,349,378,422,264,45,6,0,1551,56,164,408,434,514,366,78,3,0,2014,102,413,720,547,579,494,124,9,0,2997,52,27,39,38,27,39,9,0,0,235
1006,19,14,32,44,75,62,32,8,0,296,567,688,1555,1747,2155,1758,675,104,9,9261,8,30,52,64,69,70,54,22,0,372,0,6,39,40,51,37,5,0,0,177,60,90,215,237,280,275,92,15,0,1267,0,4,15,35,44,28,8,0,0,136,129,225,429,392,352,274,104,21,0,1918,30,17,93,127,150,155,35,8,0,608,231,205,275,245,345,300,131,31,6,1767,425,259,300,206,181,159,53,13,0,1584,8,21,111,135,179,192,65,8,0,729,11,10,37,42,53,48,14,7,0,227,0,13,57,136,137,78,65,8,4,509,9,14,59,79,106,71,34,11,0,387,20,49,207,299,358,262,182,46,7,1429,22,40,98,162,190,127,67,5,0,716,0,31,128,195,239,154,55,0,0,802,44,81,252,342,516,430,139,19,0,1822,43,156,518,514,570,593,225,39,0,2662,27,29,45,52,62,47,31,7,0,293
1007,6,13,21,25,17,17,5,0,0,99,245,284,806,650,693,747,172,17,0,3623,3,0,11,10,8,18,10,0,0,63,13,57,189,187,175,135,20,0,0,778,21,27,31,22,24,27,5,0,0,156,0,0,26,31,34,36,8,0,0,129,26,54,107,81,73,86,30,0,0,462,10,12,26,26,30,31,10,0,0,151,159,80,134,120,115,130,43,4,0,790,136,76,106,90,67,91,29,0,0,598,5,19,43,49,63,78,26,0,0,285,0,3,9,5,13,6,0,3,0,53,0,11,17,14,11,10,4,0,0,68,0,8,9,18,17,8,4,0,0,62,8,7,29,25,19,26,17,3,0,129,0,14,53,45,42,64,12,0,0,227,0,19,106,79,122,129,17,0,0,476,4,30,174,109,147,120,23,0,0,620,35,113,409,308,293,365,84,3,0,1615,12,10,14,6,18,9,11,0,0,78
1008,4,16,87,49,28,10,10,3,0,206,119,224,858,640,491,393,136,8,0,2873,0,5,32,15,20,5,6,0,0,90,0,0,0,4,0,4,0,0,0,9,5,15,65,29,43,26,6,6,0,190,0,0,3,5,8,4,0,0,0,22,10,30,150,96,87,57,27,0,0,456,5,4,21,28,16,15,6,0,0,87,69,51,120,97,52,50,34,4,0,478,88,132,453,209,98,88,27,0,0,1100,0,3,21,24,12,38,12,0,0,109,4,3,25,33,16,15,9,0,0,107,0,3,17,31,27,19,15,0,0,117,3,6,22,23,35,29,15,0,0,132,3,11,126,159,127,65,41,0,0,536,5,14,81,55,39,39,10,0,0,256,5,6,15,35,28,25,10,0,0,129,3,16,78,104,105,86,35,5,0,417,0,23,148,137,152,143,50,4,0,657,7,10,31,36,37,26,6,0,0,138
1009,9,4,8,6,18,21,5,4,3,81,260,184,401,633,843,839,178,21,3,3362,8,12,26,29,33,35,22,4,0,164,0,0,5,8,9,9,4,0,0,38,21,19,36,49,77,71,14,3,4,285,0,6,6,29,45,45,4,0,0,128,67,80,145,143,189,159,26,0,0,809,0,0,12,20,31,18,6,0,0,100,128,53,68,98,133,174,56,5,0,713,166,71,60,84,77,90,22,0,0,572,7,8,10,29,53,69,17,0,0,193,3,0,3,8,7,6,0,0,0,32,0,4,11,20,30,22,13,0,0,104,0,6,12,16,27,19,3,0,0,86,3,11,25,66,80,58,26,4,0,266,3,11,21,36,59,78,24,3,0,238,0,20,38,63,95,67,17,0,0,300,27,26,86,166,206,164,38,0,0,717,37,47,159,200,335,356,67,7,0,1208,14,5,6,0,13,9,6,3,0,65
