SUA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
1000,78077,71763,64274,52085,48170,32904,34327,53448,8842,443906
1001,5175,8722,6996,6574,5549,4302,3310,4833,776,46230
1002,1300,2783,1206,1387,1160,866,389,1111,145,10348
1003,2910,4683,2858,2809,2284,1992,843,2082,319,20776
1004,813,1002,1007,946,799,769,333,767,135,6581
1005,1859,3378,2475,2805,2076,1591,1174,1920,292,17579
1006,2776,4116,2988,2089,2083,1688,1070,1801,300,18918
1007,692,1257,1122,1169,769,653,731,728,157,7275
1008,1014,1433,745,744,423,464,136,509,135,5614
1009,736,1214,1040,1014,761,594,364,700,95,6519
1010,18290,30582,21638,19324,19540,13721,8788,14414,2509,148810
1011,3901,6433,4215,4631,3936,3161,1464,3928,529,32202
1012,2067,3882,2754,3054,2478,1899,1169,1985,359,19645
1013,733,1278,1007,1214,822,851,289,816,135,7155
1014,1153,1700,1598,1784,1260,1023,906,1381,219,11024
1015,674,1148,902,1330,876,768,503,954,125,7274
1016,1336,1505,1415,1004,1125,924,717,2184,271,10481
1017,487,723,637,985,535,528,374,704,102,5071
1018,1161,2590,1635,1953,1522,1285,689,1736,185,12763
1019,439,672,748,665,617,409,518,549,90,4720
1020,759,992,1256,916,896,601,545,711,142,6825
1021,1260,2084,1912,1488,1399,917,924,1209,239,11428
1022,650,962,1116,743,585,521,783,649,96,6106
1023,373,584,1093,576,484,460,1027,743,111,5449
1024,1440,1934,1808,1591,1320,1082,527,1106,208,11026
1025,25519,53645,34932,32116,29588,20799,16454,22181,3550,238782
1026,1678,2634,2488,2669,1639,1609,911,1802,261,15693
1027,2150,4531,2927,2616,2449,1618,1377,1950,313,19943
1028,2423,5113,2768,3370,2670,2160,823,1913,360,21595
1029,737,1032,1507,1313,887,693,1400,809,148,8524
1030,863,1393,1258,1190,844,651,334,794,133,7459
1031,344055,672000,227090,201913,310254,172287,124801,146815,43747,2242971
1032,1983,3664,2706,2648,2215,1867,1308,3033,292,19715
1033,853,1427,1236,1620,952,1098,630,1347,174,9353
1034,852,1190,1115,918,682,739,243,736,100,6571
1035,3061,6021,4003,4367,3220,2660,1487,2920,477,28225
1036,15607,32029,20362,18158,17541,11271,9158,11989,2201,138310
2000,59909,51552,46819,37062,32163,24053,20925,39755,6439,318682
2001,1302,2017,2053,1507,1746,1001,1087,1072,222,12009
2002,684,1066,921,916,739,687,412,944,136,6510
