SUA_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
1000,594,395,5171,4698,996,7381,924,6703,666,27517,1703,2624,7385,6112,2517,3519,2142,5407,587,31994,8553,14032,14248,9437,7191,4623,5530,9197,1338,74141,14549,16465,12186,9058,9446,4354,6317,7963,1536,81876,19154,17424,12011,10819,12278,5549,7932,9795,1771,96729,18897,14895,10217,9794,11747,5547,8483,10690,1622,91895,10657,5300,2766,2060,3526,1692,2676,3114,780,32574,3463,592,273,111,441,224,318,531,434,6388,508,38,17,3,25,23,9,46,116,791,78077,71763,64274,52085,48170,32904,34327,53448,8842,443906
1001,53,49,567,538,157,1147,80,652,65,3303,197,408,1086,1023,365,575,270,512,72,4509,887,2406,1959,1592,959,696,758,911,170,10339,1371,2331,1341,1215,1097,554,637,825,167,9526,1344,1844,1021,1133,1396,647,676,804,144,9008,963,1263,805,864,1204,509,661,840,107,7220,301,383,199,205,327,156,212,255,27,2073,52,34,20,12,31,13,17,30,17,234,3,0,0,0,0,4,0,0,8,19,5175,8722,6996,6574,5549,4302,3310,4833,776,46230
1002,20,27,82,149,30,229,42,163,16,752,56,137,149,270,110,165,33,165,13,1100,237,608,338,369,236,141,87,250,26,2283,269,696,235,197,215,98,53,175,25,1966,326,602,171,204,255,110,55,139,36,1885,260,519,183,147,244,85,98,166,16,1720,104,180,45,47,65,36,23,47,10,548,29,15,8,4,8,4,0,10,15,92,0,0,0,0,3,0,0,0,0,8,1300,2783,1206,1387,1160,866,389,1111,145,10348
1003,25,19,182,257,34,500,44,333,28,1427,69,135,277,324,115,237,69,214,24,1466,310,843,635,475,306,261,113,333,49,3329,667,1168,624,513,454,282,123,302,68,4208,766,1213,550,603,597,296,178,348,71,4620,669,960,448,527,560,295,218,421,39,4146,297,311,138,102,197,96,87,121,23,1369,94,25,7,12,21,14,13,9,12,198,11,4,0,0,0,0,0,0,4,20,2910,4683,2858,2809,2284,1992,843,2082,319,20776
1004,7,4,64,67,13,164,3,87,11,426,19,40,108,77,34,78,19,70,7,442,102,174,230,155,112,94,56,114,23,1063,181,197,190,173,154,90,58,133,20,1202,219,215,222,214,201,138,78,162,27,1464,209,261,148,211,213,148,80,155,30,1450,63,89,46,47,66,52,41,48,12,468,13,21,3,0,11,4,0,4,0,56,0,0,0,0,0,0,0,0,0,3,813,1002,1007,946,799,769,333,767,135,6581
1005,9,33,156,278,57,414,45,305,15,1317,86,199,342,566,154,250,93,227,31,1941,335,886,674,647,387,303,221,364,63,3888,473,792,510,431,450,221,217,272,70,3436,508,721,428,488,490,173,275,336,66,3482,327,576,283,318,412,157,238,328,24,2663,102,150,74,82,108,63,84,79,14,758,15,16,9,4,11,0,6,10,10,86,0,0,0,0,0,0,0,0,7,8,1859,3378,2475,2805,2076,1591,1174,1920,292,17579
1006,21,23,209,217,42,342,34,262,19,1175,73,139,352,292,90,183,62,208,21,1420,317,671,725,430,289,257,188,294,44,3203,613,899,562,340,390,192,215,290,61,3566,776,1035,547,402,521,305,224,332,61,4202,622,845,444,293,489,270,250,301,46,3573,285,412,127,97,215,128,78,94,27,1465,70,85,24,10,40,28,6,17,17,291,6,8,0,6,8,0,0,0,4,22,2776,4116,2988,2089,2083,1688,1070,1801,300,18918
1007,8,5,66,62,8,191,15,109,13,472,19,79,131,131,53,70,52,72,6,612,92,373,268,291,163,106,166,110,29,1592,149,243,214,208,138,79,156,97,32,1311,186,242,202,227,158,82,132,115,30,1369,180,239,187,205,199,95,164,183,36,1478,59,71,55,47,43,25,47,40,9,399,6,10,0,0,5,4,0,3,5,38,5,0,0,0,0,0,0,0,0,5,692,1257,1122,1169,769,653,731,728,157,7275
1008,5,0,18,46,11,85,3,47,4,215,23,27,50,106,34,48,13,47,12,365,215,344,308,287,87,104,35,194,40,1610,276,378,148,137,105,85,19,81,32,1263,250,341,114,85,87,54,25,46,23,1011,163,223,89,73,71,66,37,61,13,793,76,103,20,16,32,27,8,24,9,323,8,14,0,0,0,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,1014,1433,745,744,423,464,136,509,135,5614
1009,11,11,104,136,11,124,19,105,3,522,7,35,116,106,37,48,15,46,4,414,74,171,173,121,77,48,38,87,12,802,146,272,207,155,153,80,44,81,12,1147,230,333,204,240,215,115,103,143,26,1616,187,300,204,218,218,155,117,170,24,1582,68,90,39,34,46,27,23,58,6,385,7,11,0,10,10,0,0,7,3,48,0,0,4,0,0,0,0,0,3,11,736,1214,1040,1014,761,594,364,700,95,6519
1010,169,179,1353,1473,283,3215,508,2313,153,9654,576,1391,2618,2724,1145,1940,704,1699,222,13022,2767,6870,5201,3883,3337,2057,1433,2373,482,28389,4964,8107,4614,3491,4242,1923,1580,2181,539,31644,5244,7204,4028,3936,4919,2153,2037,2703,556,32778,3498,5076,3072,3169,4380,1822,1995,2519,337,25877,902,1561,689,623,1109,525,478,566,121,6584,157,190,64,34,119,70,45,57,65,791,16,9,4,0,3,8,0,0,30,72,18290,30582,21638,19324,19540,13721,8788,14414,2509,148810
1011,41,30,305,413,77,797,76,498,27,2257,130,210,474,527,234,362,90,375,52,2453,594,1364,1034,917,647,435,251,848,108,6201,987,1670,848,893,823,435,258,699,120,6731,1101,1570,773,932,1012,482,310,711,115,6996,752,1155,623,797,870,493,349,614,65,5720,258,410,163,157,252,137,110,161,25,1675,39,33,6,10,22,14,12,10,15,154,4,0,0,0,4,5,0,0,9,20,3901,6433,4215,4631,3936,3161,1464,3928,529,32202
