UCL_CODE_2021,M_SEO_Before_2005,M_SEO_2005_2010,M_SEO_2011_2015,M_SEO_2016,M_SEO_2017,M_SEO_2018,M_SEO_2019,M_SEO_2020,M_SEO_2021,M_SEO_Yr_arr_ns,M_SEO_Tot,M_Sol_sp_En_Vww_B_2005,M_Sol_sp_En_Vww_2005_2010,M_Sol_sp_En_Vww_2011_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_2017,M_Sol_sp_En_Vww_2018,M_Sol_sp_En_Vww_2019,M_Sol_sp_En_Vww_2020,M_Sol_sp_En_Vww_2021,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_Tot,M_Sol_sp_En_Nwna_B_2005,M_Sol_sp_En_Nwna_2005_2010,M_Sol_sp_En_Nwna_2011_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_2017,M_Sol_sp_En_Nwna_2018,M_Sol_sp_En_Nwna_2019,M_Sol_sp_En_Nwna_2020,M_Sol_sp_En_Nwna_2021,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_Tot,M_Sol_sp_E_Pr_E_ns_B_2005,M_Sol_sp_E_Pr_E_ns_2005_2010,M_Sol_sp_E_Pr_E_ns_2011_2015,M_Sol_sp_E_Pr_E_ns_2016,M_Sol_sp_E_Pr_E_ns_2017,M_Sol_sp_E_Pr_E_ns_2018,M_Sol_sp_E_Pr_E_ns_2019,M_Sol_sp_E_Pr_E_ns_2020,M_Sol_sp_E_Pr_E_ns_2021,M_So_sp_E_Pr_E_ns_Yr_ar_ns,M_Sol_sp_E_Pr_E_ns_Tot,M_Sol_sp_En_Tot_B_2005,M_Sol_sp_En_Tot_2005_2010,M_Sol_sp_En_Tot_2011_2015,M_Sol_sp_En_Tot_2016,M_Sol_sp_En_Tot_2017,M_Sol_sp_En_Tot_2018,M_Sol_sp_En_Tot_2019,M_Sol_sp_En_Tot_2020,M_Sol_sp_En_Tot_2021,M_Sol_sp_En_Tot_Yr_arr_ns,M_Sol_sp_En_Tot_YoA_Tot,M_LanProf_En_ns_B_2005,M_LanProf_En_ns_2005_2010,M_LanProf_En_ns_2011_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_2017,M_LanProf_En_ns_2018,M_LanProf_En_ns_2019,M_LanProf_En_ns_2020,M_LanProf_En_ns_2021,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_Tot,M_Tot_B_2005,M_Tot_2005_2010,M_Tot_2011_2015,M_Tot_2016,M_Tot_2017,M_Tot_2018,M_Tot_2019,M_Tot_2020,M_Tot_2021,M_Tot_Yr_arrival_ns,M_Tot_YoA_Tot,F_SEO_B_2005,F_SEO_2005_2010,F_SEO_2011_2015,F_SEO_2016,F_SEO_2017,F_SEO_2018,F_SEO_2019,F_SEO_2020,F_SEO_2021,F_SEO_Yr_arr_ns,F_SEO_Tot,F_Sol_sp_En_Vww_B_2005,F_Sol_sp_En_Vww_2005_2010,F_Sol_sp_En_Vww_2011_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_2017,F_Sol_sp_En_Vww_2018,F_Sol_sp_En_Vww_2019,F_Sol_sp_En_Vww_2020,F_Sol_sp_En_Vww_2021,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_Tot,F_Sol_sp_En_Nwna_B_2005,F_Sol_sp_En_Nwna_2005_2010,F_Sol_sp_En_Nwna_2011_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_2017,F_Sol_sp_En_Nwna_2018,F_Sol_sp_En_Nwna_2019,F_Sol_sp_En_Nwna_2020,F_Sol_sp_En_Nwna_2021,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_Tot,F_Sol_sp_En_Pr_En_ns_B_2005,F_Sol_sp_E_Pr_En_ns_2005_2010,F_Sol_sp_E_Pr_En_ns_2011_2015,F_Sol_sp_En_Prof_En_ns_2016,F_Sol_sp_En_Prof_En_ns_2017,F_Sol_sp_En_Prof_En_ns_2018,F_Sol_sp_En_Prof_En_ns_2019,F_Sol_sp_En_Prof_En_ns_2020,F_Sol_sp_En_Prof_En_ns_2021,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_Tot,F_Sol_sp_En_Tot_B_2005,F_Sol_sp_En_Tot_2005_2010,F_Sol_sp_En_Tot_2011_2015,F_Sol_sp_En_Tot_2016,F_Sol_sp_En_Tot_2017,F_Sol_sp_En_Tot_2018,F_Sol_sp_En_Tot_2019,F_Sol_sp_En_Tot_2020,F_Sol_sp_En_Tot_2021,F_Sol_sp_En_Tot_Yr_arr_ns,F_Sol_sp_En_Tot_YoA_Tot,F_LanProf_En_ns_B_2005,F_LanProf_En_ns_2005_2010,F_LanProf_En_ns_2011_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_2017,F_LanProf_En_ns_2018,F_LanProf_En_ns_2019,F_LanProf_En_ns_2020,F_LanProf_En_ns_2021,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_Tot,F_Tot_B_2005,F_Tot_2005_2010,F_Tot_2011_2015,F_Tot_2016,F_Tot_2017,F_Tot_2018,F_Tot_2019,F_Tot_2020,F_Tot_2021,F_Tot_Yr_arrival_ns,F_Tot_YoA_Tot,P_SEO_B_2005,P_SEO_2005_2010,P_SEO_2011_2015,P_SEO_2016,P_SEO_2017,P_SEO_2018,P_SEO_2019,P_SEO_2020,P_SEO_2021,P_SEO_Yr_arr_ns,P_SEO_Tot,P_Sol_sp_En_Vww_B_2005,P_Sol_sp_En_Vww_2005_2010,P_Sol_sp_En_Vww_2011_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_2017,P_Sol_sp_En_Vww_2018,P_Sol_sp_En_Vww_2019,P_Sol_sp_En_Vww_2020,P_Sol_sp_En_Vww_2021,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_Tot,P_Sol_sp_En_Nwna_B_2005,P_Sol_sp_En_Nwna_2005_2010,P_Sol_sp_En_Nwna_2011_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_2017,P_Sol_sp_En_Nwna_2018,P_Sol_sp_En_Nwna_2019,P_Sol_sp_En_Nwna_2020,P_Sol_sp_En_Nwna_2021,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_Tot,P_Sol_sp_En_Pr_En_ns_B_2005,P_Sol_sp_E_Pr_En_ns_2005_2010,P_Sol_sp_E_Pr_En_ns_2011_2015,P_Sol_sp_En_Prof_En_ns_2016,P_Sol_sp_En_Prof_En_ns_2017,P_Sol_sp_En_Prof_En_ns_2018,P_Sol_sp_En_Prof_En_ns_2019,P_Sol_sp_En_Prof_En_ns_2020,P_Sol_sp_En_Prof_En_ns_2021,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_Tot,P_Sol_sp_En_Tot_B_2005,P_Sol_sp_En_Tot_2005_2010
UCL101001,162506,31874,29496,6657,6800,7249,7495,3706,1390,5136,262316,243010,92236,83500,24584,26951,30043,30436,10132,2316,8270,551480,55295,13603,16391,5021,5856,5674,7590,2745,900,3836,116910,598,124,155,52,76,97,147,106,62,260,1674,298903,105962,100045,29656,32874,35815,38175,12978,3273,12365,670060,385,90,121,28,41,86,67,29,14,4964,5822,461791,137926,129667,36346,39711,43141,45744,16715,4682,22472,938197,156096,29093,27613,6471,6403,6938,7505,3544,1336,4823,249829,253989,96005,90076,25909,27008,28860,30293,10789,2709,7838,573476,82254,20496,21617,6518,6210,6085,9814,4102,1145,4781,163019,667,129,132,42,60,81,133,85,43,330,1702,336912,116635,111823,32480,33281,35032,40241,14972,3887,12945,738201,407,111,133,36,42,59,64,26,19,4382,5279,493415,145838,139577,38984,39717,42021,47809,18548,5246,22144,993308,318599,60968,57111,13130,13200,14185,15004,7255,2732,9959,512143,497002,188244,173571,50496,53960,58900,60730,20916,5021,16111,1124955,137546,34098,38010,11544,12064,11762,17403,6847,2044,8608,279930,1262,253,292,101,127,176,284,186,100,591,3380,635816,222597
UCL102001,1147,177,120,31,18,16,23,19,8,45,1597,712,383,430,134,171,160,110,31,4,23,2164,121,18,22,10,4,11,14,8,0,9,210,0,0,0,0,0,0,0,0,0,0,4,835,397,456,143,180,169,116,40,6,36,2372,0,0,0,0,0,0,0,0,0,4,4,1982,569,576,171,194,186,148,54,14,86,3977,1035,161,125,19,15,25,23,13,17,34,1461,825,335,403,121,175,137,112,31,6,28,2183,144,16,22,9,14,8,19,5,0,9,253,7,0,3,0,0,0,0,3,0,3,12,976,351,428,131,186,145,133,43,6,42,2450,6,0,5,0,0,0,0,0,0,0,5,2013,511,558,152,200,172,157,61,23,80,3918,2180,335,246,52,29,43,48,34,17,78,3065,1543,720,837,258,349,299,219,65,15,54,4345,267,34,47,15,16,17,30,13,0,26,458,7,0,3,0,0,0,0,5,0,3,16,1812,748
UCL102002,12750,1923,1275,235,186,142,149,108,43,460,17268,2956,1195,1231,281,269,275,245,104,35,119,6703,384,94,135,38,27,28,59,15,11,30,813,15,3,4,0,0,0,0,0,0,4,29,3355,1287,1363,314,296,307,306,119,43,154,7550,27,4,0,0,0,0,0,0,0,92,122,16132,3213,2642,550,485,451,458,220,83,706,24945,13462,1942,1363,232,204,149,184,107,41,468,18151,3735,1504,1585,340,330,290,299,134,38,118,8376,477,190,194,51,46,46,96,28,12,47,1179,13,3,7,0,3,0,0,0,0,3,33,4230,1694,1784,392,379,336,391,157,49,176,9589,45,4,4,0,0,0,0,0,0,128,188,17740,3642,3154,626,580,489,582,261,92,773,27929,26207,3860,2638,467,389,293,340,205,83,924,35414,6686,2696,2816,616,597,568,550,237,70,241,15078,865,283,326,88,71,74,160,35,29,73,2000,31,9,13,0,3,0,0,0,0,9,58,7582,2984
UCL102003,2903,383,257,44,35,31,52,32,19,137,3897,311,175,216,73,54,50,55,21,4,14,973,32,11,10,6,0,3,8,0,0,0,73,0,0,0,0,0,0,0,0,0,0,3,340,188,228,79,54,54,66,25,4,15,1048,5,0,0,0,0,0,0,0,0,39,48,3252,570,480,121,86,91,119,52,23,190,4997,3160,419,258,46,41,43,63,40,18,160,4253,475,250,269,85,75,89,71,33,5,19,1374,49,12,17,8,9,7,20,5,3,3,131,0,0,3,0,0,0,0,0,0,3,7,519,259,292,92,82,99,88,35,7,27,1511,5,0,0,0,0,0,0,0,0,51,54,3686,681,548,139,126,144,154,73,21,240,5815,6063,806,516,86,74,80,120,70,35,297,8153,783,424,487,158,131,146,124,53,9,38,2351,77,25,27,11,7,11,29,8,6,8,202,0,0,3,0,0,0,0,0,0,3,5,861,444
UCL102004,8151,1330,1025,174,175,189,246,146,64,252,11740,2569,1349,1604,527,569,546,535,205,50,129,8082,381,87,156,72,97,78,131,37,20,59,1121,17,6,5,3,4,0,0,0,0,3,38,2968,1442,1761,604,668,628,665,237,69,195,9240,14,4,0,0,0,0,0,0,0,120,141,11135,2773,2782,776,844,818,915,382,135,565,21124,8352,1281,1053,207,190,208,229,116,66,307,12001,3207,1571,1708,460,539,589,610,229,58,170,9141,586,149,201,78,76,90,124,58,18,69,1446,16,0,5,3,0,0,0,0,0,5,28,3804,1728,1912,540,616,678,742,290,75,242,10619,21,0,0,0,0,0,5,0,0,130,154,12173,3011,2961,744,810,888,967,407,140,678,22772,16504,2615,2075,378,363,391,475,265,127,558,23745,5779,2919,3311,983,1113,1134,1149,431,110,298,17221,966,241,354,145,169,169,252,95,41,130,2565,25,8,5,7,4,0,6,0,0,10,67,6770,3168
UCL102005,10557,1005,843,144,166,172,179,123,30,317,13529,5697,1079,1453,448,417,548,640,301,18,173,10774,1362,100,190,80,50,69,116,36,17,69,2078,27,0,0,3,0,3,4,0,0,8,41,7078,1183,1641,530,465,619,751,336,40,251,12894,26,0,5,0,0,0,0,0,0,166,200,17664,2184,2488,669,630,788,930,459,69,734,26617,10903,1024,892,139,140,140,179,100,37,363,13904,6490,1373,1657,431,423,488,520,241,33,223,11870,2142,181,252,104,54,83,157,47,18,126,3165,31,5,3,0,0,0,7,0,0,13,63,8665,1555,1909,534,473,577,685,287,53,364,15088,41,3,5,0,0,5,0,0,0,185,238,19606,2582,2808,678,611,714,857,386,85,912,29237,21459,2027,1733,281,302,310,350,217,68,674,27433,12181,2452,3100,878,835,1034,1158,541,55,399,22643,3499,283,442,185,98,157,270,82,35,200,5243,61,5,8,3,0,6,3,0,0,18,98,15740,2738
UCL111001,1188,159,93,16,18,28,21,14,7,37,1587,287,373,395,104,117,120,92,29,5,19,1549,33,34,86,8,12,7,30,8,0,9,224,0,5,0,0,0,0,0,0,0,0,6,320,405,483,117,132,132,122,38,8,26,1774,0,0,0,0,0,0,0,0,0,0,4,1506,565,581,136,147,164,142,52,16,63,3368,1174,142,116,25,19,23,18,17,7,44,1583,351,275,389,100,120,113,87,30,7,29,1507,60,50,94,24,29,23,49,13,0,7,348,3,0,0,0,0,0,0,0,0,0,10,415,328,488,119,151,142,135,40,8,38,1872,6,0,0,0,0,0,0,0,0,3,8,1593,468,605,144,164,164,159,60,18,88,3463,2358,303,212,42,40,57,43,31,13,87,3173,641,647,787,199,240,240,183,59,10,50,3060,90,86,187,33,39,32,70,19,0,6,573,3,5,0,0,0,0,0,0,0,0,12,734,733
UCL111002,1511,220,143,23,31,25,23,15,6,75,2081,282,201,233,83,103,114,106,42,33,26,1219,38,35,55,19,32,47,87,14,4,18,342,6,0,0,0,0,0,0,0,5,3,11,324,235,288,99,132,164,194,55,42,47,1568,6,6,0,0,0,0,0,0,0,13,21,1836,456,431,123,169,185,223,66,43,140,3668,1691,264,179,50,33,32,36,18,4,76,2388,382,236,261,80,112,113,113,39,27,25,1386,59,45,83,26,45,66,103,23,5,9,464,0,0,0,0,0,0,0,0,6,3,14,445,279,346,105,157,183,223,65,36,39,1864,0,0,0,0,0,0,0,0,0,11,17,2131,546,530,151,192,214,259,78,42,127,4267,3204,489,325,71,68,57,59,32,13,150,4466,668,437,493,158,212,225,224,75,54,52,2602,94,76,144,38,75,118,191,43,3,23,812,0,3,0,0,0,0,5,0,14,4,28,768,511
UCL111003,1681,262,214,34,18,26,33,17,0,52,2336,351,410,336,59,60,74,73,18,8,13,1400,44,26,46,6,22,16,16,15,0,4,203,0,0,0,0,0,0,0,0,0,0,0,397,437,383,65,78,88,90,31,8,18,1600,0,0,0,0,0,0,0,0,0,7,9,2074,701,598,99,102,124,124,46,11,81,3951,1675,269,243,44,21,35,40,17,6,50,2406,467,395,444,92,73,101,93,22,12,18,1719,65,44,52,9,16,19,32,12,0,8,251,0,0,0,0,0,0,0,0,0,0,0,530,432,495,103,91,121,126,33,12,29,1972,0,0,0,0,0,0,0,0,0,9,12,2205,704,744,148,111,158,163,52,16,82,4388,3355,534,457,79,40,63,75,34,9,104,4745,815,804,782,152,132,177,169,44,18,34,3120,113,71,100,18,35,40,46,24,0,15,451,0,0,0,0,0,0,0,0,0,0,6,927,872
UCL112001,425,71,52,13,23,11,14,13,3,16,646,119,141,151,49,75,180,200,37,10,11,971,11,3,0,0,0,32,69,11,0,5,131,0,0,0,0,0,0,3,0,0,0,4,128,146,157,49,75,202,278,46,10,16,1105,0,0,0,0,0,0,0,0,0,0,4,557,215,215,63,97,215,289,58,12,32,1756,459,74,59,15,22,16,16,16,0,17,693,117,150,160,58,81,187,232,34,4,20,1048,12,7,0,0,7,45,116,19,0,0,206,0,0,0,0,0,0,0,0,0,0,4,133,158,164,57,89,226,344,54,7,18,1257,0,0,0,0,0,0,0,0,0,3,3,594,235,223,74,112,248,354,71,9,40,1951,887,142,109,30,43,32,28,28,6,28,1336,239,290,316,106,160,363,434,71,12,31,2020,23,10,5,0,7,72,180,24,0,5,341,0,0,0,0,0,0,3,0,0,0,9,256,302
