UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL101001,84141,110680,194824,178027,208000,386028,7260,7817,15074,24792,28284,53083,1381,1428,2811,514091,565615,1079703,1560,1799,3361,83715,88300,172011,4418,5772,10195,5057,5418,10469,3017,3694,6712,14203,14437,28635,10070,11168,21239,19673,23534,43208,32642,37674,70318,1505,2036,3538,4386,5320,9711,28908,36102,65014,56253,63386,119640,1624,1805,3428,992588,1111581,2104161,131116,118928,250044,169452,156299,325749,17930,19068,36996,167,176,342,20177,17633,37806,12618,13885,26511,32963,31698,64660,717157,657186,1374345,7079,5601,12681,2674,4203,6876,726912,666988,1393894,160407,148476,308883,6223,6705,12928,2321728,2370429,4692155
UCL102001,170,217,388,1991,2402,4397,0,0,0,137,123,264,88,102,190,4353,4687,9040,7,4,8,610,587,1201,26,44,71,44,45,81,79,100,175,22,9,25,77,77,155,148,181,331,266,329,592,34,29,64,29,26,55,304,361,660,500,522,1020,9,6,9,8710,9629,18341,631,531,1154,378,304,679,18,7,27,4,6,11,303,261,567,67,90,151,372,352,724,7226,6353,13574,74,57,133,24,35,58,7324,6439,13769,1199,1044,2246,25,28,47,18818,18557,37376
UCL102002,1254,2011,3261,24103,30084,54187,7,8,20,2140,2646,4780,103,127,229,32659,38122,70780,110,167,274,1067,1156,2224,552,779,1327,310,354,669,273,344,613,172,159,331,1427,1562,2983,1295,1684,2984,2903,3524,6427,237,358,594,589,667,1258,3260,4463,7721,3368,3925,7293,104,143,251,74674,90260,164939,1165,1018,2178,768,668,1437,213,228,442,54,42,91,273,258,531,385,541,927,712,836,1555,66787,61537,128325,548,428,977,263,461,724,67596,62428,130023,10107,10507,20618,169,166,334,156652,168127,324779
UCL102003,243,389,630,4624,5738,10372,0,0,0,295,354,646,0,0,0,6096,7377,13468,25,49,75,100,122,225,246,297,547,28,39,68,80,120,205,15,18,32,91,134,228,329,429,757,831,991,1822,29,70,98,111,146,257,728,1044,1773,595,757,1351,25,22,46,14251,17717,31963,148,132,274,35,42,79,36,38,76,10,6,14,83,65,150,78,129,201,170,200,367,13054,12475,25538,83,75,157,63,132,198,13204,12687,25887,2541,2604,5151,34,43,78,30654,33848,64501
UCL102004,1316,1850,3161,22018,26655,48673,4,0,4,2659,2974,5637,89,82,170,29608,34731,64333,73,105,181,2007,2081,4091,401,530,924,250,281,525,251,333,582,86,73,161,887,998,1885,1878,2157,4036,3133,3655,6790,413,543,954,578,702,1281,5078,7239,12316,3895,4567,8468,202,235,437,73508,87930,161433,1558,1340,2902,1979,1561,3537,125,136,257,39,32,67,300,228,530,370,594,959,704,858,1564,78244,72491,150737,734,570,1310,240,423,662,79221,73489,152711,10218,9585,19800,185,198,378,168807,176942,345748
UCL102005,1110,1781,2890,16619,20513,37128,5,8,13,1009,1172,2176,152,153,307,30629,34487,65114,105,140,244,5925,5950,11875,504,659,1163,138,188,329,392,507,896,235,211,452,399,484,879,1019,1192,2211,2128,2539,4668,229,346,569,135,195,329,2790,3852,6642,3854,4234,8088,72,76,149,66354,76898,143248,1236,954,2185,3320,3154,6471,94,87,180,27,19,42,164,162,331,336,511,845,527,688,1221,54952,49732,104681,494,424,920,210,317,524,55657,50467,106124,8363,8046,16409,124,132,261,136778,142208,278990
UCL111001,183,279,458,2855,3737,6596,0,0,0,244,254,492,66,66,131,5353,6260,11615,11,23,37,135,137,276,74,120,194,30,28,59,345,534,886,6,13,17,51,62,114,258,327,585,609,757,1367,33,48,83,80,103,191,648,940,1583,498,572,1077,16,20,30,11335,14007,25333,683,589,1277,192,150,338,20,17,38,0,3,3,369,309,673,81,99,184,453,414,865,10832,10450,21289,64,43,117,33,40,81,10938,10539,21476,1933,1753,3688,18,23,39,25760,27769,53529
UCL111002,234,323,553,3297,4156,7453,0,0,0,465,520,989,5,4,12,4302,5200,9502,21,19,47,69,65,131,131,172,303,24,26,48,49,70,122,14,18,27,98,133,237,415,536,950,715,852,1563,38,74,114,79,109,185,528,732,1256,556,723,1277,12,14,27,10822,13422,24243,135,130,259,143,127,265,21,12,35,19,15,33,212,197,412,289,363,653,515,579,1096,10387,10205,20590,89,70,155,47,79,123,10519,10353,20872,2100,2147,4244,62,45,106,24553,27127,51683
UCL111003,218,321,535,7394,8833,16221,0,0,0,640,712,1350,79,78,161,9330,10772,20101,28,42,68,143,146,284,72,124,198,79,93,172,37,68,109,13,22,41,230,304,528,315,413,725,902,1069,1971,132,175,306,82,99,185,1227,1750,2975,869,1009,1874,26,25,48,21599,25726,47326,350,308,661,292,250,550,19,21,36,5,11,15,160,133,293,88,187,279,258,336,587,17889,16553,34437,122,113,238,46,78,120,18057,16743,34796,2331,2162,4492,35,37,74,43154,45910,89056
UCL112001,113,160,275,1390,1686,3074,0,0,0,79,110,193,81,65,151,1550,1849,3400,3,8,14,31,26,56,22,35,56,15,17,33,13,22,40,3,0,3,35,29,60,56,81,141,235,337,572,25,45,70,60,62,126,179,279,457,182,227,414,11,9,18,3975,4904,8877,219,219,437,193,165,360,14,9,22,8,8,17,45,52,95,285,342,630,342,394,738,3869,3813,7681,56,39,94,15,24,43,3934,3879,7813,1270,1412,2678,23,15,42,10089,11157,21246
