UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL101001,50413,45702,96124,134405,125523,259924,36847,36475,73319,24327,24008,48340,195937,186322,382258,83808,79241,163044,38873,39032,77910,30901,30217,61117,153855,148721,302572,8832,8696,17532,11408,16505,27913,15863,7941,23809,21043,32932,53982,240,223,459,57396,66295,123691,67634,77528,145160,24165,27890,52054,9009,10047,19056,21176,31399,52575,342,333,674,122322,147190,269521,180083,213889,393975,11414,10979,22386,13994,18801,32791,288,256,546,25690,30033,55718,124592,118144,242736,6223,6705,12928,736800,749519,1486323
UCL102001,373,293,666,1170,1040,2207,353,266,624,83,84,168,1603,1395,3000,645,600,1249,422,377,801,114,134,248,1188,1111,2299,61,65,123,87,78,164,192,116,308,221,318,538,3,3,8,557,578,1136,225,329,559,162,169,337,52,89,138,261,406,658,6,0,4,705,995,1696,1262,1569,2838,69,56,123,103,155,257,0,0,0,170,216,379,884,813,1697,25,28,47,5510,5410,10926
UCL102002,4036,3639,7682,9793,8960,18751,2203,2141,4346,1609,1438,3046,13630,12563,26192,6978,6702,13679,1843,1767,3611,1594,1661,3254,10438,10142,20577,401,548,946,323,633,955,1659,942,2600,1344,2460,3803,25,18,44,3753,4593,8344,1752,2553,4298,627,1134,1761,385,590,978,975,2153,3126,11,18,28,3755,6448,10201,7513,11055,18563,239,300,538,481,775,1251,13,10,17,726,1081,1804,7951,9159,17110,169,166,334,44461,47803,92269
UCL102003,564,531,1100,1529,1342,2876,501,473,977,304,287,591,2337,2113,4446,1015,918,1928,401,449,850,392,398,789,1813,1769,3577,72,98,164,89,139,229,211,127,349,222,424,644,6,6,14,604,790,1396,238,407,641,131,262,395,56,117,174,159,412,574,4,7,4,590,1205,1792,1193,1998,3193,34,75,109,102,186,287,9,3,9,144,265,409,1981,2068,4052,34,43,78,8069,8791,16859
UCL102004,4059,3679,7738,10496,9556,20051,2404,2335,4741,1308,1229,2539,14226,13137,27365,7225,6986,14213,1790,1930,3718,1505,1520,3025,10532,10444,20970,533,592,1117,424,647,1080,1660,971,2634,1596,2292,3885,15,11,25,4226,4510,8733,3844,5036,8875,1572,2028,3598,589,831,1420,1788,3071,4852,15,9,23,7803,10970,18776,12052,15496,27540,304,300,608,601,948,1548,11,12,26,921,1262,2175,7556,7690,15239,185,198,378,49512,51899,101415
UCL102005,3379,3076,6454,8529,7823,16345,2054,2045,4104,841,869,1711,11432,10757,22195,5788,5647,11436,2278,2303,4583,916,888,1799,8992,8851,17842,404,507,913,389,652,1042,1564,932,2490,1219,2014,3230,18,20,37,3589,4122,7709,3033,4073,7106,1242,1351,2595,485,653,1143,1015,1966,2984,13,12,23,5789,8061,13850,9399,12200,21596,255,271,524,377,637,1012,9,5,17,639,918,1553,6266,6599,12863,124,132,261,40242,42525,82761
UCL111001,622,578,1196,1312,1279,2592,514,521,1033,373,353,727,2201,2156,4353,927,988,1918,359,317,676,308,375,687,1601,1688,3288,106,119,226,113,168,283,267,184,449,272,482,753,5,5,8,766,963,1726,184,466,651,112,203,311,53,88,144,193,375,569,0,0,4,543,1136,1675,1310,2098,3405,81,73,153,116,185,303,0,4,6,206,257,458,1488,1463,2953,18,23,39,7447,8256,15706
UCL111002,530,525,1062,1275,1214,2486,448,510,956,299,300,604,2030,2026,4051,956,1010,1964,338,307,642,308,315,622,1600,1633,3234,73,98,166,90,136,228,220,170,388,315,462,769,3,0,7,698,865,1562,163,329,492,88,166,257,38,73,109,172,347,514,0,0,0,457,912,1370,1163,1783,2938,43,48,89,73,146,211,8,3,8,118,197,309,1708,1853,3566,62,45,106,7207,8058,15265
UCL111003,1180,1155,2337,2812,2692,5508,1100,1045,2145,405,382,783,4321,4125,8445,1825,1718,3546,777,899,1681,389,364,751,2997,2989,5981,148,193,343,105,175,289,479,330,808,407,745,1145,5,6,9,1148,1444,2591,418,679,1097,207,341,552,103,179,283,377,709,1089,0,0,0,1109,1908,3019,2260,3359,5613,101,92,193,143,254,399,7,3,13,256,350,602,1644,1727,3370,35,37,74,12688,13735,26425
UCL112001,229,204,431,564,529,1099,103,102,209,94,141,237,770,773,1539,415,405,821,132,146,276,84,151,237,633,707,1334,52,32,88,39,77,116,73,61,129,128,201,331,0,0,4,299,373,669,330,527,853,212,241,454,65,89,158,162,241,407,0,0,0,770,1102,1875,1066,1477,2546,38,33,67,22,53,68,0,0,0,59,80,139,1081,1279,2363,23,15,42,3860,4528,8389
