UCL_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL101001,546,1009,5048,8006,11734,20110,31011,28741,15746,121949,201,1119,5851,6248,8294,12121,11874,9716,6096,61526,10993,17910,47721,38561,27934,24327,22547,20960,17432,228385,107652,311022,749959,711891,593569,505427,374228,211942,91853,3657536
UCL102001,13,4,55,42,84,149,281,281,144,1046,0,0,14,20,13,19,32,39,35,170,68,106,376,250,204,233,166,126,76,1598,848,2305,6137,5312,5320,4581,2770,1423,573,29261
UCL102002,98,64,255,327,617,1382,2393,2228,1462,8835,15,33,80,90,125,165,196,172,122,989,797,818,1939,1905,1816,1852,2361,2692,2142,16334,8360,17277,36185,38964,40941,41234,37560,24212,10126,254869
UCL102003,10,9,49,69,105,232,561,727,474,2244,7,0,3,6,19,31,33,34,28,167,160,169,502,483,462,492,537,666,565,4035,1409,2756,6126,7133,7706,8833,9308,6447,2882,52594
UCL102004,98,105,317,421,594,1275,2191,2090,1640,8729,12,28,110,143,179,219,199,163,138,1205,868,1168,2150,1812,1644,1702,2025,2317,1829,15507,9177,23565,46760,43702,42997,41290,35623,21759,9517,274404
UCL102005,66,71,259,384,530,1357,2735,2830,1698,9926,14,33,113,156,182,211,365,447,345,1863,770,893,1725,1503,1370,1298,1494,1793,1483,12341,7873,19406,36665,34571,34825,34046,27473,17239,7343,219442
UCL111001,20,17,90,133,116,224,374,441,291,1710,0,11,44,58,101,74,52,39,19,398,170,212,441,386,333,359,321,333,188,2745,1413,3403,7238,6587,6324,6311,5557,3359,1370,41572
UCL111002,23,30,113,198,134,264,403,403,273,1843,3,14,92,77,54,63,47,19,13,382,186,148,470,421,401,378,418,521,450,3389,1380,2505,5731,5993,6347,6540,6448,4154,1824,40927
UCL111003,42,40,112,120,216,426,701,561,348,2551,0,4,30,26,40,54,42,28,13,245,182,199,532,466,341,360,382,400,248,3110,2514,5421,13004,11827,10660,9619,8031,4491,1531,67096
UCL112001,12,29,43,53,42,90,115,134,87,594,3,21,50,36,24,18,22,14,4,192,388,403,321,214,156,168,133,189,118,2089,1070,2031,3080,2389,2152,2290,1807,1357,558,16734
UCL112002,11,11,46,40,71,152,247,250,182,1001,0,9,17,11,21,14,24,16,9,118,126,252,556,456,324,217,182,210,136,2452,1124,2630,5111,4371,4324,4030,3374,2059,946,27971
UCL112003,6,0,24,24,43,83,143,106,74,503,6,0,15,12,17,9,20,7,3,92,76,48,122,137,171,171,191,159,74,1141,641,1248,2715,3545,4280,4581,4507,2130,694,24335
UCL112004,8,4,6,16,29,41,116,120,79,417,4,0,7,7,7,14,10,7,11,74,37,39,81,109,126,113,150,207,190,1055,460,918,1974,2368,2897,3035,3645,2869,1087,19256
UCL112005,18,14,47,44,66,171,307,192,121,981,0,0,9,9,12,15,15,14,4,75,74,217,636,537,384,240,226,235,160,2710,695,1437,3306,2899,2770,2707,2409,1368,644,18232
UCL112006,11,13,41,49,103,203,351,296,176,1249,0,4,20,15,12,24,28,17,3,126,211,209,588,429,370,317,286,261,179,2857,1120,2363,6590,4780,4181,4175,3320,2221,897,29647
