UCL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL101001,863109,572578,750942,712667,594413,506304,374958,212276,91978,4679221
UCL102001,6839,4367,6138,5312,5321,4581,2776,1423,573,37328
UCL102002,58861,36232,36202,38981,40960,41257,37580,24238,10135,324446
UCL102003,9998,5976,6125,7133,7706,8837,9313,6448,2880,64421
UCL102004,60022,43579,46785,43726,43012,41309,35640,21773,9523,345367
UCL102005,49999,36430,36685,34586,34845,34072,27513,17256,7347,278728
UCL111001,10101,6604,7249,6589,6327,6316,5565,3368,1369,53488
UCL111002,8935,5558,5741,6004,6351,6552,6454,4155,1824,51576
UCL111003,18979,10803,13015,11836,10670,9623,8039,4496,1529,88984
UCL112001,3746,3819,3080,2389,2152,2292,1806,1357,558,21205
UCL112002,6954,5188,5114,4371,4335,4037,3378,2060,946,36385
UCL112003,4711,2905,2713,3544,4280,4581,4504,2132,692,30072
UCL112004,3779,2144,1978,2368,2903,3040,3645,2869,1085,23815
UCL112005,4259,2779,3306,2904,2773,2707,2410,1365,644,23152
UCL112006,8388,4615,6590,4780,4186,4180,3320,2221,897,39176
UCL112007,1124,561,617,683,750,825,1041,661,205,6468
UCL112008,2465,1626,1477,1688,2085,3047,4106,2886,1341,20722
UCL112009,4388,2872,3521,2864,2863,2946,2586,1635,717,24394
UCL112010,4025,2456,3392,2757,2592,2383,1708,1113,598,21014
UCL112011,4252,2465,3198,2344,2327,2221,1882,871,323,19879
UCL112012,4793,3408,3520,3337,3470,3772,3203,1875,910,28280
UCL112013,522,282,305,297,307,305,224,108,29,2380
UCL112014,3880,2379,2557,2313,2396,2705,2625,2048,923,21837
UCL112015,6520,3815,4786,4047,3778,3833,3607,2294,985,33664
UCL112016,8740,4969,5749,5144,4715,4287,3716,2317,1008,40640
UCL112017,7560,5229,4532,5092,5835,6361,6856,4932,2182,48574
UCL112018,7033,4460,5230,4140,3875,3953,3434,2503,1151,35787
UCL112019,9934,6683,7063,5987,5711,5689,4725,2857,1287,49943
UCL113001,2468,1562,1658,1893,2098,2491,3141,2118,1174,18613
UCL113002,1784,1066,1112,1122,1475,1856,2100,1350,562,12433
UCL113003,2961,1877,2177,1876,2016,2595,2251,1263,583,17601
UCL113004,1471,986,2142,1654,1387,1397,1169,475,174,10851
UCL113005,3247,2002,1966,1842,1958,2138,1987,1410,700,17256
UCL113006,2068,1411,1466,1240,1222,1368,1253,790,287,11099
UCL113007,2432,1399,1334,1649,1726,2123,2200,1216,504,14582
UCL113008,1834,1128,1273,1132,1365,1585,1473,1025,379,11190
UCL113009,2321,1186,1126,1319,1351,1164,867,426,69,9822
UCL113010,2476,1301,1778,1461,1359,1255,1038,770,334,11769
UCL113011,2361,1352,1606,1404,1378,1300,955,480,178,11020
UCL113012,2036,1365,1108,1388,1777,2227,2439,1578,575,14484
UCL113013,2850,1798,1878,1695,1705,1683,1355,760,240,13972
UCL113014,3092,1720,2263,1780,1829,1599,1151,647,292,14372
UCL113015,1729,1083,1063,1085,1220,1486,1798,1068,315,10856
UCL113016,3245,1995,2021,1817,1966,2295,2284,1801,873,18305
UCL113017,2224,1198,1276,1468,1587,2176,2584,1490,474,14472
UCL113018,360,188,192,193,264,334,438,278,80,2326
UCL114001,822,422,428,501,587,680,748,605,341,5131
UCL114002,746,460,365,466,697,1309,1966,1418,597,8035
UCL114003,1952,1220,1151,954,1021,1179,1265,909,412,10063
UCL114004,1068,628,877,822,811,903,709,516,234,6567
UCL114005,920,530,473,517,604,817,937,661,256,5713
UCL114006,776,516,470,437,662,810,828,567,244,5317
UCL114007,1482,936,900,795,927,1037,1126,735,349,8282
UCL114008,1046,684,673,606,786,941,862,545,271,6416
UCL114009,1533,1582,1406,889,541,346,251,228,164,6935
UCL114010,1338,797,791,730,760,855,829,579,194,6870
UCL114011,863,508,555,468,542,743,756,501,213,5148
UCL114012,1866,490,1285,1322,685,282,168,46,5,6161
UCL114013,1812,908,1278,939,837,970,791,625,279,8428
UCL114014,1445,782,703,936,900,767,445,214,56,6250
UCL114015,1877,1189,1270,1047,1001,1127,1054,825,348,9737
UCL114016,1556,975,972,867,824,873,669,475,248,7458
UCL114017,1513,697,828,1092,1095,1051,817,302,96,7495
UCL114018,1055,679,766,731,981,1367,1595,955,345,8466
UCL114019,1451,823,1079,890,896,985,793,474,140,7529
UCL114020,1601,965,955,951,1075,1145,1128,736,183,8741
UCL114021,1769,1003,857,1169,1223,1388,1206,770,434,9820
UCL114022,916,521,500,550,670,1097,1329,900,369,6846
UCL114023,1052,643,856,634,679,767,566,387,163,5756
UCL114024,2012,1183,1243,1122,1105,1194,1024,692,311,9884
UCL114025,1669,606,534,1075,917,833,874,451,193,7153
UCL114026,1069,583,802,678,649,486,600,437,158,5460
UCL114027,692,450,389,410,635,862,974,828,290,5529
UCL114028,967,538,729,655,582,599,496,331,162,5064
UCL114029,1206,706,776,691,743,636,365,146,45,5316
UCL114030,729,394,431,450,572,988,1280,732,230,5811
UCL114031,1123,700,676,698,864,898,864,467,128,6416
UCL114032,1166,600,749,606,638,489,422,234,64,4974
UCL114033,1276,722,746,774,769,855,707,508,195,6551
UCL114034,1582,867,910,780,917,916,1009,664,305,7955
UCL114035,903,516,782,661,613,791,969,527,213,5989
UCL114036,841,476,524,609,648,1045,1457,940,308,6843
UCL114037,1144,622,733,752,736,705,629,393,224,5933
UCL114038,1516,906,925,854,796,896,898,622,313,7729
UCL115001,354,214,228,212,241,265,203,106,35,1863
UCL115002,790,499,374,438,627,689,516,245,56,4234
UCL115003,808,325,409,482,332,258,169,76,18,2877
UCL115004,257,167,218,210,193,291,383,185,54,1954
UCL115005,192,86,119,88,165,189,165,73,43,1110
UCL115006,535,175,228,370,343,248,216,83,59,2257
UCL115007,662,402,347,399,445,408,334,226,63,3291
UCL115008,130,71,81,63,109,198,214,164,100,1131
UCL115009,277,162,191,180,203,237,280,138,40,1713
UCL115010,125,65,78,59,107,180,214,161,50,1035
UCL115011,266,156,165,152,203,246,200,135,56,1572
UCL115012,164,94,96,94,143,146,155,85,35,1016
UCL115013,831,479,515,484,493,560,484,387,182,4412
UCL115014,643,355,246,369,461,426,397,242,99,3241
UCL115015,239,118,133,153,179,330,415,188,72,1829
UCL115016,171,119,127,114,152,161,129,60,33,1072
UCL115017,361,151,160,248,222,325,431,360,221,2484
UCL115018,108,78,47,78,108,150,222,165,79,1042
UCL115019,623,282,356,479,604,815,776,428,100,4468
UCL115020,619,378,393,290,333,391,308,208,87,3004
UCL115021,193,109,126,125,129,153,158,102,43,1140
UCL115022,407,310,166,268,411,455,449,285,61,2802
UCL115023,231,131,142,116,182,198,228,131,52,1415
UCL115024,351,191,234,176,183,202,148,64,26,1570
UCL115025,318,215,198,213,204,168,101,45,9,1467
UCL115026,239,103,140,159,171,173,194,178,46,1411
UCL115027,689,337,455,406,328,246,256,101,33,2855
UCL115028,381,246,199,255,307,400,390,259,130,2565
UCL115029,219,173,206,205,242,291,281,133,41,1785
UCL115030,170,106,79,85,137,198,213,118,57,1165
UCL115031,306,184,162,214,281,429,614,355,126,2652
UCL115032,365,187,142,213,299,393,310,151,39,2094
UCL115033,947,398,464,627,584,445,281,126,27,3894
UCL115034,389,245,275,232,227,201,101,42,7,1722
UCL115035,914,500,610,540,427,372,330,198,44,3940
UCL115036,441,284,243,249,423,524,527,306,86,3087
UCL115037,241,153,100,135,170,176,150,50,20,1200
UCL115038,240,143,140,127,156,222,219,143,53,1443
UCL115039,697,397,542,452,404,489,331,189,68,3562
UCL115040,315,190,204,160,217,182,167,68,11,1517
UCL115041,537,271,346,272,267,349,261,196,109,2602
UCL115042,342,168,197,165,178,220,222,152,88,1733
UCL115043,376,221,256,198,269,336,410,259,158,2490
UCL115044,535,259,333,238,260,308,261,150,64,2415
UCL115045,182,143,118,103,141,164,166,102,43,1160
UCL115046,315,178,227,208,250,224,209,77,14,1693
UCL115047,319,215,170,184,221,304,313,230,126,2080
UCL115048,494,301,351,325,416,627,536,422,155,3640
UCL115049,213,129,87,124,113,146,167,106,27,1117
UCL115050,476,235,234,325,274,206,166,71,13,2000
UCL115051,311,116,161,185,212,375,425,231,207,2224
UCL115052,282,178,183,196,190,203,184,111,55,1581
UCL115053,151,61,75,92,105,178,184,131,51,1033
UCL115054,212,148,94,133,156,156,135,28,13,1070
UCL115055,356,221,171,201,244,312,305,256,92,2160
UCL115056,524,274,246,283,396,512,569,327,129,3261
UCL115057,438,255,243,281,356,505,624,309,133,3138
UCL115058,177,105,96,104,133,285,370,278,109,1654
UCL115059,285,163,152,158,213,285,302,215,102,1866
UCL115060,591,929,496,380,255,180,121,53,13,3022
UCL115061,195,127,118,85,121,135,171,139,126,1211
UCL115062,277,159,165,180,170,169,125,62,10,1314
UCL115063,257,128,126,156,174,152,113,56,13,1183
UCL115064,823,461,426,516,570,626,570,364,180,4530
UCL115065,426,242,257,239,293,337,317,244,96,2448
UCL115066,577,338,402,313,298,332,185,59,10,2516
UCL115067,365,203,202,241,248,381,422,285,145,2486
UCL115068,145,85,85,105,134,201,266,167,33,1231
UCL115069,259,169,161,164,214,291,362,248,116,1993
UCL115070,741,405,513,459,397,292,237,113,18,3172
UCL115071,419,204,257,252,232,286,262,145,61,2120
UCL115072,329,166,117,183,222,298,364,131,12,1826
UCL115073,316,220,242,216,209,291,277,163,69,2009
UCL115074,368,213,237,213,233,294,247,170,70,2043
UCL115075,109,71,49,58,101,168,274,215,41,1089
UCL115076,300,155,176,163,186,256,310,200,57,1797
UCL115077,275,167,175,189,261,608,939,459,117,3190
UCL115078,170,94,98,98,138,309,299,208,84,1512
UCL115079,334,245,243,204,231,379,279,209,77,2201
UCL115080,529,249,339,308,296,238,168,90,8,2228
UCL115081,195,125,287,160,139,166,110,59,43,1277
UCL115082,176,112,100,102,133,191,229,128,52,1229
UCL115083,442,229,253,291,288,358,440,226,91,2617
UCL115084,171,85,82,106,178,387,538,310,71,1938
UCL115085,206,138,98,120,153,179,181,100,31,1204
UCL115086,430,834,868,402,363,371,203,81,14,3563
UCL115087,349,158,165,182,153,153,123,50,24,1359
UCL115088,287,132,165,129,166,194,242,132,51,1498
UCL115089,764,548,802,707,619,601,492,289,97,4927
UCL115090,178,115,79,86,156,191,203,160,40,1205
UCL115091,235,127,132,120,165,215,274,149,18,1444
UCL115092,387,220,250,184,205,178,201,137,74,1838
UCL115093,192,95,119,110,145,180,176,78,47,1144
UCL115094,525,269,219,279,281,386,435,293,147,2841
UCL115095,258,114,161,145,115,155,124,81,38,1193
UCL115096,635,360,259,359,489,595,774,433,80,3982
UCL115097,411,226,209,252,308,471,480,234,43,2636
UCL115098,255,131,188,154,177,266,229,163,33,1591
UCL115099,545,313,329,272,299,419,403,300,158,3033
UCL115100,384,191,221,221,301,407,433,354,204,2715
