UCL_CODE_2021,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_vis,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_vis,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_vis,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_vis,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_vis,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_vis,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_vis,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_vis,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_vis,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Tot_OS_vis,M_Total_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_vis,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_vis,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_vis,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_vis,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_vis,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_vis,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_vis,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_vis,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_vis,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Tot_OS_vis,F_Total_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_vis,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_vis,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_vis,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_vis,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_vis,P_45_54_yr_Tot
UCL101001,53898,11530,1104,500,60283,7183,195,134699,49127,23922,3540,1764,71228,11247,427,161261,91875,91420,18785,8683,132760,28105,1216,372848,74358,111005,34924,16120,95064,22684,916,355068,64550,96688,29515,12617,72267,15929,774,292344,52668,77440,25164,11323,68361,12770,873,248601,31548,49533,20952,10368,56475,9308,981,179164,16117,22464,10136,5479,36209,7499,305,98211,4797,5293,2332,1423,16564,5166,76,35656,438935,489295,146448,68282,609217,119895,5767,1877842,53212,15826,1891,793,48021,6335,184,126263,45916,34708,7123,3723,50746,8939,435,151598,66177,107026,39863,40183,101686,24374,1062,380373,34075,96708,67616,69874,70920,19317,688,359208,28661,92394,64232,49223,54708,13619,718,303563,25163,74667,51849,38860,56910,11113,1500,260078,16846,46515,39080,30601,53974,9753,1223,197997,11551,22813,17496,14140,38952,9414,341,114711,6084,7171,3707,2509,26566,10357,91,56496,287698,497842,292870,249913,502491,113220,6247,1950279,107109,27358,3001,1292,108304,13519,376,260960,95051,58625,10666,5487,121976,20186,870,312861,158051,198443,58649,48866,234449,52484,2279,753220,108438,207713,102532,85997,165980,42004,1612,714279,93211,189087,93746,61844,126977,29549,1492,595903
UCL102001,531,54,6,0,437,41,0,1074,445,184,24,11,488,61,0,1211,828,877,168,55,921,212,0,3062,668,977,239,115,535,141,3,2681,710,972,243,69,532,118,0,2645,608,814,212,80,528,138,4,2377,262,429,160,79,387,64,3,1391,115,140,75,37,214,37,0,618,40,35,18,8,93,25,0,219,4197,4480,1143,457,4134,846,21,15280,513,129,12,3,290,40,0,986,394,303,56,29,267,46,0,1098,534,1052,388,362,549,188,0,3081,312,992,517,378,332,113,0,2637,365,1076,540,251,350,93,0,2679,278,819,383,261,357,93,9,2210,139,342,261,206,360,71,7,1397,81,175,104,106,285,60,0,801,48,55,27,16,164,42,0,356,2662,4948,2289,1623,2961,750,21,15248,1044,181,15,3,730,83,0,2062,839,483,80,41,754,114,4,2309,1359,1933,560,424,1466,405,3,6140,978,1962,756,498,865,251,4,5318,1074,2050,781,320,882,204,5,5326
UCL102002,4407,774,66,27,4023,535,3,9826,3223,1378,210,111,3395,454,14,8785,4838,5049,1286,574,4757,1071,15,17593,4248,6658,2144,1078,3515,1028,24,18692,4617,7082,2210,929,3884,1026,24,19766,4152,6535,2161,1065,4576,901,25,19428,2766,4882,2411,1308,5018,907,23,17317,1551,2554,1344,850,3911,881,11,11108,441,521,262,206,1630,659,3,3726,30242,35428,12106,6150,34709,7465,141,126240,4248,1041,130,60,3156,467,3,9104,2844,2093,527,353,2266,442,4,8535,2722,5871,2709,3188,3080,1050,20,18638,1696,6044,4550,4794,2192,1041,17,20329,2181,7388,4630,3276,2838,902,27,21245,2308,7190,4480,3037,3948,898,38,21898,1553,4677,4200,3263,5448,1138,31,20310,1135,2239,1861,1751,4829,1324,8,13151,614,748,383,288,2975,1403,4,6426,19299,37293,23475,20008,30728,8680,157,139641,8654,1812,195,79,7177,1006,12,18934,6068,3473,737,463,5666,900,18,17321,7562,10916,4000,3766,7839,2119,35,36232,5944,12704,6697,5874,5702,2064,39,39023,6800,14461,6842,4205,6724,1928,48,41015
UCL102003,670,97,15,8,724,109,0,1613,500,222,26,5,557,91,0,1408,821,773,183,70,786,279,8,2914,849,1174,301,128,633,279,0,3367,917,1259,329,140,765,239,4,3661,938,1293,453,143,979,221,8,4034,748,1245,540,259,1326,216,12,4347,444,670,329,198,1100,238,6,2984,122,127,67,63,603,133,0,1124,6006,6855,2243,1011,7484,1806,36,25449,750,153,19,3,592,87,0,1612,466,316,73,41,375,87,4,1350,546,1010,421,436,560,247,7,3227,415,1218,815,671,404,249,4,3776,475,1454,864,483,543,237,0,4059,668,1597,912,540,864,226,4,4812,475,1233,1009,724,1296,238,12,4990,315,608,520,413,1298,306,6,3474,169,204,108,89,953,239,0,1759,4278,7788,4735,3414,6892,1913,42,29060,1420,250,32,13,1317,197,0,3220,968,536,101,38,934,182,0,2758,1365,1775,602,508,1350,522,15,6143,1262,2393,1117,797,1040,523,4,7142,1389,2710,1192,626,1313,474,8,7718
UCL102004,4568,681,59,30,4302,534,0,10187,4326,2018,251,109,4497,697,17,11915,6771,7305,1428,562,5880,1215,40,23196,5123,8116,2416,901,3762,1033,28,21391,5251,7758,2152,759,4088,925,20,20963,4609,6762,2104,905,4694,832,26,19943,2796,4955,2436,1191,4664,857,20,16910,1427,2265,1245,782,3422,753,13,9901,412,498,272,150,1604,516,0,3453,35281,40362,12368,5402,36919,7370,161,137861,4678,1102,101,56,3376,499,4,9813,4142,3181,556,274,2910,620,14,11703,4462,8408,3284,2877,3536,1062,29,23660,2233,7649,5184,4095,2318,895,26,22390,2606,8283,4877,2737,2775,793,17,22087,2424,7325,4508,2692,3678,759,30,21420,1414,4511,4135,3150,4649,896,41,18788,1072,2177,1869,1663,4041,1054,13,11886,650,773,369,254,2941,1078,0,6077,23679,43407,24882,17807,30220,7650,180,147823,9248,1783,162,88,7675,1035,5,20002,8467,5200,804,380,7410,1320,33,23621,11233,15712,4713,3435,9414,2276,73,46860,7358,15762,7599,4996,6082,1927,51,43782,7854,16047,7028,3505,6861,1721,39,43048
UCL102005,3733,716,66,23,3633,476,3,8656,3444,1666,228,97,3871,533,11,9854,5061,5381,1174,560,5112,943,21,18247,3746,6070,1879,867,3493,825,12,16885,3877,5913,1845,774,3744,768,20,16931,3603,5286,1817,888,4312,637,19,16557,2022,3662,1851,1019,3941,594,22,13104,1149,1724,902,639,2869,598,6,7887,341,404,211,145,1288,451,0,2845,26983,30815,9975,5007,32258,5827,113,110971,3802,1115,112,36,2807,476,7,8346,3217,2542,579,277,2517,463,8,9601,2918,5992,2743,2721,3165,926,19,18477,1507,5345,3993,3914,2165,781,21,17730,1750,6035,4117,2816,2523,680,13,17942,1634,5320,3793,2817,3346,622,27,17562,1044,3231,2980,2618,3906,651,22,14449,797,1738,1407,1356,3316,761,5,9383,478,559,294,219,2144,809,7,4504,17152,31878,20012,16769,25889,6171,128,117994,7536,1832,176,62,6435,958,7,17004,6660,4209,803,378,6388,995,19,19458,7975,11373,3918,3277,8270,1868,39,36721,5257,11413,5874,4779,5659,1608,28,34614,5631,11950,5960,3590,6262,1453,32,34876
UCL111001,664,103,9,9,679,117,3,1586,541,285,46,23,646,120,0,1662,956,1023,219,93,1018,246,9,3553,800,1102,309,126,642,206,0,3191,837,974,271,112,638,200,0,3034,787,954,251,102,749,153,3,2994,520,757,298,113,806,134,5,2628,227,336,170,95,537,101,0,1456,75,76,37,29,219,56,0,495,5403,5604,1610,696,5929,1337,16,20590,710,193,31,7,562,100,0,1606,498,498,135,73,445,107,0,1755,580,1200,529,521,657,218,9,3706,354,1086,731,647,387,192,4,3407,389,1229,700,364,467,151,0,3299,391,1188,583,372,628,165,3,3331,224,741,636,447,746,149,0,2937,148,350,281,271,691,172,0,1908,92,116,68,44,466,95,0,881,3386,6599,3684,2738,5044,1356,19,22832,1377,294,44,15,1241,216,5,3197,1036,780,183,92,1094,232,0,3411,1529,2213,750,615,1673,463,16,7263,1157,2189,1044,774,1032,406,4,6596,1226,2211,967,474,1106,351,0,6329
UCL111002,639,110,15,4,626,128,0,1523,445,216,27,9,485,87,6,1276,789,757,175,64,762,240,22,2810,674,926,279,133,625,220,5,2863,730,1014,263,128,628,228,7,2997,715,932,323,132,751,185,6,3042,495,901,440,200,815,180,0,3032,246,429,238,149,613,184,6,1861,84,100,57,46,308,120,0,711,4812,5384,1823,866,5607,1561,59,20109,663,169,21,12,542,106,0,1520,359,313,96,56,338,88,4,1250,463,892,404,408,542,254,9,2967,317,1012,637,532,424,223,6,3155,416,1244,681,366,463,191,0,3369,448,1181,682,358,660,187,9,3528,289,837,774,531,808,194,4,3429,169,417,380,323,754,257,0,2300,102,137,74,50,514,236,0,1120,3227,6200,3754,2635,5053,1731,42,22633,1302,281,38,15,1161,232,0,3042,799,529,122,64,824,170,9,2526,1249,1648,578,474,1302,491,34,5772,992,1938,916,661,1045,441,19,6016,1143,2258,947,496,1093,414,11,6364
UCL111003,1173,212,11,7,1189,131,3,2721,910,436,69,18,1147,114,3,2694,1702,1982,446,161,1682,277,6,6252,1401,2091,590,247,1145,248,9,5725,1270,1822,504,207,1146,192,6,5147,1021,1555,444,201,1143,181,3,4543,607,1043,532,296,1143,134,6,3770,277,441,251,192,744,124,4,2041,67,81,50,34,239,71,0,539,8419,9671,2895,1368,9577,1467,39,33441,1160,308,29,16,1033,110,3,2659,811,712,196,120,790,104,0,2735,912,2219,1102,1129,1125,278,12,6777,586,1927,1334,1269,743,253,0,6113,526,2048,1185,758,856,147,3,5531,552,1555,1097,705,999,171,10,5093,298,868,945,798,1198,163,0,4277,205,402,364,351,947,182,5,2460,108,135,78,60,469,144,4,991,5170,10184,6331,5205,8165,1543,38,36638,2339,515,43,20,2222,239,6,5383,1718,1154,262,141,1931,219,7,5432,2610,4204,1548,1289,2803,554,12,13029,1992,4015,1923,1512,1890,498,9,11842,1795,3871,1694,964,2000,342,7,10678
UCL112001,270,59,17,6,285,157,0,800,267,192,36,6,287,190,4,990,357,421,96,50,401,160,11,1493,230,384,123,67,261,97,4,1174,231,356,97,38,218,88,4,1031,243,363,120,38,254,81,3,1107,151,290,94,59,183,50,0,831,99,141,62,41,165,76,0,582,23,42,21,15,75,40,0,211,1883,2256,671,314,2127,943,24,8209,331,120,14,13,269,240,0,985,233,281,71,27,219,223,0,1058,217,463,239,186,311,174,0,1602,108,379,268,175,171,112,0,1225,125,451,207,131,148,58,5,1125,149,428,235,99,201,82,0,1194,87,285,203,126,204,73,0,978,62,159,111,119,231,97,0,779,36,66,27,13,129,75,0,349,1348,2634,1375,892,1889,1135,13,9288,607,187,28,17,554,396,0,1781,502,475,105,32,508,418,0,2043,576,884,340,231,710,335,12,3091,340,767,394,244,427,220,3,2393,356,808,305,169,372,149,6,2159
