UCL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
UCL101001,77830,152110,77015,50182,125277,23886,2373,508680,48394,96056,60032,40968,110447,19062,2206,377161,27667,45281,27637,19621,75162,16914,639,212920,10881,12466,6039,3939,43130,15520,171,92147,726629,987133,439318,318198,1111710,233122,12016,3828123
UCL102001,892,1631,593,343,888,234,9,4587,400,769,426,291,753,139,11,2782,188,319,178,138,497,100,0,1419,87,88,42,29,260,72,0,576,6862,9423,3433,2080,7096,1596,41,30526
UCL102002,6463,13728,6643,4100,8529,1800,62,41318,4320,9558,6618,4574,10466,2044,51,37632,2684,4795,3208,2601,8737,2207,22,24258,1054,1270,646,495,4611,2065,12,10147,49541,72723,35586,26164,65439,16137,293,265883
UCL102003,1604,2887,1366,688,1847,447,7,8844,1223,2478,1549,986,2620,453,25,9331,759,1279,855,612,2399,549,15,6463,290,331,172,156,1560,372,0,2882,10282,14644,6985,4423,14375,3723,77,54502
UCL102004,7036,14090,6614,3597,8372,1597,55,41362,4206,9462,6575,4341,9309,1749,56,35699,2493,4442,3111,2444,7465,1810,20,21793,1058,1277,642,410,4542,1590,0,9525,58961,83771,37256,23202,67138,15023,337,285688
UCL102005,5238,10606,5610,3700,7657,1260,44,34115,3071,6885,4827,3637,7852,1241,45,27555,1947,3461,2308,1993,6185,1360,12,17265,819,969,508,359,3432,1260,4,7352,44130,62693,29985,21778,58141,11998,232,228968
UCL111001,1171,2141,834,471,1374,323,6,6320,740,1494,930,557,1555,287,4,5563,382,685,448,364,1223,269,0,3365,169,192,103,72,691,148,0,1376,8789,12200,5295,3428,10978,2693,35,43421
UCL111002,1158,2108,1007,493,1411,373,13,6570,783,1736,1210,732,1619,372,8,6464,421,847,614,470,1362,435,6,4156,186,235,136,94,820,358,0,1827,8043,11581,5574,3494,10658,3288,97,42740
UCL111003,1572,3108,1541,911,2140,351,9,9637,905,1915,1476,1091,2347,299,9,8046,485,846,615,549,1688,303,4,4500,177,220,124,92,707,213,4,1528,13590,19849,9233,6569,17740,3019,73,70076
UCL112001,388,793,358,137,455,159,5,2297,237,573,300,183,390,119,7,1810,163,299,173,160,395,169,0,1356,61,104,47,27,203,110,0,558,3232,4892,2042,1208,4012,2074,34,17500
UCL112002,725,1332,637,353,790,212,6,4048,418,912,610,409,890,141,3,3380,229,397,277,221,788,153,3,2065,97,122,55,41,552,78,0,946,5798,8096,3558,2357,7257,2363,39,29468
UCL112003,688,1789,868,462,628,155,6,4589,521,1434,913,594,870,166,10,4510,242,533,369,278,593,121,7,2136,87,83,60,46,349,68,0,692,4661,8251,4187,2780,4400,1087,45,25405
UCL112004,524,1124,575,336,383,94,9,3047,445,1147,751,516,661,124,9,3647,339,708,532,366,751,176,3,2873,112,205,120,65,403,179,0,1085,3703,5942,3185,2140,4067,990,32,20063
UCL112005,383,694,398,312,679,246,0,2706,238,492,373,324,806,176,3,2413,124,204,152,133,614,150,0,1365,42,74,26,14,402,84,0,644,2924,4200,2164,1760,5296,2542,13,18904
UCL112006,758,1313,540,327,945,301,4,4184,456,797,520,330,948,255,8,3326,273,410,290,234,792,218,0,2222,90,101,45,45,500,115,0,897,5858,8011,3399,2408,8285,2818,53,30836
UCL112007,157,274,129,66,156,39,0,825,122,237,168,147,315,61,0,1041,69,124,90,91,221,64,0,661,9,15,17,14,82,58,0,205,988,1435,731,534,1278,367,0,5341
UCL112008,512,946,485,303,659,137,6,3049,442,1036,752,497,1147,237,5,4108,301,531,365,335,1094,263,0,2889,129,140,89,84,626,278,0,1344,2921,4597,2470,1757,5172,1344,22,18280
UCL112009,528,908,409,224,710,167,4,2948,294,619,411,269,824,171,4,2588,190,324,215,160,624,124,0,1635,67,94,41,36,417,59,0,717,3744,5120,2286,1591,5564,1703,24,20034
UCL112010,398,637,275,200,721,161,10,2390,211,329,243,184,617,120,5,1711,122,219,117,130,415,108,0,1113,67,76,43,20,256,140,0,598,3029,3840,1621,1254,5818,1432,123,17114
UCL112011,338,597,322,241,630,97,7,2220,182,417,260,243,686,96,3,1885,83,145,80,91,402,69,0,871,36,44,21,15,190,29,0,323,2716,4120,1831,1481,4647,831,12,15642
UCL112012,661,1268,500,289,804,250,10,3779,345,873,562,383,805,222,0,3202,207,360,250,217,647,203,0,1880,89,116,51,39,437,177,4,913,4496,6587,2881,1922,5613,1984,52,23542
UCL112013,48,109,51,32,57,13,0,307,35,66,38,26,58,9,0,224,13,24,17,16,36,0,0,108,0,3,6,3,16,0,0,29,368,513,274,183,383,136,49,1906
UCL112014,451,839,465,313,554,93,3,2714,312,662,493,349,695,110,0,2625,201,421,343,264,693,120,0,2051,100,138,47,56,520,72,0,924,3340,4774,2488,1871,4653,828,11,17967
UCL112015,606,1132,553,338,910,292,11,3842,386,870,587,439,1115,217,9,3611,212,428,301,259,933,158,5,2303,102,125,65,47,573,81,0,985,4653,6708,3115,2473,7347,2851,33,27174
UCL112016,760,1388,575,320,1004,235,14,4300,474,933,611,409,1088,214,4,3719,273,459,316,219,857,190,3,2322,110,135,70,54,495,144,0,1008,6252,8814,3870,2520,8389,2056,57,31961
UCL112017,1120,2223,934,508,1280,304,4,6370,907,1908,1267,745,1662,365,5,6864,538,1031,744,529,1658,433,3,4935,251,264,155,115,975,412,0,2182,8117,11731,5394,3356,9823,2588,65,41079
UCL112018,660,1197,528,296,1001,277,6,3962,380,784,527,394,1079,271,9,3441,261,487,315,261,833,344,0,2507,131,142,64,52,506,252,0,1147,5044,7097,3202,2233,8351,2824,52,28797
UCL112019,1002,1953,811,410,1245,274,4,5696,633,1249,743,517,1337,248,0,4734,354,607,364,284,1037,212,3,2861,151,171,92,77,653,153,3,1288,8203,11198,4698,3100,10393,2415,99,40101
UCL113001,460,841,349,186,527,137,0,2493,400,869,552,348,766,196,3,3144,255,441,337,235,681,178,0,2118,109,134,72,52,596,203,0,1174,3000,4390,2061,1302,4144,1243,15,16156
UCL113002,284,551,297,183,410,126,0,1859,232,577,320,271,574,127,4,2102,122,269,183,182,477,119,0,1354,47,58,40,19,355,46,0,562,1686,2762,1345,1016,2975,869,11,10658
UCL113003,377,713,312,259,769,169,4,2599,235,473,317,265,791,167,3,2254,114,182,112,158,529,165,0,1263,56,60,31,30,286,119,0,583,2235,3525,1614,1300,4552,1403,15,14656
UCL113004,275,509,198,94,213,119,0,1400,174,348,223,115,242,68,4,1175,49,111,71,53,155,36,0,476,19,19,10,7,95,23,0,174,2127,2660,997,581,2124,884,104,9485
UCL113005,347,637,308,194,524,128,0,2138,228,443,308,237,662,109,0,1987,129,265,184,137,577,115,0,1410,80,90,39,33,361,94,0,700,2447,3469,1693,1262,4007,1125,46,14055
UCL113006,164,315,186,135,429,137,5,1369,118,278,188,140,440,86,0,1253,87,115,64,96,334,88,3,791,28,27,14,6,171,35,0,287,1205,1654,881,801,2836,1656,8,9045
UCL113007,374,783,398,204,291,70,0,2123,247,730,521,271,357,80,6,2205,162,328,205,155,291,75,0,1216,64,82,44,36,175,111,0,504,2422,3859,1949,1159,2161,602,17,12164
UCL113008,211,481,247,186,377,88,0,1591,179,320,232,164,495,84,0,1473,118,166,130,130,415,74,0,1025,41,56,31,15,207,20,0,379,1547,2375,1182,915,2687,662,0,9361
UCL113009,172,418,205,133,218,19,0,1163,99,229,184,135,200,15,0,867,48,91,71,61,135,17,0,427,16,10,10,7,28,3,0,69,1527,2298,1142,837,1505,188,10,7509
UCL113010,217,404,183,107,273,84,0,1263,119,274,158,119,296,64,0,1038,95,134,92,97,279,69,0,771,31,43,18,9,190,48,0,334,1768,2568,1107,857,2353,654,4,9308
UCL113011,223,388,192,124,302,74,0,1299,92,203,145,129,328,60,0,957,38,92,52,38,209,47,0,481,15,21,12,8,92,30,0,178,1564,2198,1003,805,2437,653,7,8666
UCL113012,384,779,388,196,410,69,4,2230,273,695,469,316,595,88,0,2437,168,347,262,200,478,120,0,1578,55,73,32,31,252,129,0,575,2232,3597,1798,1219,2935,671,9,12458
UCL113013,271,482,245,169,438,81,0,1683,145,306,210,156,457,86,0,1357,72,155,79,65,319,73,0,760,23,36,19,9,140,18,0,240,1926,2857,1262,1010,3328,730,4,11121
UCL113014,240,513,256,144,360,87,3,1606,114,263,186,167,363,60,0,1151,61,122,81,73,262,40,0,647,25,44,16,10,174,15,0,292,2035,3188,1440,1104,2878,641,14,11295
UCL113015,227,452,209,179,353,71,0,1490,194,420,307,234,553,87,0,1802,110,179,123,127,454,74,0,1068,40,41,21,18,163,29,0,315,1544,2378,1207,979,2439,571,8,9131
UCL113016,327,625,348,210,620,166,0,2295,239,514,345,282,727,183,0,2283,170,291,216,223,686,215,0,1801,74,103,54,35,463,152,0,873,2358,3440,1770,1431,4634,1430,7,15068
UCL113017,315,742,407,205,376,132,0,2172,303,753,488,335,593,114,0,2586,150,348,228,209,461,94,3,1490,62,91,49,26,195,47,0,474,2162,3481,1845,1256,2757,753,8,12260
UCL113018,58,95,46,32,71,33,0,334,36,94,79,68,123,41,0,438,21,46,43,30,105,34,0,277,11,8,5,3,36,19,0,80,311,493,277,195,492,192,0,1962
UCL114001,117,245,124,61,115,16,0,680,85,204,149,116,175,27,0,749,69,131,95,64,195,36,0,605,33,53,33,18,144,43,0,341,813,1219,653,438,965,224,0,4306
UCL114002,230,407,218,154,243,58,3,1314,201,530,442,273,444,74,0,1966,150,296,201,199,501,71,0,1419,60,70,28,42,335,59,0,597,1100,1915,1121,839,1940,373,13,7294
UCL114003,179,290,155,109,356,87,0,1180,116,292,181,140,442,97,0,1269,86,173,113,104,334,96,0,909,46,51,23,17,200,74,0,412,1251,1878,868,679,2579,850,3,8120
UCL114004,164,297,129,79,175,61,0,899,115,164,103,78,199,45,0,708,67,111,73,52,165,46,0,516,29,28,10,12,129,25,0,234,1068,1458,641,457,1310,565,12,5509
UCL114005,122,237,120,93,213,41,0,822,94,222,149,132,286,53,0,940,73,104,96,74,253,63,0,661,28,33,13,13,149,25,0,256,755,1164,615,514,1429,318,3,4799
UCL114006,143,286,110,69,159,36,0,810,93,170,142,115,257,45,0,832,54,104,78,58,228,46,0,567,22,38,18,11,119,27,0,244,809,1164,586,422,1267,288,3,4543
UCL114007,169,307,147,100,257,58,4,1042,128,246,172,153,356,66,0,1126,78,120,92,72,308,63,0,735,34,35,23,24,200,26,0,349,1175,1634,824,664,1992,507,7,6812
