UCL_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
UCL101001,546276,38021,13363,5568,544,223,1707,605701
UCL102001,3897,389,200,34,7,0,14,4542
UCL102002,29238,3748,1692,308,62,29,233,35307
UCL102003,4970,669,245,51,9,6,32,5993
UCL102004,31974,3985,1464,288,66,15,228,38016
UCL102005,27520,3113,1260,241,38,17,196,32387
UCL111001,4370,606,262,31,12,3,41,5322
UCL111002,3817,550,222,45,13,7,49,4698
UCL111003,8603,1420,610,88,24,8,77,10821
UCL112001,1410,163,91,19,4,3,22,1716
UCL112002,2859,454,210,33,10,3,26,3590
UCL112003,2570,302,114,26,5,0,30,3040
UCL112004,2077,219,68,17,3,0,12,2404
UCL112005,1560,268,129,29,7,4,26,2026
UCL112006,3096,506,207,47,7,7,37,3915
UCL112007,574,80,29,6,0,0,4,696
UCL112008,1075,175,62,11,0,0,17,1341
UCL112009,1781,263,163,32,5,0,26,2267
UCL112010,2040,196,78,33,0,3,20,2377
UCL112011,1668,304,167,28,10,5,31,2204
UCL112012,1905,291,135,26,9,4,17,2390
UCL112013,232,41,11,3,0,0,5,287
UCL112014,1831,282,124,21,6,4,18,2274
UCL112015,2434,371,204,35,11,3,43,3093
UCL112016,3449,478,242,35,5,5,29,4240
UCL112017,3559,508,184,30,6,4,31,4321
UCL112018,2405,409,221,28,5,0,39,3106
UCL112019,4240,523,253,38,14,3,37,5108
UCL113001,1154,144,58,13,0,0,13,1384
UCL113002,650,111,43,11,0,0,18,829
UCL113003,1036,218,95,21,0,0,13,1397
UCL113004,700,86,19,4,0,0,4,814
UCL113005,1013,199,117,22,4,0,12,1369
UCL113006,515,103,60,15,0,7,14,708
UCL113007,1430,158,53,7,0,0,6,1661
UCL113008,713,99,49,12,4,4,12,898
UCL113009,1142,164,75,12,3,0,3,1401
UCL113010,981,132,75,18,4,0,12,1223
UCL113011,858,161,80,13,3,0,16,1131
UCL113012,1042,160,62,15,4,0,11,1288
UCL113013,971,225,119,13,7,4,19,1346
UCL113014,1312,230,100,13,8,3,7,1678
UCL113015,705,131,54,10,3,3,10,914
UCL113016,1002,168,104,36,4,5,13,1330
UCL113017,1012,133,54,11,0,0,7,1220
UCL113018,160,20,18,0,0,0,0,201
UCL114001,383,57,15,0,0,0,3,463
UCL114002,368,60,16,3,0,0,9,461
UCL114003,586,82,63,14,5,0,9,753
UCL114004,478,71,35,0,0,0,0,580
UCL114005,333,58,14,9,0,0,16,429
UCL114006,353,47,27,0,3,4,4,444
UCL114007,553,72,45,11,6,0,4,691
UCL114008,410,50,32,6,0,0,5,515
UCL114009,747,89,26,0,0,0,4,874
UCL114010,451,62,30,4,0,0,4,555
UCL114011,272,43,16,5,0,0,6,348
UCL114012,962,88,47,11,0,0,3,1111
UCL114013,611,94,48,6,0,3,10,778
UCL114014,906,89,27,13,0,0,0,1042
UCL114015,586,102,61,8,0,0,19,769
UCL114016,570,74,34,7,0,0,4,696
UCL114017,798,82,26,12,0,0,6,923
UCL114018,497,103,22,0,0,0,3,630
UCL114019,426,57,26,7,0,0,5,528
UCL114020,777,111,53,4,0,0,0,948
UCL114021,733,122,51,10,0,5,4,921
UCL114022,316,41,29,4,0,0,3,403
UCL114023,397,41,22,8,0,0,7,483
UCL114024,711,131,59,14,4,0,15,920
UCL114025,737,105,37,7,0,0,5,887
UCL114026,504,74,41,6,0,0,5,631
UCL114027,379,48,15,3,0,0,6,443
UCL114028,410,76,28,4,3,0,11,524
UCL114029,723,56,34,5,0,0,3,822
UCL114030,324,26,19,4,0,0,8,384
UCL114031,536,90,53,0,3,0,10,698
UCL114032,455,70,54,7,0,0,4,593
UCL114033,491,85,37,4,0,0,12,630
UCL114034,525,102,53,17,0,0,6,713
UCL114035,463,55,7,3,0,0,5,539
UCL114036,381,48,20,6,0,0,3,458
UCL114037,526,91,22,7,0,0,10,656
UCL114038,524,77,59,7,0,0,12,680
UCL115001,154,31,12,0,0,0,3,210
UCL115002,411,67,22,13,0,0,5,513
UCL115003,393,39,21,9,0,0,3,467
UCL115004,119,14,3,0,0,0,0,143
UCL115005,67,9,7,0,0,0,0,83
UCL115006,258,23,9,0,0,0,0,292
UCL115007,348,46,26,0,0,0,3,423
UCL115008,48,7,4,0,0,0,0,61
UCL115009,138,18,15,0,0,0,4,173
UCL115010,40,4,4,0,0,0,0,46
UCL115011,124,21,4,0,0,0,5,151
UCL115012,58,5,5,0,0,0,0,73
UCL115013,279,50,25,0,0,0,0,362
UCL115014,224,34,22,6,0,0,0,287
UCL115015,92,17,10,0,0,0,6,122
UCL115016,90,7,0,0,0,0,0,101
UCL115017,197,15,0,0,0,0,3,222
UCL115018,42,9,4,0,0,0,4,50
UCL115019,311,42,7,0,0,0,3,364
UCL115020,240,29,23,7,0,0,10,310
UCL115021,71,12,3,0,0,0,6,92
UCL115022,253,36,9,0,0,0,0,301
UCL115023,81,17,13,0,0,0,4,106
UCL115024,102,17,3,3,0,0,3,130
UCL115025,177,24,15,0,0,0,3,221
UCL115026,90,11,8,3,0,0,0,112
UCL115027,271,43,16,4,0,0,4,346
UCL115028,196,28,14,0,0,0,0,235
UCL115029,109,11,4,0,0,0,0,128
UCL115030,50,13,8,0,0,0,4,73
UCL115031,180,13,4,0,0,0,0,195
UCL115032,204,14,7,3,0,0,0,232
UCL115033,503,69,20,8,0,0,0,609
UCL115034,192,27,20,3,0,0,0,232
UCL115035,377,60,31,6,0,0,4,472
UCL115036,213,38,14,0,0,0,4,275
UCL115037,152,14,5,4,0,0,0,174
UCL115038,84,17,6,0,0,0,0,106
UCL115039,226,39,22,0,0,0,7,294
UCL115040,179,14,9,4,0,0,4,207
UCL115041,181,24,6,5,0,0,8,217
UCL115042,127,19,16,3,0,0,3,164
UCL115043,126,10,8,3,0,0,0,142
UCL115044,115,14,6,7,0,0,6,145
UCL115045,65,17,6,6,5,0,0,84
UCL115046,147,17,17,3,0,0,0,186
UCL115047,149,26,10,0,0,0,0,185
UCL115048,242,35,10,0,0,0,3,297
UCL115049,85,17,7,3,0,0,0,107
UCL115050,251,30,16,4,0,0,0,294
UCL115051,132,18,7,0,0,0,0,158
UCL115052,102,32,19,0,6,0,0,157
UCL115053,57,7,3,0,0,0,0,73
UCL115054,137,6,4,0,0,0,0,154
UCL115055,152,24,11,3,0,0,4,196
UCL115056,164,39,17,3,0,0,4,231
UCL115057,167,36,16,0,0,0,3,223
UCL115058,77,23,4,0,0,0,0,107
UCL115059,93,10,12,0,0,0,0,119
UCL115060,221,33,29,0,0,0,0,286
UCL115061,66,14,7,0,0,0,0,85
UCL115062,155,21,12,0,0,0,4,184
UCL115063,159,19,3,0,0,0,0,184
UCL115064,461,59,14,3,0,0,4,543
UCL115065,112,24,10,5,0,0,5,148
UCL115066,308,46,17,4,0,0,0,370
UCL115067,131,25,13,0,0,0,3,168
UCL115068,84,13,4,0,0,0,0,101
UCL115069,117,24,5,0,0,0,0,146
UCL115070,337,54,35,6,0,0,4,442
UCL115071,141,29,16,0,0,0,4,195
UCL115072,163,25,12,0,0,0,0,207
UCL115073,147,10,7,3,0,0,4,168
UCL115074,117,22,9,8,0,0,0,153
UCL115075,58,10,0,0,0,0,0,68
UCL115076,120,14,9,0,0,0,0,140
UCL115077,134,21,8,6,0,0,4,170
UCL115078,55,11,6,0,0,0,0,77
UCL115079,124,18,10,3,0,0,6,166
UCL115080,253,23,20,0,0,0,3,306
UCL115081,69,9,7,0,0,0,0,83
UCL115082,63,13,10,0,0,0,0,81
UCL115083,200,30,17,0,0,0,5,253
UCL115084,64,16,3,0,0,0,0,88
UCL115085,137,14,5,3,0,0,0,164
UCL115086,143,18,3,0,0,0,0,162
UCL115087,137,19,4,0,0,0,0,163
UCL115088,128,10,8,0,0,0,0,155
UCL115089,301,36,27,5,0,0,3,373
UCL115090,52,6,0,0,0,0,0,64
UCL115091,84,12,7,0,0,0,0,111
UCL115092,137,27,10,0,0,0,3,189
UCL115093,120,18,3,0,0,0,0,146
UCL115094,147,21,19,0,0,0,0,189
UCL115095,80,5,5,6,0,0,4,95
UCL115096,325,42,16,0,0,0,9,390
UCL115097,155,32,17,5,3,0,6,215
UCL115098,57,20,6,0,0,0,4,81
UCL115099,183,40,13,8,0,0,0,245
UCL115100,138,17,14,6,0,0,4,181
UCL115101,152,16,12,0,0,0,0,186
UCL115102,108,10,12,6,0,0,3,141
UCL115103,64,3,9,0,0,0,0,82
UCL115104,116,11,5,4,0,0,3,138
UCL115105,121,16,12,4,0,0,0,155
UCL115106,162,36,12,5,0,0,6,216
UCL115107,273,36,16,3,0,0,3,329
UCL115108,280,33,18,4,0,0,0,339
UCL115109,177,23,16,0,0,0,0,218
UCL115110,227,32,15,4,0,0,9,290
UCL115111,215,36,16,4,0,0,4,283
UCL115112,229,51,19,0,0,0,0,302
UCL115113,145,22,10,0,0,0,0,181
UCL115114,158,22,11,4,0,0,3,204
UCL115115,359,39,26,0,6,0,3,430
UCL115116,314,49,21,3,0,0,0,390
UCL115117,71,10,7,0,0,0,3,93
UCL115118,111,12,8,0,0,0,0,136
UCL115119,437,42,19,9,0,0,0,502
UCL115120,486,39,26,0,0,0,4,559
UCL115121,126,14,15,0,0,0,5,159
UCL115122,152,26,14,0,0,0,9,198
UCL115123,155,21,7,0,0,0,0,182
UCL115124,414,52,17,7,0,0,6,500
UCL115125,217,26,12,0,0,0,4,251
UCL115126,89,14,3,0,0,0,0,107
UCL115127,93,14,4,0,0,0,0,113
UCL115128,199,41,4,0,0,0,0,238
UCL115129,226,15,6,4,0,0,0,246
UCL115130,193,20,10,0,0,0,4,232
UCL115131,282,47,30,5,5,0,9,382
UCL115132,106,11,0,0,0,0,0,116
UCL115133,88,13,5,7,0,0,0,113
UCL115134,284,27,15,7,0,0,4,338
UCL115135,142,16,4,0,0,0,5,172
UCL115136,306,30,19,0,0,0,0,358
UCL115137,401,44,31,4,0,0,0,484
UCL115138,221,36,12,6,0,0,0,278
UCL115139,141,16,18,0,0,0,0,179
UCL115140,95,9,0,0,3,0,0,106
UCL115141,92,25,3,0,0,0,5,122
UCL115142,96,19,8,0,0,0,4,124
UCL115143,174,21,14,5,0,0,0,201
UCL115144,135,14,11,5,0,0,3,174
UCL115145,100,13,0,4,0,0,0,120
UCL115146,202,21,4,0,0,0,0,226
UCL115147,122,9,7,0,0,0,0,147
UCL115148,86,15,3,0,0,0,3,108
UCL115149,38,4,7,0,0,0,0,55
UCL115150,102,11,10,0,0,0,0,117
UCL115151,174,37,18,4,0,0,9,238
UCL115152,60,14,4,4,0,0,0,84
UCL115153,66,8,3,0,0,0,0,77
UCL115154,111,9,9,0,0,0,5,141
UCL115155,209,51,23,6,0,0,6,303
UCL115156,39,19,7,0,6,0,0,75
UCL115157,76,14,3,0,0,0,3,104
UCL115158,206,19,18,0,0,0,6,248
UCL115159,240,23,9,0,0,0,0,278
UCL115160,436,51,28,6,4,0,0,520
UCL115161,303,46,29,0,0,0,7,386
UCL115162,313,37,15,4,0,0,0,364
UCL115163,194,23,16,0,0,0,6,240
UCL115164,96,21,10,4,0,0,0,128
UCL115165,112,12,5,0,0,0,3,133
UCL121001,68,10,3,0,0,0,0,88
UCL121002,27,7,6,0,0,0,0,39
UCL121003,57,4,4,0,0,0,0,65
UCL121004,78,12,5,0,0,0,3,106
UCL121005,65,11,3,3,0,0,0,79
UCL121006,44,4,0,0,0,0,0,55
UCL121007,51,8,3,0,0,0,4,68
UCL121008,15,7,3,0,0,0,0,22
UCL121009,55,4,10,0,0,0,0,71
UCL121010,52,0,0,0,0,0,0,56
UCL121011,40,7,6,0,0,0,4,59
