UCL_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
UCL101001,15767,19707,35473,4471,5470,9940,5173,12878,18052,5836,26496,32332,16398,50652,67047,18048,31134,49179,47623,24939,72567,44716,31774,76488,57814,37742,95551,69569,32680,102247,56146,29559,85705,60040,25334,85371,140333,49709,190041,111209,7585,118787,101408,15357,116765,73546,4078,77624,287982,29404,317389,59519,9334,68849,11693,13899,25596,1187279,457724,1645002
UCL102001,55,118,173,15,31,49,22,111,133,44,217,260,98,548,645,112,336,450,279,288,565,322,369,689,359,544,901,506,449,958,461,461,919,540,394,941,1205,598,1797,1023,56,1081,975,128,1101,705,9,718,2291,171,2458,563,50,615,87,117,203,9652,5001,14652
UCL102002,851,1342,2190,321,499,818,316,1183,1502,425,2681,3104,1402,7502,8900,1666,5184,6853,5943,2946,8893,5105,3370,8475,5985,3222,9206,6956,2276,9230,5016,1809,6820,5283,1402,6682,11225,1941,13170,8502,300,8802,6817,492,7307,4213,114,4331,10429,921,11347,4845,385,5230,999,1846,2844,86299,39411,125710
UCL102003,170,314,480,96,112,213,77,304,377,79,603,681,318,1766,2079,327,1465,1790,1421,773,2195,1205,872,2073,1366,780,2151,1583,510,2093,966,392,1356,1018,276,1299,2038,385,2420,1429,85,1506,1124,106,1239,643,28,673,1565,179,1749,1074,145,1218,272,612,888,16773,9702,26478
UCL102004,756,1229,1987,290,519,815,329,1316,1651,369,2831,3203,1280,7493,8779,1491,4551,6040,5165,2758,7928,4772,3514,8288,5711,3593,9301,6498,2858,9356,4875,2339,7220,5072,1922,6993,11813,3259,15071,9511,669,10184,8328,877,9205,5410,280,5693,13737,1183,14920,5299,1027,6320,851,1469,2321,91561,43711,135268
UCL102005,742,993,1732,268,380,653,307,1146,1450,412,2377,2786,1286,5762,7046,1464,3289,4758,4707,2060,6766,4182,2426,6604,4698,2505,7201,5386,1940,7328,3964,1593,5555,4214,1310,5524,9183,2138,11320,7532,360,7886,6331,476,6809,4182,162,4344,10417,742,11158,3854,669,4521,769,1148,1916,73895,31461,105354
UCL111001,95,205,296,43,71,116,64,272,340,65,514,577,243,1302,1542,339,985,1325,922,637,1559,814,763,1578,990,756,1747,1185,542,1726,901,420,1319,938,274,1211,1953,451,2405,1380,79,1457,1010,87,1096,594,28,623,1178,156,1338,801,87,885,174,361,534,13680,7989,21674
UCL111002,108,183,291,59,79,137,70,247,314,74,487,556,277,1297,1574,296,1003,1301,1063,559,1623,867,635,1500,1110,614,1726,1298,433,1727,862,310,1173,856,252,1106,1658,324,1985,1139,61,1197,819,72,888,488,27,516,1078,148,1227,800,102,903,183,350,531,13125,7167,20289
UCL111003,174,256,424,66,112,180,78,263,340,110,514,627,361,1615,1978,413,975,1392,1538,553,2083,1395,768,2164,1528,780,2310,1793,603,2399,1434,528,1963,1537,384,1922,3514,555,4070,2632,74,2711,2057,110,2161,1272,33,1300,2673,132,2800,1577,98,1677,239,333,567,24391,8674,33069
UCL112001,39,70,114,18,47,66,22,119,138,21,217,233,90,464,558,111,367,470,345,248,598,302,317,622,369,279,646,419,219,639,309,183,500,339,128,473,636,236,873,445,32,477,317,56,365,217,9,226,440,67,506,267,60,328,48,110,156,4761,3228,7986
UCL112002,65,133,198,31,45,69,34,122,161,50,288,338,133,698,831,166,504,665,523,311,830,494,432,925,654,443,1098,736,313,1046,553,281,829,560,199,756,1259,325,1578,978,58,1037,692,66,754,464,13,482,942,83,1020,618,57,671,112,175,290,9061,4538,13595
UCL112003,64,163,226,37,76,111,41,157,201,41,286,330,124,859,980,175,553,723,467,358,822,481,381,859,586,396,986,721,282,1005,484,204,687,522,193,716,1045,299,1341,757,39,799,683,69,752,385,7,397,1006,145,1152,415,45,460,50,141,181,8078,4649,12726
UCL112004,69,103,174,49,45,90,32,93,123,24,162,185,112,489,605,87,326,406,347,257,613,343,295,643,443,286,728,544,183,730,309,158,461,401,111,516,766,188,961,617,20,634,503,57,560,317,12,320,1198,143,1342,358,29,383,70,130,197,6591,3085,9677
UCL112005,49,84,132,20,34,54,25,85,109,48,190,238,110,585,699,168,340,511,536,168,704,459,240,703,464,230,686,492,140,630,369,109,481,354,79,433,701,126,828,471,14,492,320,23,349,188,4,194,393,32,424,351,15,366,84,143,223,5601,2651,8253
UCL112006,82,121,207,28,49,74,38,124,156,36,267,297,135,715,846,171,422,595,540,300,846,485,410,894,630,443,1073,726,354,1078,600,276,880,611,221,828,1416,372,1786,1009,76,1086,741,74,820,455,24,481,962,159,1122,711,70,786,149,264,413,9525,4739,14260
UCL112007,22,11,39,8,6,14,6,22,32,5,44,50,26,159,182,27,114,141,184,51,236,150,67,217,136,63,198,157,44,202,82,35,117,108,19,123,221,38,255,141,12,148,134,14,143,94,0,95,156,12,168,143,11,155,25,43,72,1837,763,2596
UCL112008,78,101,180,48,42,92,34,139,170,34,289,321,138,908,1047,131,614,739,766,321,1091,569,332,899,579,307,889,558,169,732,320,109,431,318,95,420,560,123,685,329,30,357,230,32,260,123,10,124,268,71,343,341,23,371,128,268,396,5562,3977,9537
UCL112009,54,98,153,26,46,66,17,127,143,32,227,260,92,691,778,131,399,531,441,215,659,329,304,634,400,311,714,516,206,720,387,169,550,393,118,513,832,212,1047,627,30,655,454,36,494,288,5,299,513,55,564,335,32,364,76,173,250,5950,3444,9393
UCL112010,40,62,105,21,26,42,12,72,84,27,137,163,83,370,451,78,160,235,255,154,406,251,199,451,320,228,549,405,149,550,325,116,444,363,107,473,792,181,968,573,22,594,395,38,427,265,10,279,503,70,578,351,26,380,88,98,187,5147,2224,7379
UCL112011,34,66,99,13,19,35,20,63,85,37,162,198,89,411,498,128,232,356,422,136,559,322,196,513,387,206,598,443,139,579,391,100,487,339,54,397,794,98,893,553,10,567,392,12,406,205,5,210,352,5,356,342,27,363,72,92,166,5338,2038,7377
UCL112012,42,71,115,26,43,72,32,158,190,38,359,397,121,890,1015,184,638,820,511,388,898,519,413,934,566,445,1010,673,269,940,465,194,659,499,143,640,1018,188,1208,660,46,700,391,35,424,233,11,246,390,65,455,358,65,418,84,155,234,6806,4571,11377
UCL112013,6,9,18,0,0,6,3,4,7,3,18,21,8,25,34,12,15,31,40,16,54,37,25,65,28,30,57,46,16,64,38,7,44,37,13,46,93,19,114,69,3,73,49,0,53,26,0,26,72,0,76,62,0,62,7,6,18,649,209,861
UCL112014,50,99,148,28,38,63,24,81,108,24,176,205,113,471,589,128,380,508,472,188,665,394,225,615,486,193,682,506,146,649,331,124,449,359,70,431,798,132,928,585,20,602,439,29,468,255,0,257,510,43,548,354,25,383,75,116,187,5937,2553,8486
UCL112015,70,109,177,33,43,74,45,151,198,48,320,367,184,837,1017,217,583,796,746,310,1053,636,391,1025,708,365,1075,878,258,1137,537,186,728,590,132,724,1092,154,1243,748,27,774,491,30,520,265,10,272,472,68,536,488,42,528,131,237,359,8363,4260,12624
UCL112016,59,147,210,33,63,98,39,154,196,70,335,402,156,847,1001,202,514,720,565,334,906,545,434,984,599,480,1078,730,341,1072,599,293,890,608,242,855,1334,405,1744,1086,61,1153,860,97,959,578,19,594,1244,191,1434,599,87,693,131,233,363,10053,5287,15336
UCL112017,112,223,330,60,74,132,57,214,270,60,511,570,256,1285,1545,245,1082,1325,1127,559,1687,955,675,1636,1093,617,1707,1271,397,1667,753,296,1047,790,258,1051,1534,335,1868,1114,75,1197,835,80,916,499,22,523,1254,142,1391,676,80,753,138,346,492,12825,7276,20109
UCL112018,86,133,216,29,66,100,42,183,220,63,350,409,194,827,1025,210,582,796,656,372,1026,589,490,1085,718,491,1207,818,327,1149,569,230,797,637,195,832,1252,282,1538,808,58,867,556,54,617,265,20,285,632,122,750,506,74,580,133,291,423,8770,5142,13916
UCL112019,97,145,243,38,75,113,62,228,285,74,407,481,247,1035,1281,301,662,960,701,536,1237,646,657,1303,879,683,1566,1069,493,1559,746,405,1154,893,317,1202,1715,459,2174,1246,85,1326,1014,94,1107,608,28,639,1314,143,1461,837,92,926,158,323,481,12635,6868,19504
UCL113001,39,89,134,28,55,79,21,107,127,20,252,268,105,680,790,101,491,589,444,276,722,392,341,734,456,237,693,461,172,633,309,129,439,314,112,418,613,125,737,400,30,433,273,40,312,165,13,174,348,41,391,252,39,296,85,219,306,4822,3453,8276
UCL113002,39,53,96,23,26,46,14,79,100,17,156,170,84,422,503,93,249,346,350,182,533,277,184,459,314,174,488,397,140,537,214,81,297,191,72,265,360,88,450,199,17,216,129,29,161,78,9,83,135,45,181,192,12,207,63,111,180,3181,2135,5315
UCL113003,52,86,143,15,33,53,21,120,145,35,217,251,113,701,813,118,330,452,389,199,587,332,242,575,360,227,580,374,175,540,217,142,357,250,119,366,485,186,670,383,23,407,289,40,333,196,12,208,318,75,393,362,21,379,91,171,263,4398,3120,7518
UCL113004,29,58,79,5,19,26,13,32,39,10,77,86,44,179,224,53,170,225,90,107,193,93,134,226,115,141,254,156,101,261,117,93,206,145,73,216,287,147,436,217,69,285,154,69,225,114,30,144,390,174,567,189,100,292,17,78,98,2224,1849,4074
UCL113005,36,77,112,17,22,45,18,93,114,41,219,267,100,570,663,120,402,523,425,198,622,365,222,586,463,208,672,431,130,559,289,124,406,283,68,352,519,104,620,310,15,326,193,17,209,109,11,114,193,37,229,274,25,307,68,146,213,4255,2690,6945
UCL113006,19,39,59,10,16,28,10,65,72,26,120,141,72,345,416,97,175,275,282,95,380,221,138,361,235,99,335,270,45,318,157,45,204,156,21,179,260,35,299,148,3,154,103,4,106,41,0,41,85,10,92,162,13,180,61,84,145,2426,1353,3781
UCL113007,43,45,88,15,18,34,16,49,61,22,60,85,57,273,330,60,168,230,227,117,343,211,151,358,290,151,440,346,84,425,215,88,305,236,61,298,520,107,629,396,13,410,338,24,367,225,16,239,710,41,751,240,26,263,32,38,67,4199,1523,5722
UCL113008,24,67,86,17,39,55,19,99,116,26,185,209,94,509,603,74,227,304,292,131,425,242,173,418,236,157,390,266,99,364,156,105,262,154,58,207,305,103,403,212,6,222,149,20,170,90,0,88,224,42,266,162,10,179,48,122,170,2796,2149,4937
UCL113009,20,19,40,12,0,14,10,10,19,13,24,38,28,92,116,42,52,93,100,24,122,124,61,184,178,58,230,173,52,226,179,39,222,187,35,220,414,40,449,334,10,342,288,9,294,170,3,169,312,3,316,202,0,209,33,12,47,2806,541,3348
UCL113010,20,54,73,11,18,27,11,50,59,12,99,114,41,246,285,62,158,222,188,102,283,168,131,295,164,106,268,206,80,282,181,71,253,159,68,227,449,137,583,314,25,341,272,30,303,130,7,142,377,70,442,184,24,209,31,72,107,2976,1534,4508
UCL113011,31,48,79,10,14,23,16,39,56,21,101,118,66,214,279,80,130,213,189,88,276,160,118,278,174,136,310,175,70,251,154,89,242,159,76,230,347,148,492,256,11,265,235,39,272,120,4,126,332,58,390,215,15,230,45,82,129,2785,1481,4259
UCL113012,67,84,151,25,27,48,22,63,80,17,134,147,83,344,427,83,268,346,320,176,500,299,159,457,340,188,521,367,121,483,253,92,342,254,70,315,531,107,633,321,19,336,234,16,247,151,9,154,425,59,487,283,18,298,54,90,145,4097,2032,6133
UCL113013,38,34,73,10,17,28,15,51,67,28,120,147,74,358,431,92,212,307,313,103,421,247,158,408,319,213,535,375,112,486,260,84,346,235,58,291,462,85,551,331,8,340,195,10,208,118,3,122,184,15,198,251,29,276,56,91,151,3615,1756,5367
UCL113014,32,54,87,11,19,31,19,58,74,18,102,120,66,259,322,76,156,226,198,84,285,152,121,277,190,136,324,247,97,341,177,96,267,204,77,278,508,165,670,399,13,409,347,49,398,231,8,238,559,74,636,273,23,291,36,69,101,3729,1650,5382
UCL113015,53,61,112,13,24,36,26,26,50,22,119,137,72,367,438,101,187,283,399,123,523,277,122,398,288,100,390,319,68,389,218,43,264,197,50,252,326,60,392,214,7,226,115,9,125,74,3,75,131,21,152,196,12,210,53,82,132,3091,1484,4575
UCL113016,42,74,117,25,38,57,31,117,147,40,259,301,126,672,798,147,413,557,555,205,767,414,213,631,461,201,660,470,112,585,257,98,355,290,56,345,505,61,560,295,19,306,176,21,195,100,7,110,151,48,193,261,25,286,113,185,301,4456,2824,7273
UCL113017,55,69,118,29,35,59,24,73,94,17,140,165,120,449,575,114,334,448,425,185,615,327,176,504,415,140,556,422,97,519,267,63,335,247,61,314,490,79,573,304,16,319,185,17,208,104,9,105,231,65,289,222,21,245,60,109,168,4061,2141,6199
UCL113018,6,21,25,3,5,5,4,14,18,0,12,17,17,75,91,22,39,58,68,33,95,47,23,72,48,26,80,46,22,69,44,12,51,41,8,47,90,12,98,55,0,56,38,3,43,15,0,19,29,5,32,39,0,39,18,25,41,637,336,973
UCL114001,3,26,29,9,9,19,3,19,22,3,40,44,28,189,216,26,138,165,117,85,202,108,63,176,131,58,194,168,38,206,103,30,135,102,19,122,209,37,248,114,0,115,69,4,77,39,0,42,94,6,96,69,6,69,20,29,51,1419,808,2222
UCL114002,30,40,77,20,26,39,12,48,66,15,107,115,69,406,478,73,278,348,388,125,510,262,139,398,264,103,368,287,57,340,130,44,176,127,15,150,186,36,222,126,3,128,79,11,87,38,3,46,69,13,86,121,4,130,33,94,123,2333,1556,3888
UCL114003,19,35,54,22,18,34,6,42,49,23,116,145,67,382,450,99,245,338,282,116,398,245,136,382,272,140,408,255,75,329,188,58,248,172,32,203,277,37,316,149,3,161,84,4,84,50,0,50,58,12,72,136,11,145,41,111,154,2445,1573,4015
UCL114004,14,29,46,4,14,16,7,31,36,11,61,70,39,182,215,32,114,143,141,94,230,93,101,194,125,85,208,123,58,187,84,62,145,95,45,137,227,88,313,141,0,144,117,24,143,80,4,84,147,49,202,104,10,115,40,51,89,1614,1111,2732
UCL114005,21,35,56,5,12,19,11,47,57,16,85,101,33,257,296,55,115,168,207,80,288,134,92,228,155,67,217,146,28,181,105,25,130,81,13,98,149,26,173,97,7,103,74,12,86,41,0,41,64,15,81,89,9,95,30,48,78,1521,972,2490
