UCL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL101001,16511,389254,405759,439622,77551,517171,268589,26604,295192,275853,16277,292134,117470,7274,124745,69232,3999,73235,1187279,520966,1708243
UCL102001,215,4615,4826,3886,617,4503,2260,156,2419,2112,96,2205,830,51,872,363,24,385,9652,5557,15207
UCL102002,1559,35430,36992,38572,5993,44565,17897,1365,19263,17407,844,18253,7320,366,7686,3537,192,3724,86299,44182,130483
UCL102003,369,8279,8655,8487,1782,10269,3181,396,3579,2939,180,3119,1230,77,1305,562,25,594,16773,10742,27520
UCL102004,2031,37307,39341,41444,6628,48072,19141,2204,21334,18793,994,19790,7200,394,7601,2946,197,3136,91561,47717,139277
UCL102005,1210,27395,28614,31905,4662,36569,15659,1473,17131,15708,880,16582,6463,335,6800,2946,180,3122,73895,34926,108813
UCL111001,323,7194,7518,6474,1131,7600,2763,335,3102,2538,163,2702,1093,62,1149,488,43,529,13680,8924,22604
UCL111002,285,6327,6615,6318,1171,7488,2681,296,2972,2199,150,2350,1037,59,1102,608,45,646,13125,8042,21168
UCL111003,512,7637,8146,10016,1189,11202,5389,329,5719,5188,202,5390,2227,94,2316,1059,45,1099,24391,9489,33886
UCL112001,112,2879,2997,2295,468,2760,958,164,1116,817,79,895,338,25,366,240,13,253,4761,3637,8391
UCL112002,231,4033,4268,4050,673,4726,1842,202,2042,1749,82,1830,791,60,850,394,21,413,9061,5066,14124
UCL112003,169,4118,4287,4131,679,4809,1601,113,1712,1388,77,1468,533,34,565,267,11,275,8078,5033,13114
UCL112004,112,2756,2867,3480,392,3868,1139,76,1219,1153,62,1215,492,30,525,219,16,236,6591,3339,9926
UCL112005,125,2385,2514,2418,393,2813,1232,98,1333,1051,58,1104,496,28,526,272,18,288,5601,2974,8585
UCL112006,222,4241,4461,4041,835,4871,2039,299,2343,1848,179,2025,887,102,993,483,53,540,9525,5709,15231
UCL112007,33,708,742,995,117,1115,301,20,324,295,14,309,165,4,169,46,3,52,1837,869,2704
UCL112008,121,3510,3627,3427,598,4028,901,98,1002,686,50,732,285,19,303,137,6,142,5562,4284,9845
UCL112009,129,3167,3295,2809,440,3250,1180,109,1291,1083,73,1156,499,29,526,250,21,270,5950,3843,9790
UCL112010,82,1991,2073,2055,364,2417,1091,120,1216,1074,74,1146,531,41,568,314,30,346,5147,2617,7762
UCL112011,112,1837,1946,2178,296,2475,1243,80,1321,1050,52,1098,473,28,505,280,9,287,5338,2301,7639
UCL112012,158,4018,4172,3190,681,3874,1466,209,1673,1165,90,1248,508,52,561,325,28,352,6806,5076,11878
UCL112013,20,188,204,281,40,319,123,15,141,150,11,156,63,9,65,19,4,20,649,265,909
UCL112014,106,2223,2320,2815,409,3227,1215,78,1296,1031,36,1068,483,21,502,281,10,293,5937,2776,8713
UCL112015,188,3850,4036,3868,639,4509,1749,189,1938,1473,139,1609,694,79,767,394,42,435,8363,4933,13298
UCL112016,198,4726,4926,4357,759,5117,2089,238,2326,1960,102,2065,986,68,1056,461,35,494,10053,5928,15986
UCL112017,264,6326,6590,6829,1073,7899,2319,268,2584,2113,117,2236,893,42,938,406,29,435,12825,7862,20683
UCL112018,201,4727,4927,4050,793,4838,1884,231,2114,1502,159,1662,702,91,790,432,49,479,8770,6045,14815
