UCL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
UCL101001,886617,2795520,71820,168339,154614,417248,226434,585590,92495,182892,161516,325567,195104,406240,125875,261476,8242,21265,583229,1197432,407,595,506,731,176,226,6865,14816,7950,16370,4014,8307,1708243,4603224,143964,..,1852206,4603224
UCL102001,9147,25765,1663,3119,1527,3084,3193,6201,1124,1768,593,1015,983,1715,83,131,23,56,2804,4685,3,9,0,0,7,10,25,53,39,69,27,50,15207,36774,1059,..,16267,36774
UCL102002,100044,265798,10171,16846,6501,12961,16673,29812,6968,11810,1634,2879,2679,4758,641,1159,414,865,12344,21462,425,625,552,861,18,20,156,311,1150,1820,270,471,130483,319363,13450,..,143935,319363
UCL102003,15166,40027,4049,7566,2643,5623,6693,13187,1653,2780,1567,2785,666,1151,654,1119,50,86,4585,7919,268,483,523,767,138,142,17,38,946,1433,119,211,27520,62767,2749,..,30267,62767
UCL102004,106020,278748,9374,15923,9089,18544,18464,34469,5984,9077,2900,4691,2781,4628,1736,2842,476,958,13879,22197,152,247,160,205,27,37,339,645,676,1131,239,395,139277,336941,9573,..,148851,336941
UCL102005,76310,212639,6054,10989,8320,17944,14375,28932,6888,11878,3322,5613,4162,7538,2168,4118,387,901,16928,30042,372,531,258,379,7,8,358,724,997,1638,206,395,108813,273655,6576,..,115386,273655
UCL111001,17869,44671,3737,5854,491,755,4230,6607,241,331,84,133,35,48,0,0,3,12,357,526,45,69,32,42,8,7,22,46,106,164,42,86,22604,52051,1889,..,24495,52051
UCL111002,14073,36997,1944,3400,1360,2864,3303,6260,2374,4139,401,696,289,466,117,183,47,83,3228,5564,126,219,262,374,55,55,22,42,464,688,96,168,21168,49682,1756,..,22919,49682
UCL111003,29419,80606,2743,4780,625,1040,3365,5817,707,992,12,16,30,57,0,3,80,169,826,1230,164,199,10,10,7,3,49,79,226,296,51,94,33886,88055,1687,..,35571,88055
UCL112001,6591,16016,1007,1691,175,295,1176,1988,450,723,60,107,0,0,0,3,9,16,513,845,10,11,56,61,0,3,13,26,83,100,32,54,8391,18998,965,..,9357,18998
UCL112002,11493,29789,1345,2261,418,730,1765,2985,742,1112,9,8,0,0,0,0,16,32,769,1156,27,42,8,16,18,28,16,48,74,130,29,51,14124,34108,1141,..,15266,34108
UCL112003,11747,27350,316,494,251,430,576,925,444,654,180,267,16,28,0,0,65,147,705,1094,0,0,0,4,4,4,33,52,36,61,54,75,13114,29501,1942,..,15050,29501
UCL112004,8486,20867,680,1041,327,562,1006,1605,284,500,21,35,0,0,0,0,35,77,342,618,12,20,33,36,0,0,15,33,58,93,27,57,9926,23239,895,..,10825,23239
UCL112005,7268,18935,950,1589,126,201,1075,1784,136,190,0,5,0,0,0,0,17,38,159,232,31,42,0,3,9,8,17,24,56,82,22,48,8585,21083,768,..,9347,21083
UCL112006,12237,32778,1456,2488,78,147,1531,2634,1241,1994,21,26,0,5,0,0,21,50,1282,2076,63,120,8,7,0,0,33,72,103,200,73,108,15231,37800,994,..,16221,37800
UCL112007,2288,5663,314,498,17,23,325,523,12,17,0,0,0,0,0,0,0,0,12,17,15,27,48,69,0,0,3,5,67,98,7,24,2704,6324,350,..,3049,6324
UCL112008,5883,13664,1486,2486,245,446,1735,2933,954,1421,428,647,413,691,100,183,4,15,1903,2956,120,201,97,127,0,11,51,97,271,434,45,79,9845,20067,2223,..,12067,20067
UCL112009,8153,20024,930,1525,186,328,1112,1854,309,449,67,93,0,0,0,0,20,32,396,578,28,38,30,30,0,0,47,74,100,146,29,43,9790,22639,868,..,10656,22639
UCL112010,6141,17001,375,744,76,101,450,847,954,2069,27,73,0,0,0,0,10,29,993,2161,49,80,37,47,8,4,52,128,148,256,27,76,7762,20345,594,..,8361,20345
UCL112011,6902,18457,423,737,139,222,557,956,123,167,0,0,0,0,0,0,29,72,156,235,0,0,0,0,5,14,7,5,10,24,15,22,7639,19700,374,..,8013,19700
UCL112012,8997,22513,1240,1869,555,984,1788,2854,714,1173,84,130,0,0,0,0,11,16,809,1317,60,74,170,206,4,4,17,31,253,317,40,57,11878,27056,777,..,12662,27056
UCL112013,814,2220,48,77,0,5,58,82,20,28,0,0,0,0,0,0,0,0,20,28,3,13,7,9,5,8,0,0,17,30,4,6,909,2365,102,..,1014,2365
UCL112014,7718,19657,579,866,175,415,757,1277,146,258,13,14,23,43,0,0,23,56,210,376,0,9,10,11,0,0,0,0,17,22,17,26,8713,21362,845,..,9554,21362
UCL112015,11123,28429,1267,2132,294,495,1562,2627,366,574,23,35,0,0,0,0,33,62,427,673,7,4,83,114,43,38,8,7,134,174,46,52,13298,31955,833,..,14131,31955
UCL112016,13478,34922,1505,2366,234,398,1733,2764,575,851,62,103,0,0,0,0,16,30,648,982,30,40,3,5,0,0,30,62,65,102,51,120,15986,38898,1414,..,17402,38898
UCL112017,13475,34440,2718,4568,1014,2054,3740,6620,1401,2179,628,1030,1032,1643,155,273,11,25,3231,5145,72,136,59,79,6,9,24,46,159,273,81,144,20683,46625,1986,..,22674,46625
UCL112018,11932,30114,1866,2901,395,673,2264,3579,357,593,29,46,18,40,0,0,9,23,412,700,43,61,58,85,0,0,8,20,102,162,95,151,14815,34709,1300,..,16118,34709
UCL112019,16639,42866,874,1346,230,389,1106,1732,2139,3308,120,161,53,61,0,3,21,43,2334,3574,7,8,20,33,12,17,68,163,104,219,57,83,20245,48477,1568,..,21807,48477
UCL113001,4781,11292,1403,2577,1182,2205,2580,4784,437,686,154,275,88,150,18,27,11,26,706,1154,152,192,328,431,5,8,23,36,505,672,60,82,8635,17978,652,..,9288,17978
UCL113002,3909,9266,390,611,346,620,735,1231,724,1128,26,28,31,39,0,0,12,17,788,1214,66,108,52,73,0,0,6,18,125,196,27,44,5584,11951,1655,..,7244,11951
UCL113003,7428,16273,187,263,23,48,206,308,226,287,0,0,0,0,0,0,0,0,226,289,63,121,3,4,0,0,5,7,69,128,31,45,7965,17049,1522,..,9484,17049
UCL113004,2544,6614,368,764,744,1645,1115,2407,298,545,48,95,0,0,0,0,39,84,387,724,99,133,63,98,25,34,30,40,219,307,47,92,4314,10144,1189,..,5505,10144
UCL113005,5815,14340,328,471,276,498,601,969,652,964,17,20,17,28,0,0,3,4,687,1017,43,52,43,51,13,9,63,148,157,273,25,47,7290,16642,542,..,7834,16642
UCL113006,3525,9111,43,83,55,99,98,187,332,476,9,15,0,0,0,0,0,4,345,497,41,51,28,47,3,4,10,22,76,119,16,33,4068,9945,329,..,4397,9945
UCL113007,4131,11140,258,480,728,1467,984,1951,214,371,152,276,325,477,0,0,24,49,710,1173,11,19,9,23,0,0,26,52,54,99,10,16,5888,14382,878,..,6768,14382
UCL113008,4297,9629,549,812,94,148,638,959,131,176,14,14,0,0,0,0,3,12,147,208,0,0,5,12,3,3,20,42,32,59,14,23,5130,10875,599,..,5729,10875
UCL113009,3305,9662,68,118,15,32,82,150,0,0,0,0,0,0,0,0,9,18,9,18,0,0,0,0,0,0,0,0,0,0,0,0,3402,9830,174,..,3573,9830
UCL113010,3898,10055,597,979,21,42,616,1021,44,59,10,12,0,0,0,0,0,0,53,72,35,44,80,131,0,0,14,26,133,204,13,29,4706,11380,629,..,5341,11380
UCL113011,3822,9787,419,637,162,239,584,874,22,32,13,27,0,0,0,0,0,0,33,63,24,23,0,0,0,0,3,5,22,28,11,19,4469,10768,526,..,5000,10768
UCL113012,3909,9760,599,999,978,2078,1583,3079,211,329,152,222,371,647,0,0,5,25,743,1222,14,20,8,14,0,0,4,9,21,45,19,35,6279,14141,2601,..,8875,14141
UCL113013,4499,11930,649,1073,216,356,865,1427,38,58,0,0,0,0,0,0,19,36,60,97,17,27,145,247,13,11,10,26,190,307,8,15,5618,13775,311,..,5927,13775
