UCL_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
UCL101001,394,1646,243,296,86,16,2683,94,3578,446,160,66,27,4367,766,20385,1945,1189,453,152,24891,1521,9924,3600,2142,505,118,17807,1962,4374,1405,2383,422,63,10613,6989,4736,1933,3426,1799,102,18985,30090,3693,1878,6853,1546,160,44220,104142,3790,1906,14551,2662,341,127397,114165,1477,689,13793,2131,235,132486,79807,398,239,8580,1099,126,90251,44700,139,99,5171,517,74,50696,23503,85,53,3161,286,37,27125,13031,31,18,1854,119,16,15064,24298,26,18,4058,259,41,28698,7700,3452,795,5417,1599,1415,20382,453150,57741,15259,73034,13540,2928,615655
UCL102001,0,13,3,4,0,0,20,0,32,5,4,3,0,39,16,158,13,22,10,5,219,50,100,55,50,3,0,265,143,44,30,65,15,0,293,424,56,29,91,69,5,672,581,50,16,132,106,0,892,708,53,9,222,112,3,1107,595,26,0,154,32,0,808,250,5,0,69,8,0,330,118,0,0,20,4,0,149,34,0,0,12,3,0,53,11,0,0,3,0,0,11,15,0,0,4,3,0,17,41,28,7,40,32,14,160,2986,564,166,884,402,32,5032
UCL102002,22,90,16,32,14,5,177,7,182,17,14,9,0,237,41,1309,109,105,72,10,1640,147,545,324,218,216,17,1462,246,237,141,286,85,16,1015,756,287,178,423,113,13,1762,3057,219,120,1019,113,18,4549,9634,228,99,1657,157,21,11795,6201,36,20,842,46,18,7160,2309,10,7,305,16,5,2641,858,3,5,110,12,0,981,339,0,0,65,6,3,418,156,0,0,30,0,0,179,174,0,0,36,16,0,221,415,209,77,240,105,104,1159,24354,3357,1118,5380,978,225,35408
UCL102003,4,19,3,3,4,0,33,0,26,4,0,4,0,37,9,289,22,27,14,4,365,10,94,39,57,69,0,270,19,53,16,79,21,5,190,69,64,27,103,72,3,339,347,35,25,216,48,6,678,1122,32,31,408,142,6,1741,891,13,12,293,74,3,1285,570,7,0,121,21,7,724,320,0,0,65,10,3,400,143,0,0,34,7,0,181,76,0,0,13,4,0,91,98,0,0,42,12,0,155,75,34,24,79,47,17,275,3753,673,199,1534,542,51,6757
UCL102004,20,169,22,39,10,0,260,12,305,34,19,6,9,381,85,2426,147,216,51,17,2929,327,1032,362,348,94,17,2178,401,377,120,372,60,7,1336,1017,473,168,558,134,10,2365,2901,466,139,1143,138,18,4809,8883,289,107,2039,171,23,11513,6884,49,29,1061,85,12,8121,2840,10,13,377,18,5,3262,980,5,0,124,9,3,1123,368,0,0,70,9,0,448,157,5,0,29,9,0,194,197,6,0,73,17,3,288,406,356,75,343,127,82,1383,25464,5966,1231,6807,928,197,40590
UCL102005,27,196,19,25,7,0,275,5,348,14,20,4,0,383,52,2588,97,112,57,14,2920,157,1113,169,206,59,14,1711,236,525,77,261,29,0,1130,732,533,97,374,38,13,1790,2484,350,100,678,68,14,3699,5692,505,72,1118,93,19,7494,5338,168,23,846,60,9,6450,2920,37,8,344,32,4,3336,946,6,4,127,9,0,1087,334,6,0,38,4,0,385,146,0,0,21,5,0,169,127,3,0,48,6,0,183,275,370,44,239,81,60,1066,19470,6737,727,4446,542,165,32080
UCL111001,13,15,5,5,0,0,39,10,59,13,9,4,0,85,100,254,31,67,15,8,468,764,141,74,124,11,11,1126,483,46,15,127,16,4,682,976,84,19,192,42,6,1324,1470,37,8,229,24,13,1771,1156,11,11,144,12,0,1337,273,0,3,34,6,0,320,66,3,0,5,7,0,73,18,0,0,6,0,0,27,4,0,0,4,0,0,8,0,0,0,0,0,0,7,5,0,0,12,0,0,17,103,51,13,60,41,15,279,5438,705,188,1013,170,55,7568
UCL111002,6,4,4,3,0,0,24,0,14,6,0,0,0,26,10,75,33,28,19,0,170,27,231,143,43,20,5,465,33,71,38,67,25,3,229,258,101,65,119,28,5,580,831,86,32,228,29,9,1212,1460,90,39,355,31,7,1980,949,22,14,174,28,0,1184,335,6,0,56,8,0,411,117,4,0,11,7,0,138,20,0,0,9,0,0,36,8,0,0,4,0,0,15,10,0,0,14,9,0,33,72,53,29,51,42,21,281,4140,756,406,1168,250,56,6780
UCL111003,4,10,3,8,0,0,29,0,12,5,7,8,0,29,21,116,36,28,21,5,230,85,281,148,59,27,5,600,104,111,44,87,14,0,363,304,167,72,128,241,7,922,1057,192,95,329,60,0,1731,3018,146,46,422,36,11,3677,1605,14,9,105,20,0,1749,285,4,0,24,3,0,323,43,0,0,3,0,0,52,11,0,0,3,0,0,17,0,0,0,0,0,0,6,7,0,0,5,0,0,15,109,76,28,68,48,20,353,6647,1132,496,1285,476,46,10088
UCL112001,3,3,5,4,0,0,15,3,18,0,0,8,0,33,23,35,17,13,10,0,101,124,85,62,40,10,8,318,176,30,39,50,4,0,300,426,66,34,74,12,0,608,606,49,23,100,15,0,795,682,13,8,97,14,0,816,139,0,0,17,4,0,162,22,0,0,9,3,0,29,0,0,5,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,10,11,20,10,3,81,2240,310,202,428,89,14,3279
