UCL_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
UCL101001,96178,70425,45498,24424,8990,2851,357361,14171,49406,47348,38549,27418,15405,5255,1240,198793,8531,24691,18192,11626,6520,3237,1426,525,74750,6907,15233,13871,10904,6425,3717,1540,388,58984,402,337,231,250,336,307,252,281,2397,1341,4415,5134,4313,2760,1810,782,345,20904,15488,27509,23002,16553,13815,12553,12067,11823,132809,94995,321466,300802,225620,161709,102125,48731,23603,1279060,7233,20604,18539,15764,13018,8607,4068,1029,88866,11885,37581,51745,23743,11172,3665,617,43,140469,11821,59584,58615,51014,51885,35522,19516,6395,294349,10661,28694,24326,21239,15001,9018,4790,1545,115272,1674,5336,5064,4572,3717,2043,931,273,23616,15407,59264,44359,35271,29606,19906,9690,3570,217084,6854,34422,30475,28646,25730,22950,10450,3025,162553,35281,159662,170618,123450,81416,46584,17774,5007,639786,20895,75643,70058,58964,43188,26719,10036,2434,307926,13832,40193,30288,18781,10848,5665,2334,766,122720,10399,25271,23992,17464,10496,5885,2600,616,96712,865,751,478,442,565,521,399,386,4408,2469,8136,9362,8038,5669,3642,1679,682,39677,34391,58966,49648,35881,29409,24542,21814,18026,272672,183661,614105,587561,443266
UCL102001,579,622,391,153,51,14,2509,119,455,462,374,300,115,41,3,1861,30,120,98,71,35,9,0,4,372,65,162,143,100,59,18,8,4,573,0,5,0,5,0,0,0,0,7,4,46,53,33,18,7,5,0,162,105,187,135,119,112,96,75,45,873,650,2427,2139,1932,1360,643,275,89,9510,27,144,140,133,115,51,21,3,634,86,402,289,169,101,37,6,0,1092,112,569,481,482,429,243,84,39,2435,124,283,194,189,198,116,47,24,1175,18,68,68,67,58,36,8,7,324,88,392,285,318,209,131,52,19,1500,68,295,255,240,202,113,55,12,1241,180,910,931,978,625,263,91,19,3997,169,655,711,645,505,226,81,5,3002,68,200,172,121,71,21,12,8,672,103,262,224,164,107,41,17,6,915,0,4,0,4,0,4,0,0,12,9,80,108,72,54,23,6,4,359,222,442,325,260,265,190,126,71,1902,1277,4711,4184,3851
UCL102002,4223,4056,3516,2440,1036,264,19550,1044,2662,2871,2930,2461,1381,455,85,13891,403,830,865,617,406,271,137,35,3563,643,1361,1260,1118,840,577,249,70,6123,26,23,7,13,25,18,7,4,112,48,119,174,197,158,108,42,17,866,979,1191,1252,1113,1170,1548,1885,1730,10859,5742,14521,16310,15398,13680,10444,5510,2672,84291,169,491,600,636,509,497,228,42,3175,237,671,1036,777,505,267,60,6,3545,697,2620,2975,3586,4304,3723,2414,693,21005,921,2162,2322,2148,1881,1378,755,216,11788,226,606,635,594,466,250,134,29,2942,1048,3397,3448,3253,3269,2252,995,293,17963,556,2349,2540,2327,2261,2522,958,243,13758,1427,4628,6469,6317,5468,4107,1888,442,30740,1382,3643,3966,4061,3389,2162,848,151,19602,692,1402,1405,1011,662,482,235,55,5956,926,2010,1910,1758,1272,888,433,97,9292,51,41,18,15,27,25,15,8,203,127,267,407,451,346,252,150,45,2044,2060,2506,2527,2458,2351,2753,3140,2543,20330,10514,26797,30255,29392
UCL102003,671,694,699,544,258,80,3605,136,370,480,548,542,349,94,20,2538,74,165,189,128,69,51,25,8,710,142,283,265,242,182,160,63,26,1361,7,0,0,0,0,6,5,0,24,5,25,22,35,32,20,11,7,160,195,284,296,290,294,357,487,424,2619,963,2563,3073,3002,3022,2472,1372,724,17197,25,76,94,90,93,85,32,8,514,33,84,113,86,80,63,10,4,470,151,470,523,538,737,827,571,185,4008,119,437,447,518,441,362,233,64,2627,37,69,112,116,101,62,27,11,536,165,639,740,699,771,576,265,88,3950,66,366,515,518,583,585,269,72,2968,262,730,1040,1043,1079,899,400,135,5589,193,515,663,758,741,543,167,44,3633,111,242,302,191,114,79,47,12,1103,200,406,437,387,301,271,106,38,2148,9,6,3,0,3,10,8,0,40,22,48,61,67,68,54,26,11,361,415,605,628,601,598,670,851,681,5052,1801,4708,5691,5621
UCL102004,4577,4203,3277,2100,747,218,20497,1338,3258,3140,2893,2309,1318,439,89,14786,503,1246,993,623,391,257,127,46,4188,806,1405,1110,1048,659,417,148,49,5639,31,14,13,22,14,14,11,6,117,76,154,227,217,165,109,57,21,1010,1149,1253,1128,1009,965,1217,1483,1330,9522,7381,19402,18533,16437,13666,9867,4903,2300,92493,294,1089,971,838,676,616,268,48,4816,269,923,1072,667,416,208,60,3,3618,1239,5017,4937,4933,5409,4661,2547,809,29548,1034,2462,2088,1882,1622,1150,604,192,11034,200,584,606,597,398,230,107,23,2753,1396,5617,4649,4145,3769,2426,1042,324,23358,683,2824,3146,2834,2864,2957,1222,335,16864,1968,6308,7302,6679,5223,3470,1362,340,32655,1785,4640,4399,4128,3271,2120,755,173,21267,907,1955,1592,980,653,397,183,60,6725,1129,2117,1778,1575,1023,643,282,80,8633,57,29,18,30,26,19,9,3,187,168,333,421,472,358,234,122,43,2151,2438,2723,2438,2255,2129,2337,2509,1981,18808,13564,36629,35415,32008
UCL102005,3666,3471,2678,1542,533,141,16387,1222,2833,2702,2486,2069,1056,312,59,12743,458,867,678,519,328,194,98,21,3165,722,1192,1044,855,543,299,136,20,4819,25,16,8,13,16,11,11,21,119,58,147,154,153,117,63,39,17,758,964,1038,956,854,819,887,1069,958,7538,6388,15279,14282,12845,10705,6971,3278,1571,71325,350,903,675,642,529,410,195,27,3733,334,983,1028,604,413,187,29,0,3575,1116,4160,3652,4183,4813,3747,1896,567,24134,983,2052,1719,1571,1225,774,476,164,8971,177,460,432,428,275,166,55,10,2001,1114,3628,2920,2498,2315,1457,549,163,14642,527,2520,2377,2123,2107,1965,683,193,12498,1743,4977,5579,5239,4094,2545,877,211,25262,1668,3966,3798,3430,2819,1569,507,116,17873,763,1429,1112,811,517,306,128,29,5096,1023,1690,1554,1298,817,481,257,35,7156,44,22,20,17,22,23,27,29,203,130,320,345,356,277,174,93,38,1737,2046,2201,2002,1856,1688,1668,1959,1512,14936,12019,29310,27222,25061
UCL111001,617,606,481,270,87,32,2858,152,449,455,471,375,235,66,3,2207,39,84,99,68,62,44,29,6,429,137,304,230,172,112,79,37,19,1089,18,7,0,3,6,0,0,0,32,8,36,31,28,14,13,7,0,129,227,249,219,176,208,200,234,141,1660,1084,2936,2715,2350,2081,1507,748,276,13706,19,79,86,87,79,54,25,4,433,34,171,132,73,84,29,5,0,529,200,719,564,556,604,458,251,79,3427,150,380,254,214,227,171,74,33,1496,40,132,135,139,92,87,47,18,686,246,779,663,492,483,423,175,54,3317,100,486,514,417,427,390,175,36,2544,247,947,1019,963,761,486,168,54,4642,207,626,638,642,483,329,98,10,3039,68,141,154,106,89,63,35,6,663,183,487,361,270,179,118,55,25,1691,23,14,8,3,5,3,0,0,61,23,73,75,66,39,38,22,0,330,494,536,471,414,426,382,380,221,3324,2026,5566,5082,4442
UCL111002,519,636,542,427,170,39,2953,115,363,469,454,395,268,81,21,2167,26,95,97,84,69,61,14,11,449,126,236,213,177,135,86,35,11,1012,3,4,0,6,0,0,3,0,23,13,17,29,27,18,27,0,3,132,199,271,266,234,228,259,340,302,2095,885,2280,2487,2500,2300,1894,1005,479,13834,28,78,83,93,82,98,34,13,517,25,103,108,64,66,47,15,0,436,127,397,380,438,550,553,347,98,2887,95,230,252,260,293,218,131,49,1526,24,117,134,142,111,66,27,7,634,189,608,574,629,580,440,203,56,3274,80,334,430,394,424,503,255,56,2477,214,683,816,933,850,671,267,70,4494,149,506,645,671,547,436,135,36,3125,53,154,169,124,111,90,23,10,731,165,375,344,303,210,139,65,15,1617,4,12,3,6,4,6,3,0,34,20,48,55,60,53,54,23,4,321,438,556,541,504,446,478,577,471,4012,1619,4201,4526,4622
UCL111003,1297,1058,785,366,145,38,5293,355,916,825,672,510,228,71,10,3595,91,212,136,91,49,44,17,4,645,247,567,380,289,137,80,21,6,1728,9,7,6,0,0,3,0,0,30,14,41,40,38,30,23,10,4,185,241,348,305,208,221,244,284,175,2031,1842,5166,4656,3697,2896,1786,846,317,21208,39,162,174,133,101,101,33,9,753,61,230,224,101,84,47,3,0,762,428,1713,1568,1372,1335,974,478,86,7949,234,514,397,308,296,223,113,36,2118,63,159,174,131,94,65,27,8,709,288,1106,958,801,725,467,189,44,4590,176,704,694,621,502,451,176,51,3379,502,1724,1880,1589,1150,627,249,56,7774,459,1218,1106,904,657,347,116,20,4824,155,318,229,150,83,62,26,6,1016,329,786,600,432,225,131,57,16,2575,16,15,7,4,4,3,0,0,49,27,98,107,103,77,45,24,7,482,481,716,653,483,459,433,471,267,3971,3261,9455,8762,7146
UCL112001,167,197,157,98,60,10,956,69,227,188,180,166,123,66,17,1043,19,32,40,40,28,20,7,6,195,60,61,47,36,21,10,9,0,247,4,7,0,0,0,0,0,0,7,3,9,15,14,8,9,5,3,76,466,178,127,79,91,94,120,91,1255,879,1287,1033,879,852,647,454,187,6211,49,141,122,87,92,63,44,18,610,22,76,82,31,30,8,3,0,247,60,177,111,124,122,108,72,21,790,40,107,72,76,85,49,32,16,474,65,144,137,81,74,35,28,13,573,97,331,201,150,185,140,96,30,1233,38,178,199,172,220,210,102,24,1143,120,351,273,291,235,149,106,17,1540,115,333,301,300,295,225,110,31,1708,24,66,60,68,45,38,10,13,335,86,115,112,68,35,25,10,5,459,6,4,0,0,3,0,0,0,17,12,16,28,22,20,17,8,3,138,829,356,239,177,189,152,216,130,2294,1564,2396,1953,1650
