UCL_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
UCL101001,7161,41762,187205,210809,165664,105878,23007,1960,117,743562,22275,38801,57113,42568,34994,33401,18231,3931,341,251650,9936,16777,26115,20638,17559,16326,5670,812,79,113918,719,2668,7201,5286,3254,2151,656,177,44,22158,40091,100020,277631,279298,221468,157757,47561,6876,582,1131287,1741,5696,11304,8991,7768,6285,1028,47,3,42871,5342,5460,4348,1963,1738,2348,1032,147,10,22396,7089,11157,15658,10952,9506,8626,2061,193,17,65264,47177,111176,293286,290253,230982,166388,49620,7070,599,1196549,81490,40099,54488,44881,46893,70044,119997,83637,29825,571359,5839,9555,23857,19015,13695,11296,8564,7195,5150,104175,134508,160833,371633,354148,291570,247729,178179,97904,35578,1872081,3466,38591,160975,139718,120113,69139,11683,584,33,544298,26487,42180,72748,84343,70963,54310,18535,2296,149,372014,11528,16415,29634,23650,16460,14199,4399,504,43,116839,614,1988,5081,3431,2233,1530,490,148,58,15583,42093,99180,268439,251149,209774,139180,35104,3536,277,1048730,991,3315,7259,5886,4827,3072,299,17,0,25677,5174,4706,5581,4752,3688,3238,694,43,5,27881,6168,8023,12838,10636,8522,6307,994,57,10,53555
UCL102001,166,652,2074,1966,1933,1285,240,16,0,8324,361,306,396,251,234,290,144,25,6,2007,27,27,62,66,50,64,9,0,0,310,5,22,49,40,22,16,7,0,0,155,556,1001,2581,2322,2239,1651,404,38,6,10798,15,30,78,56,55,43,5,0,0,282,47,19,19,10,9,16,10,0,0,138,60,44,103,61,69,59,18,4,0,416,621,1047,2681,2386,2302,1710,423,44,6,11214,416,98,179,163,233,552,898,540,196,3276,35,60,199,130,102,117,67,39,24,774,1074,1207,3059,2672,2642,2373,1387,618,219,15258,85,507,1509,1324,1549,838,106,3,0,5918,438,342,691,738,572,481,128,12,3,3403,31,28,200,108,82,62,18,0,0,532,5,19,29,23,15,11,3,0,0,112,566,889,2434,2193,2221,1383,256,15,5,9970,11,27,42,38,23,19,3,0,0,167,39,21,42,28,26,12,9,0,0,170,50,47,86,62,49,31,12,0,0,341
UCL102002,1186,3027,9302,11171,11220,7940,1421,94,7,45373,2499,2237,2940,2665,2752,2913,1455,261,23,17747,748,829,1165,1037,1019,1061,384,45,4,6294,78,138,332,244,223,129,39,22,6,1227,4511,6235,13747,15121,15216,12038,3302,434,47,70637,246,413,610,426,507,446,47,0,0,2710,475,184,135,115,115,169,74,8,0,1278,719,603,747,545,617,619,127,9,0,3983,5231,6831,14491,15668,15837,12659,3424,435,45,74619,4166,1523,2104,2090,3001,5952,13067,9825,3065,44781,427,417,993,911,912,793,802,830,614,6697,9820,8772,17580,18669,19748,19399,17298,11094,3720,126099,418,2212,6123,6442,7661,4968,722,33,0,28586,3047,2678,5009,6744,6416,5865,1639,169,4,31570,1069,1097,2076,1600,1337,1236,364,44,4,8838,75,97,240,209,186,113,40,23,14,983,4605,6089,13445,14997,15598,12186,2773,271,20,69983,152,219,264,219,279,201,20,6,4,1349,510,195,251,266,255,261,54,3,0,1790,655,411,507,484,530,456,69,8,3,3140
UCL102003,198,579,1586,2036,2008,1517,286,24,0,8240,552,414,510,510,605,713,410,61,12,3788,70,56,114,96,138,151,53,8,0,696,17,25,60,47,37,33,10,11,0,243,842,1073,2273,2690,2794,2415,763,99,15,12964,38,66,74,63,77,97,12,0,0,427,95,37,36,29,30,46,24,3,0,312,143,102,117,97,107,142,36,3,0,742,980,1173,2388,2789,2899,2562,798,104,18,13707,546,148,272,330,528,1254,3333,2651,963,10025,84,92,245,252,230,215,205,224,144,1680,1613,1411,2909,3367,3650,4028,4333,2976,1124,25414,83,342,998,1134,1462,1044,170,10,0,5242,788,580,1081,1443,1389,1476,470,33,4,7262,91,76,261,180,158,179,66,9,3,1026,17,22,47,44,44,50,13,6,5,238,986,1015,2384,2804,3046,2743,725,55,12,13772,32,30,46,50,45,46,3,0,0,251,69,33,57,68,62,72,16,0,0,387,104,66,105,118,109,124,20,0,0,642
UCL102004,1318,4337,14172,14455,13385,8947,1385,103,3,58105,3110,3674,3772,2657,2488,2775,1517,310,17,20316,459,530,727,590,602,699,200,27,10,3838,66,161,310,216,190,112,26,13,3,1103,4954,8700,18979,17910,16664,12533,3125,451,31,83366,267,476,703,476,540,421,67,0,0,2951,623,386,269,146,148,196,75,6,0,1846,892,861,970,627,694,619,139,5,0,4793,5846,9562,19947,18540,17357,13153,3263,459,31,88159,3904,1727,2106,1900,2759,5995,12857,8750,2945,42935,438,606,1101,927,829,769,768,692,479,6603,10184,11898,23155,21360,20940,19919,16892,9892,3453,137703,601,3278,9587,8159,9083,5224,674,30,0,36639,4330,4944,7175,8459,7444,6202,1633,166,7,40364,641,662,1738,1078,667,766,230,20,3,5813,76,146,258,151,136,93,33,16,6,905,5641,9028,18757,17851,17320,12293,2575,233,15,83717,144,205,300,241,256,144,14,0,0,1312,609,300,317,291,256,242,60,5,0,2079,750,508,615,541,512,386,74,5,0,3384
UCL102005,1031,3284,9954,10446,10139,6903,1023,76,0,42855,1903,2373,3095,2272,2053,2195,997,132,10,15026,657,890,1149,864,875,840,276,31,3,5585,48,142,308,203,151,127,32,12,3,1025,3645,6687,14508,13780,13211,10067,2319,253,24,64491,225,446,580,371,381,297,35,5,0,2339,401,292,216,96,82,143,37,7,0,1273,627,737,793,468,461,445,75,11,0,3613,4275,7418,15303,14249,13678,10507,2393,264,24,68102,3992,1946,2070,1885,2539,5462,10159,7048,2383,37489,386,470,852,740,702,574,532,566,441,5271,8647,9837,18226,16876,16921,16542,13084,7876,2843,110862,457,2504,6495,5724,6463,3720,486,18,3,25876,2606,3071,4974,5981,5447,4332,1032,73,8,27517,869,1123,2075,1390,1031,937,243,17,0,7688,62,107,220,132,133,72,26,7,0,753,3995,6805,13758,13225,13068,9067,1783,129,7,61840,111,229,264,210,194,105,11,3,0,1132,458,311,263,221,200,175,38,0,0,1672,568,541,533,428,395,279,49,3,0,2802
UCL111001,284,814,2285,2135,1891,1474,310,18,3,9212,461,379,480,362,342,383,309,60,0,2769,40,32,53,54,67,75,37,3,0,362,25,21,65,36,26,23,3,3,0,197,803,1242,2877,2580,2328,1958,659,83,3,12535,48,69,98,92,80,79,7,0,0,473,76,51,39,17,15,34,19,0,0,256,124,120,137,109,99,111,28,0,0,729,929,1367,3014,2693,2426,2065,689,83,3,13269,558,193,301,306,421,773,1817,1280,429,6087,96,105,228,192,180,152,120,91,55,1222,1588,1662,3548,3191,3029,2985,2626,1456,494,20576,115,520,1362,1181,1344,879,140,5,0,5537,723,642,1149,1229,1069,1018,368,28,0,6222,46,61,225,107,86,76,29,0,0,636,12,26,38,22,24,25,7,3,0,157,893,1242,2769,2546,2518,1996,545,40,3,12556,24,45,44,48,47,28,0,0,0,238,85,54,54,53,47,51,6,0,0,349,108,94,103,103,90,77,10,0,0,584
UCL111002,176,478,1459,1616,1669,1187,254,22,0,6859,506,344,505,459,440,514,307,36,7,3117,59,43,68,68,78,99,25,3,0,437,14,30,49,46,35,21,14,3,5,218,750,888,2077,2192,2222,1824,597,62,7,10632,36,64,91,77,93,54,10,0,0,433,83,31,54,31,24,33,16,0,0,272,118,99,145,106,122,88,27,0,0,701,867,984,2231,2304,2339,1912,622,67,7,11333,552,215,324,344,438,963,2243,1617,586,7282,95,75,231,214,208,165,158,173,120,1435,1523,1272,2785,2853,2988,3039,3030,1860,711,20052,82,370,919,1062,1338,814,116,10,0,4709,671,431,934,1132,1092,1065,311,27,0,5655,59,43,153,99,88,109,33,3,0,589,10,27,51,27,33,25,6,6,0,182,822,867,2062,2318,2547,2011,466,39,3,11141,31,32,47,43,38,31,0,0,0,222,84,29,44,58,50,56,9,0,0,339,119,58,92,101,92,82,10,0,0,561
UCL111003,419,1315,4091,3972,3400,2255,350,14,0,15820,787,637,870,624,538,557,299,44,3,4365,104,79,191,153,165,163,54,14,0,931,21,48,97,73,40,35,6,4,3,331,1340,2078,5252,4834,4138,3007,720,72,7,21447,106,117,216,127,111,108,19,0,0,794,155,58,55,35,25,31,15,0,0,370,259,170,271,165,135,135,31,0,0,1164,1598,2252,5523,4994,4276,3147,748,72,7,22611,1021,348,476,499,694,1237,2896,1859,465,9492,98,91,250,230,172,159,119,109,68,1292,2718,2696,6245,5720,5142,4541,3764,2039,539,33402,203,936,2479,2244,2213,1281,124,3,0,9489,1102,918,2084,2133,1753,1350,333,26,0,9692,184,150,527,279,176,172,44,5,0,1546,9,30,67,45,31,26,12,5,4,233,1506,2038,5152,4696,4172,2834,506,44,4,20952,52,77,93,73,80,54,3,0,0,425,159,80,91,99,81,57,10,0,0,572,210,156,178,173,160,114,15,0,0,1001
UCL112001,94,266,764,647,588,500,106,8,0,2978,191,220,261,183,114,147,106,15,0,1243,17,22,30,18,26,39,9,5,0,168,3,11,23,13,4,8,0,0,0,66,308,518,1078,866,740,690,230,31,3,4456,6,28,62,39,31,18,3,0,0,185,38,30,23,9,10,5,6,0,0,127,46,63,86,46,37,24,9,0,0,315,350,583,1162,908,779,717,235,31,3,4771,295,217,168,168,166,307,553,481,173,2521,150,185,152,93,86,77,46,64,34,894,800,986,1483,1170,1031,1100,832,585,211,8189,45,175,531,480,489,363,49,6,0,2133,261,317,443,329,293,303,107,14,0,2070,36,38,61,38,30,38,21,4,0,265,4,12,18,10,3,3,3,4,0,61,348,538,1058,858,813,709,179,19,3,4528,16,27,30,21,14,11,0,0,0,113,44,35,27,19,18,10,5,0,0,158,59,59,52,40,28,28,5,0,0,268
