UCL_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL101001,48265,107196,281280,261787,218295,145488,36104,3594,288,1102284,72635,36040,75943,79229,72121,103027,151628,101716,45831,738169,5185,7928,22085,17507,12434,10057,9044,9065,10279,103570,126078,151162,379308,358518,302842,258573,196780,114371,56401,1944031,10626,80354,348184,350530,285777,175016,34686,2545,148,1287861,48757,80982,129857,126910,105954,87711,36767,6228,497,623663,21465,33202,55748,44288,34024,30528,10066,1315,124,230754,1326,4663,12282,8723,5486,3684,1146,328,102,37737,82181,199193,546071,530444,431243,296941,82665,10406,862,2180010,2736,9006,18572,14876,12603,9356,1332,63,9,68547,10520,10169,9928,6717,5429,5582,1732,187,21,50279,13258,19173,28500,21588,18023,14938,3059,254,23,118821,95436,218371,574573,552039,449268,311876,85722,10661,892,2298836,154126,76140,130435,124109,119018,173073,271622,185350,75656,1309533,11021,17483,45934,36523,26124,21355,17612,16262,15429,207744,260587,311994,750942,712667,594413,506304,374958,212276,91978,3816113
UCL102001,608,941,2525,2264,2267,1416,266,15,5,10310,341,117,389,273,324,695,1055,731,308,4239,34,42,163,102,82,89,68,53,40,682,989,1097,3078,2639,2678,2203,1389,799,356,15223,250,1158,3584,3289,3483,2119,350,13,0,14247,803,642,1088,992,801,769,277,38,8,5411,56,56,262,169,137,120,32,0,0,841,13,35,83,69,37,28,9,0,0,272,1120,1896,5016,4522,4456,3035,657,52,10,20771,24,57,121,91,79,63,11,5,0,448,87,33,67,36,38,25,20,0,0,308,110,91,186,125,119,89,27,4,0,755,1234,1985,5206,4646,4573,3125,684,58,10,21522,762,216,570,436,567,1246,1952,1269,501,7511,71,107,366,230,180,208,136,88,69,1456,2061,2308,6138,5312,5321,4581,2776,1423,573,30484
UCL102002,5262,6502,13958,15486,16135,12644,2841,276,28,73126,3457,1629,3716,3883,4287,8382,16419,11615,5071,58452,385,400,944,944,799,838,1017,1255,1322,7909,9104,8533,18616,20319,21215,21858,20278,13142,6419,139487,1608,5242,15426,17612,18886,12905,2146,129,7,73956,5545,4916,7946,9412,9168,8780,3096,432,28,49317,1813,1926,3243,2640,2359,2299,753,91,9,15133,151,235,572,458,407,244,78,49,19,2210,9112,12326,27195,30119,30815,24223,6071,698,66,140622,398,632,872,642,782,645,71,3,4,4058,983,377,387,387,364,430,124,18,3,3067,1380,1012,1256,1028,1146,1074,191,19,5,7122,10492,13331,28450,31149,31963,25299,6269,717,72,147742,7621,3152,5816,5974,7288,14334,29485,21437,8126,103234,815,821,1935,1858,1713,1627,1824,2085,1938,14606,18923,17305,36202,38981,40960,41257,37580,24238,10135,265589
UCL102003,1090,1078,2482,2923,3160,2869,747,60,12,14417,446,192,498,619,681,1728,4008,3135,1508,12814,75,76,238,227,216,210,224,275,241,1787,1611,1348,3215,3771,4056,4810,4976,3468,1763,29017,286,925,2585,3171,3475,2562,457,33,0,13482,1343,990,1586,1954,1990,2187,887,95,20,11054,162,131,380,279,292,337,121,21,3,1717,27,44,108,96,84,79,27,16,4,487,1825,2093,4655,5496,5842,5165,1487,154,24,26736,71,96,120,115,122,140,17,0,0,676,172,67,97,99,94,125,48,6,0,707,242,164,214,211,218,265,57,6,0,1381,2065,2254,4868,5709,6056,5428,1544,163,24,28124,993,336,771,948,1206,2986,7344,5784,2467,22842,162,171,480,477,444,426,430,499,387,3465,3217,2761,6125,7133,7706,8837,9313,6448,2880,54430
UCL102004,6396,9529,19378,18385,17837,12674,2644,234,16,87104,2996,1610,3262,3160,3525,8048,15288,10647,5007,53543,419,540,987,820,710,668,817,996,1049,6994,9807,11690,23627,22368,22071,21393,18748,11879,6071,147647,1916,7613,23763,22617,22469,14175,2054,130,7,94744,7447,8618,10949,11119,9930,8976,3151,475,20,60682,1102,1194,2459,1667,1266,1467,430,47,11,9646,143,301,568,366,324,211,60,26,14,2007,10602,17726,37738,35763,33990,24829,5696,683,47,167079,411,685,1005,721,799,566,82,0,0,4260,1233,685,582,439,404,432,137,8,0,3922,1644,1370,1585,1163,1197,1000,215,10,0,8182,12246,19091,39323,36927,35192,25830,5913,693,54,175265,6898,3343,5369,5060,6286,14044,28142,19391,7951,96485,851,1151,2093,1743,1538,1431,1584,1686,1521,13601,19992,23584,46785,43726,43012,41309,35640,21773,9523,285351
UCL102005,4566,7348,14294,13661,13465,9352,1834,129,8,64646,3400,1825,3326,3336,3873,7615,12003,8557,3707,47645,380,424,839,716,582,565,593,691,783,5583,8344,9594,18458,17711,17921,17530,14429,9376,4503,117869,1490,5786,16450,16172,16603,10624,1508,98,3,68734,4507,5445,8066,8247,7493,6535,2024,206,17,42550,1528,2012,3219,2256,1907,1778,509,52,7,13276,116,251,530,333,279,190,56,20,3,1777,7645,13488,28265,27003,26284,19131,4100,375,30,126328,337,675,841,581,577,403,45,8,0,3470,855,601,483,320,280,322,75,7,0,2945,1196,1279,1332,902,859,723,122,9,0,6416,8842,14766,29596,27903,27140,19852,4225,387,34,132746,7390,3770,5398,5223,6417,13080,22160,15602,6090,85135,764,896,1702,1456,1283,1137,1125,1258,1222,10850,16995,19431,36685,34586,34845,34072,27513,17256,7347,228731
UCL111001,1000,1337,2867,2649,2611,2074,559,40,7,13139,528,312,627,589,559,1104,2241,1712,792,8464,78,100,206,172,129,147,141,153,84,1207,1605,1750,3703,3402,3299,3331,2938,1908,879,22811,400,1329,3641,3312,3232,2346,445,26,3,14750,1179,1014,1625,1595,1412,1401,674,81,5,8991,88,93,283,163,156,151,66,3,0,1003,31,47,98,54,54,49,10,11,3,352,1701,2486,5649,5129,4845,3952,1201,123,12,25097,71,114,141,136,127,102,8,0,0,709,162,102,91,74,61,78,33,0,0,604,237,215,238,212,186,185,42,0,0,1312,1931,2704,5887,5342,5034,4143,1247,123,9,26410,1085,504,925,894,982,1883,4056,2996,1229,14546,176,207,439,364,311,301,264,247,136,2429,3189,3414,7249,6589,6327,6316,5565,3368,1369,43385
UCL111002,935,927,2157,2424,2637,2096,483,41,6,11699,495,254,581,517,549,1239,2761,2006,867,9266,89,72,224,209,178,175,185,247,242,1622,1520,1250,2957,3146,3364,3518,3425,2300,1114,22593,258,848,2379,2675,3003,2006,369,26,3,11571,1172,769,1446,1594,1536,1573,622,63,6,8777,115,80,220,169,168,207,55,5,4,1029,28,53,102,72,69,50,16,9,6,404,1575,1758,4142,4507,4767,3840,1066,107,11,21772,64,95,137,120,136,90,14,0,0,656,168,59,102,83,76,86,21,5,0,610,234,156,240,210,212,173,36,5,0,1267,1812,1915,4383,4718,4982,4007,1101,107,17,23037,1044,468,904,859,989,2200,5008,3631,1450,16549,183,143,454,418,382,340,346,418,362,3056,3038,2522,5741,6004,6351,6552,6454,4155,1824,42644
UCL111003,1717,2192,5330,4869,4329,2945,515,44,4,21949,863,440,1177,1021,1058,1991,3619,2259,848,13268,86,103,261,227,141,146,132,157,137,1387,2658,2736,6770,6116,5527,5085,4275,2457,992,36601,630,2249,6567,6216,5611,3545,475,22,0,25306,1893,1551,2949,2759,2288,1905,630,68,3,14051,292,231,720,433,337,334,98,23,0,2469,34,81,168,124,69,59,15,10,5,565,2842,4118,10402,9528,8314,5847,1226,115,10,42397,152,193,306,203,194,160,22,0,0,1226,310,133,141,132,110,87,21,0,0,938,467,329,449,333,295,247,43,0,0,2165,3314,4446,10848,9862,8611,6090,1268,115,10,44561,1878,787,1656,1517,1750,3231,6520,4115,1314,22763,184,191,508,459,312,306,248,266,212,2682,5372,5428,13015,11836,10670,9623,8039,4496,1529,70005
UCL112001,405,592,1117,903,844,737,188,19,3,4804,347,243,320,217,226,378,711,665,273,3379,232,214,155,110,62,78,74,91,73,1090,985,1051,1595,1222,1126,1189,974,779,349,9276,138,440,1295,1132,1080,859,159,16,0,5120,448,535,708,518,401,456,216,30,0,3312,50,63,93,53,55,76,30,5,0,430,11,22,35,21,12,14,0,6,0,122,649,1058,2135,1723,1553,1403,410,57,3,8987,23,51,90,55,46,28,3,0,0,299,82,68,51,31,26,22,6,0,0,285,107,122,138,83,69,51,15,0,0,580,753,1176,2274,1804,1616,1452,425,57,3,9571,645,463,491,376,391,683,1258,1146,447,5903,382,400,317,202,145,153,118,154,111,1987,1781,2042,3080,2389,2152,2292,1806,1357,558,17461
