UCL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL101001,2527,6114,16241,15050,13871,10290,2970,435,20,67522,2988,10039,30145,27094,20364,13642,3944,825,176,109214,82181,199193,546071,530444,431243,296941,82665,10406,862,2180010
UCL102001,50,91,178,151,134,101,39,3,0,753,39,81,210,149,146,101,24,10,3,754,1120,1896,5016,4522,4456,3035,657,52,10,20771
UCL102002,262,529,1167,1160,1142,891,219,23,0,5385,282,507,1141,1210,1193,858,272,92,24,5580,9112,12326,27195,30119,30815,24223,6071,698,66,140622
UCL102003,53,98,205,248,217,153,58,13,0,1044,68,90,253,254,230,184,74,24,7,1190,1825,2093,4655,5496,5842,5165,1487,154,24,26736
UCL102004,376,737,1427,1236,1200,850,266,43,0,6129,267,630,1309,1221,1110,767,216,59,17,5590,10602,17726,37738,35763,33990,24829,5696,683,47,167079
UCL102005,279,595,1112,935,926,709,167,17,0,4742,210,510,1130,943,878,663,167,47,7,4562,7645,13488,28265,27003,26284,19131,4100,375,30,126328
UCL111001,57,120,234,195,153,127,37,8,0,932,60,99,220,185,185,146,45,10,4,952,1701,2486,5649,5129,4845,3952,1201,123,12,25097
UCL111002,52,88,198,183,186,139,33,0,0,890,58,83,167,194,155,134,39,18,3,849,1575,1758,4142,4507,4767,3840,1066,107,11,21772
UCL111003,122,234,518,372,294,202,53,3,0,1812,83,203,422,365,273,196,42,15,0,1608,2842,4118,10402,9528,8314,5847,1226,115,10,42397
UCL112001,19,27,76,49,51,40,9,0,0,284,19,29,58,50,43,21,11,10,0,245,649,1058,2135,1723,1553,1403,410,57,3,8987
UCL112002,39,85,164,121,118,93,24,0,0,649,28,69,122,109,115,81,27,10,0,559,1261,1891,3805,3315,3324,2540,699,77,8,16928
UCL112003,20,32,80,101,102,70,37,7,0,455,30,40,64,91,91,84,37,10,0,442,567,843,1984,2729,3253,2784,1028,121,11,13319
UCL112004,24,29,64,67,77,61,22,3,6,353,26,20,51,62,88,75,52,14,0,398,612,701,1581,1932,2344,2021,946,193,19,10341
UCL112005,21,53,110,71,69,45,4,3,0,378,29,42,86,67,61,57,18,0,4,363,588,884,1960,1761,1733,1268,305,30,5,8536
UCL112006,47,86,203,124,103,93,48,6,4,717,54,64,216,121,108,79,34,20,0,697,1188,1673,5142,3780,3160,2755,849,125,15,18680
UCL112007,10,14,24,26,18,21,4,0,0,115,12,5,21,17,22,18,15,0,0,107,219,183,505,583,649,524,170,25,3,2857
UCL112008,4,23,50,57,74,49,19,0,0,287,27,22,39,58,54,51,28,17,0,289,495,502,1068,1275,1453,1526,514,76,9,6918
UCL112009,27,48,110,90,83,59,17,4,0,431,18,51,116,64,67,65,13,4,0,400,650,1028,2512,2132,2018,1843,480,58,4,10721
