UCL_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
UCL101001,333675,659520,216852,195873,301198,167623,120698,141898,42675,2180010
UCL102001,3230,4309,2795,2291,3512,1533,1070,1587,445,20771
UCL102002,16908,29040,20427,18450,18501,13098,8268,13590,2340,140622
UCL102003,3120,5231,4085,3889,3166,2703,1223,2816,507,26736
UCL102004,18638,42988,23007,22174,20948,14126,9117,13743,2332,167079
UCL102005,13879,28775,18488,16737,16087,10497,8610,11246,2017,126328
UCL111001,2805,5013,3664,3548,3033,2397,1705,2514,414,25097
UCL111002,2405,4454,2810,3221,2708,2312,1000,2487,374,21772
UCL111003,4187,7071,6834,5743,5278,3939,4015,4650,684,42397
UCL112001,1027,2380,1035,1278,992,767,351,1036,115,8987
UCL112002,1746,3256,2356,2748,1999,1547,1129,1869,274,16928
UCL112003,1764,4042,1651,1744,1536,930,520,940,185,13319
UCL112004,1649,2658,1432,1150,1135,912,408,850,150,10341
UCL112005,718,891,1490,1383,801,836,1014,1248,157,8536
UCL112006,1945,3667,2599,2956,2339,1812,1105,1909,345,18680
UCL112007,406,512,461,389,332,275,150,278,58,2857
UCL112008,720,1237,966,1188,802,812,283,779,136,6918
UCL112009,1107,1642,1568,1751,1211,987,877,1359,220,10721
UCL112010,1353,1542,1437,1010,1147,941,723,2206,272,10640
UCL112011,619,900,1607,1241,1033,822,1100,1188,152,8657
UCL112012,1095,2501,1578,1905,1462,1245,664,1690,180,12324
UCL112013,174,195,155,157,152,91,63,126,19,1133
UCL112014,942,1730,1453,1192,1104,724,699,947,181,8979
UCL112015,1234,2107,2054,2333,1355,1386,782,1582,219,13055
UCL112016,1984,4294,2799,2534,2330,1575,1318,1907,299,19038
UCL112017,2266,4838,2603,3191,2515,2021,789,1840,339,20404
UCL112018,1430,2777,2081,2109,1694,1481,1022,2661,231,15486
UCL112019,2603,5025,3475,3313,2803,2330,1285,2543,412,23784
UCL113001,805,1481,1051,1165,794,750,328,859,101,7344
UCL113002,524,587,674,662,547,544,253,594,88,4472
UCL113003,674,1240,1109,1163,760,649,726,720,155,7198
UCL113004,964,1378,732,727,412,452,131,493,133,5433
UCL113005,572,995,803,1193,756,691,446,870,104,6427
UCL113006,262,443,367,681,325,373,214,486,70,3225
UCL113007,911,1862,947,776,715,427,281,380,91,6389
UCL113008,376,587,670,612,554,380,474,524,83,4254
UCL113009,517,767,894,668,663,435,354,476,96,4877
UCL113010,536,869,1045,701,522,489,731,619,79,5589
UCL113011,312,523,1004,519,450,421,900,666,97,4890
UCL113012,792,1060,909,855,686,567,246,581,105,5810
UCL113013,465,621,906,845,730,577,644,822,128,5731
UCL113014,572,859,1266,795,759,592,1214,710,124,6883
UCL113015,383,517,680,676,457,370,216,499,83,3886
UCL113016,524,970,780,1101,630,773,378,920,104,6180
UCL113017,700,962,934,792,556,645,196,643,88,5518
UCL113018,115,119,187,121,109,86,61,111,23,934
UCL114001,230,453,293,323,248,191,83,226,35,2075
UCL114002,233,363,358,348,217,213,132,273,36,2174
UCL114003,274,339,435,531,356,332,304,859,45,3487
UCL114004,370,544,425,384,368,295,223,295,61,2970
UCL114005,194,284,276,308,192,187,168,281,39,1939
UCL114006,252,278,343,290,208,217,176,495,31,2280
UCL114007,375,442,462,464,363,346,220,472,60,3203
UCL114008,309,441,390,407,325,262,197,322,78,2733
UCL114009,357,981,511,678,363,339,142,347,45,3763
UCL114010,359,491,434,376,285,305,258,364,62,2927
UCL114011,171,244,243,262,208,199,125,264,39,1758
UCL114012,741,981,414,341,612,185,94,130,82,3588
UCL114013,366,515,547,436,341,307,586,463,68,3642
UCL114014,422,784,583,421,463,235,163,234,47,3348
UCL114015,335,524,516,580,322,426,209,708,62,3683
UCL114016,350,469,490,401,371,247,262,629,76,3302
UCL114017,632,1182,538,425,394,369,98,237,50,3924
UCL114018,439,709,532,501,402,412,141,319,46,3506
UCL114019,342,527,384,368,352,251,315,332,69,2939
UCL114020,512,773,708,457,458,357,272,489,71,4089
UCL114021,374,657,627,599,434,364,282,517,59,3913
UCL114022,180,321,276,345,201,208,103,275,40,1950
UCL114023,276,426,435,289,264,234,396,313,36,2676
UCL114024,457,683,659,517,493,409,536,486,64,4300
UCL114025,379,707,483,432,366,233,94,273,56,3007
UCL114026,266,454,429,325,357,228,181,196,52,2487
UCL114027,272,340,333,282,260,212,104,201,39,2044
UCL114028,217,357,429,268,222,165,303,474,42,2476
UCL114029,340,367,528,267,481,188,313,271,43,2801
UCL114030,254,328,277,304,227,185,83,249,28,1939
UCL114031,271,325,491,398,369,265,234,303,33,2691
UCL114032,218,298,419,269,297,199,230,295,25,2264
UCL114033,274,422,458,370,257,250,292,488,44,2853
UCL114034,271,354,507,526,393,340,246,364,53,3056
UCL114035,452,358,300,315,211,178,117,453,37,2412
UCL114036,326,472,354,330,255,203,84,275,46,2352
UCL114037,319,508,462,409,348,210,158,264,52,2739
UCL114038,334,434,468,428,320,375,163,481,60,3052
UCL115001,53,63,195,101,75,58,161,129,15,845
UCL115002,208,351,380,285,225,199,104,196,39,1986
UCL115003,163,224,273,149,221,121,137,115,25,1429
UCL115004,102,143,101,110,78,41,28,190,4,796
UCL115005,59,63,56,70,42,30,58,77,8,466
UCL115006,194,359,112,95,96,100,18,72,11,1056
UCL115007,169,191,279,159,203,134,171,186,43,1531
UCL115008,53,64,59,46,44,28,40,66,12,409
UCL115009,105,107,113,97,101,64,57,142,10,792
UCL115010,40,44,39,51,16,18,27,54,3,293
UCL115011,60,99,106,104,75,64,38,76,8,633
UCL115012,46,32,33,47,33,15,55,116,6,391
UCL115013,124,311,222,271,171,175,105,374,24,1788
UCL115014,137,378,150,214,126,110,49,126,19,1313
UCL115015,99,96,125,98,52,70,29,82,18,665
UCL115016,60,84,87,72,59,49,32,67,12,521
UCL115017,156,285,116,88,95,78,28,45,9,903
UCL115018,30,29,44,50,32,30,17,46,0,295
UCL115019,251,616,248,216,192,107,69,134,33,1871
UCL115020,111,143,205,181,145,107,176,200,31,1292
UCL115021,62,56,63,56,47,37,84,91,16,517
UCL115022,150,263,177,217,147,117,61,118,13,1275
UCL115023,77,60,95,73,54,43,36,70,7,510
UCL115024,62,138,77,127,69,29,51,68,18,630
UCL115025,98,161,152,95,104,58,58,62,12,806
UCL115026,92,130,99,53,72,32,58,60,13,600
UCL115027,121,164,300,157,148,101,229,163,29,1408
UCL115028,142,297,161,147,111,82,36,85,19,1088
UCL115029,118,179,123,105,79,66,31,72,19,785
UCL115030,36,43,53,56,30,36,45,69,8,379
UCL115031,151,246,187,133,107,69,45,91,23,1059
UCL115032,157,270,124,100,110,70,17,58,12,912
UCL115033,403,533,344,217,366,121,86,97,50,2228
UCL115034,84,97,186,94,114,76,107,112,20,890
UCL115035,240,412,297,293,246,200,126,184,19,2017
UCL115036,177,253,169,170,123,112,63,130,16,1222
UCL115037,82,162,69,85,83,57,18,46,5,605
UCL115038,58,76,82,80,44,48,40,82,3,515
UCL115039,164,221,324,126,153,94,321,180,25,1606
UCL115040,85,101,150,119,96,73,64,91,8,795
